word,noun,verb,adjective,adverb,auxiliary,compositions,conjunctions,determiners,existential_determiners,modifiers,negative_quantifiers,prepositions,universal_determiners,possessive_determiners,pronouns,frequency,review_count,avg_sentiment,length,confident,resolved_word,relative_frequency,double_log_freq,participation_score,open_count,closed_count,word_length,vowel_count,class_type,is_short,has_apostrophe,is_alpha,unique_char_ratio,weighted_sentiment
it's,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9925,8120,0.4209554760705263,4,1,it's,0.0072870885272959,0.7888071427355414,0.0,0,0,4,1,ambiguous,True,True,False,1.0,0.8419109521410526
chatgpt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4604,3829,0.4354601650738454,7,1,chatgpt,0.0033803280181028,0.7779180015098413,0.0,0,0,7,1,ambiguous,False,False,True,0.8571428571428571,0.8709203301476908
your,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3852,3249,0.4003550103842151,4,1,your,0.0028281979856064,0.7752052229416262,0.0666666666666666,0,0,4,2,ambiguous,True,False,True,1.0,0.8007100207684302
claude,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3802,2973,0.4724168332456591,6,0,clade,0.0027914872121691,0.7750034999690313,0.0,0,0,6,3,ambiguous,False,False,True,1.0,0.9448336664913182
i'm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3006,2594,0.3781545575515618,3,1,i'm,0.002207051699048,0.7713043600601782,0.0,0,0,3,1,ambiguous,True,True,False,1.0,0.7563091151031236
can't,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2596,2346,0.0819775808936827,5,1,can't,0.0019060233568624,0.7689234471811717,0.0,0,0,5,1,ambiguous,False,True,False,1.0,0.1639551617873654
would,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2050,1832,0.4945240000000001,5,1,would,0.0015051417109276,0.7649663623648508,0.0666666666666666,0,0,5,2,ambiguous,False,False,True,1.0,0.9890480000000001
doesn't,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2029,1874,0.0966021192705766,7,1,doesn't,0.0014897231860839,0.7647902210022675,0.0,0,0,7,2,ambiguous,False,True,False,1.0,0.1932042385411532
hai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1798,817,0.2112967741935485,3,1,hai,0.0013201194128038,0.7626993389024296,0.0,0,0,3,2,ambiguous,True,False,True,1.0,0.422593548387097
i've,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1697,1540,0.4461558043606361,4,1,i've,0.0012459636504605,0.7616838043503493,0.0,0,0,4,2,ambiguous,True,True,False,1.0,0.8923116087212722
could,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1192,1117,0.4430925335570468,5,1,could,0.0008751848387442,0.7552500129292813,0.0666666666666666,0,0,5,2,ambiguous,False,False,True,1.0,0.8861850671140936
their,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,826,747,0.3009569007263923,5,1,their,0.0006064619771835,0.7481172630020747,0.0666666666666666,0,0,5,2,ambiguous,False,False,True,1.0,0.6019138014527846
our,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,778,691,0.3948326478149106,3,1,our,0.0005712196346837,0.7469055859314276,0.0666666666666666,0,0,3,2,ambiguous,True,False,True,1.0,0.7896652956298212
that's,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,758,726,0.364614907651715,6,1,that's,0.0005565353253088,0.7463741312186445,0.0,0,0,6,1,ambiguous,False,True,False,0.8333333333333334,0.72922981530343
didn't,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,745,696,0.1414013422818792,6,1,didn't,0.0005469905242151,0.7460196322387896,0.0,0,0,6,1,ambiguous,False,True,False,0.8333333333333334,0.2828026845637584
knowledge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,705,672,0.5966062411347518,9,1,knowledge,0.0005176219054653,0.7448807552681694,0.0,0,0,9,3,ambiguous,False,False,True,0.8888888888888888,1.1932124822695036
