word,noun,verb,adjective,adverb,auxiliary,compositions,conjunctions,determiners,existential_determiners,modifiers,negative_quantifiers,prepositions,universal_determiners,possessive_determiners,pronouns,frequency,review_count,avg_sentiment,length,confident,resolved_word,relative_frequency,log_relative_frequency,participation_score,open_count,closed_count,word_length,vowel_count,class_type,is_short,has_apostrophe,is_alpha,unique_char_ratio,weighted_sentiment,dbscan_cluster,actual_class
and,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,41555,25728,0.4199547780050399,3,1,and,0.030510323803706,-0.6118203460213395,0.1333333333333333,1,1,3,1,closed,True,False,True,1.0,0.8399095560100798,0,closed
it,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41288,23225,0.3397264435186879,2,1,it,0.030314288273551,-0.6129504645325564,0.1333333333333333,1,1,2,1,closed,True,False,True,1.0,0.6794528870373758,0,closed
the,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,39943,21936,0.3329995468542579,3,1,the,0.0293267684680887,-0.6187568681178482,0.1333333333333333,1,1,3,1,closed,True,False,True,1.0,0.6659990937085158,0,closed
i,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,39561,22965,0.3762110108439986,1,1,i,0.0290462981590281,-0.6204416542023254,0.1333333333333333,1,1,1,1,closed,True,False,True,1.0,0.7524220216879972,0,closed
to,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,35986,22116,0.3438859139665392,2,1,to,0.0264214778582641,-0.637047092958833,0.0666666666666666,0,1,2,1,closed,True,False,True,1.0,0.6877718279330785,0,closed
is,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,28496,20332,0.3869842784952232,2,1,is,0.0209222039973627,-0.6779613894664478,0.1333333333333333,1,1,2,1,closed,True,False,True,1.0,0.7739685569904464,0,closed
a,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,25842,17248,0.3885453447875555,1,1,a,0.0189735961433129,-0.6951013578438656,0.2,1,1,1,1,closed,True,False,True,1.0,0.777090689575111,0,closed
this,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,19116,14335,0.3734599602427385,4,1,this,0.0140352629005328,-0.7479567035593926,0.2666666666666666,2,2,4,1,open,True,False,True,1.0,0.746919920485477,0,open
for,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,18859,14426,0.4373076515191742,3,1,for,0.0138465695250653,-0.7503297651629558,0.1333333333333333,0,2,3,1,closed,True,False,True,1.0,0.8746153030383484,0,closed
app,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17740,13245,0.401616747463367,3,1,app,0.0130249824155395,-0.7610539253006514,0.0666666666666666,1,0,3,1,open,True,False,True,0.6666666666666666,0.803233494926734,0,open
of,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14751,11450,0.3395205545386768,2,1,of,0.0108304123794601,-0.7934028272097557,0.0666666666666666,0,1,2,1,closed,True,False,True,1.0,0.6790411090773536,0,closed
you,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14626,9544,0.4117148844523491,3,1,you,0.010738635445867,-0.7948948389207502,0.0666666666666666,0,1,3,2,closed,True,False,True,1.0,0.8234297689046982,0,closed
in,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,13453,10780,0.4063075001858329,2,1,in,0.0098774007010289,-0.8095515404546552,0.2666666666666666,3,1,2,1,closed,True,False,True,1.0,0.8126150003716658,0,closed
