word,pos
'tween,adv
'tween-decks,adv
Byronically,adv
Christian,adv
Christianly,adv
Fridays,adv
Gallice,adv
Germanically,adv
Hebraically,adv
Jacobinically,adv
Jesuitically,adv
Jewishly,adv
Judaically,adv
Judaistically,adv
Malaprop,adv
Mondays,adv
OK'd,adv
Romeward,adv
Saturdays,adv
Socratically,adv
Somerville,adv
Sundays,adv
Thursdays,adv
Tuesdays,adv
Whiggishly,adv
aback,adv
abaft,adv
abandonedly,adv
abashedly,adv
abeam,adv
abed,adv
abhorrently,adv
abidingly,adv
abiogenetically,adv
abjectly,adv
ablaze,adv
ablins,adv
abloom,adv
ably,adv
abnormally,adv
aboard,adv
abominably,adv
aboriginally,adv
aborning,adv
abortively,adv
about,adv
above,adv
above-board,adv
abreast,adv
abroach,adv
abroad,adv
abruptly,adv
absently,adv
absolutely,adv
absorbedly,adv
absorbingly,adv
abstemiously,adv
abstinently,adv
abstractedly,adv
abstractively,adv
abstractly,adv
abstrusely,adv
absurdly,adv
abundantly,adv
abusively,adv
abysmally,adv
academically,adv
accelerando,adv
accentually,adv
acceptably,adv
acceptedly,adv
accessibly,adv
accessorily,adv
accidentally,adv
accommodatingly,adv
accordantly,adv
accordingly,adv
accountably,adv
accumulatively,adv
accurately,adv
accursedly,adv
accusatively,adv
accusingly,adv
acervately,adv
achingly,adv
achromatically,adv
acidly,adv
acock,adv
acoustically,adv
acquiescently,adv
acquiescingly,adv
acquisitively,adv
acridly,adv
acrimoniously,adv
acrobatically,adv
acrogenously,adv
acromial,adv
acropetally,adv
across,adv
across-the-board,adv
acrostically,adv
actinally,adv
actinically,adv
actionably,adv
actively,adv
actually,adv
actuarially,adv
acutely,adv
ad-lib,adv
adagio,adv
adamantly,adv
adaptively,adv
additionally,adv
additively,adv
adeptly,adv
adequately,adv
adhesively,adv
adiabatically,adv
adjacently,adv
adjectivally,adv
adjectively,adv
adjunctively,adv
adjunctly,adv
adjustably,adv
administratively,adv
admirably,adv
admiringly,adv
admissibly,adv
admittedly,adv
adorably,adv
adoringly,adv
adown,adv
adrift,adv
adroitly,adv
adscititiously,adv
adulterously,adv
adumbratively,adv
advantageously,adv
adventitiously,adv
adventurously,adv
adverbially,adv
adversely,adv
advertently,adv
advisably,adv
advisedly,adv
aerially,adv
aerobically,adv
aerobiologically,adv
aerobiotically,adv
aerodynamically,adv
aeronautically,adv
aesthetic,adv
aesthetically,adv
afar,adv
affably,adv
affectedly,adv
affectingly,adv
affectionately,adv
affettuoso,adv
affirmatively,adv
affirmingly,adv
affluently,adv
affrontingly,adv
afield,adv
afire,adv
aflame,adv
afloat,adv
aflutter,adv
afoot,adv
afore,adv
aforetime,adv
afoul,adv
afresh,adv
aft,adv
after,adv
afternoons,adv
afterward,adv
afterwards,adv
again,adv
agape,adv
aggravatingly,adv
aggregate,adv
aggressively,adv
agilely,adv
agitatedly,adv
agitato,adv
agnatically,adv
ago,adv
agog,adv
agone,adv
agonisingly,adv
agonistically,adv
agonizedly,adv
agonizingly,adv
agreeably,adv
agriculturally,adv
aground,adv
aguishly,adv
ahead,adv
ahold,adv
ahorse,adv
ahorseback,adv
aiblins,adv
aimlessly,adv
air-mail,adv
airily,adv
ajar,adv
ajee,adv
akimbo,adv
alarmedly,adv
alarmingly,adv
alas,adv
alee,adv
alertly,adv
alfresco,adv
algebraically,adv
alias,adv
alight,adv
alike,adv
aliunde,adv
all,adv
all-fired,adv
all-in,adv
all-out,adv
all-over,adv
allargando,adv
allegedly,adv
allegorically,adv
allegretto,adv
allegro,adv
allopathically,adv
allowably,adv
allowedly,adv
alluringly,adv
allusively,adv
almighty,adv
almost,adv
aloft,adv
alone,adv
along,adv
alongshore,adv
alongside,adv
aloof,adv
aloofly,adv
aloud,adv
alow,adv
alphabetically,adv
alphamerically,adv
alphanumerically,adv
already,adv
alright,adv
also,adv
alternately,adv
alternatively,adv
although,adv
altogether,adv
altruistically,adv
alway,adv
always,adv
amain,adv
amateurishly,adv
amatorially,adv
amazedly,adv
amazingly,adv
ambidextrously,adv
ambiguously,adv
ambitiously,adv
ambrosially,adv
amenably,adv
amiably,adv
amicably,adv
amidships,adv
amiss,adv
amitotically,adv
amok,adv
amorally,adv
amoroso,adv
amorously,adv
amorphously,adv
amphitheatrically,adv
amply,adv
amuck,adv
amusedly,adv
amusingly,adv
ana,adv
anachronically,adv
anachronistically,adv
anachronously,adv
