word,pos
a cappella,adverb
ad,adverb
ce,adverb
bc,adverb
bce,adverb
horseback,adverb
barely,adverb
just,adverb
hardly,adverb
anisotropically,adverb
annoyingly,adverb
basically,adverb
blessedly,adverb
boiling,adverb
enviably,adverb
pointedly,adverb
negatively,adverb
negatively,adverb
kindly,adverb
unkindly,adverb
merely,adverb
simply,adverb
plainly,adverb
anciently,adverb
arguably,adverb
unabashedly,adverb
automatically,adverb
alarmingly,adverb
vastly,adverb
grossly,adverb
largely,adverb
significantly,adverb
insignificantly,adverb
appreciably,adverb
ultrasonically,adverb
smartly,adverb
approximately,adverb
absolutely,adverb
partially,adverb
half,adverb
wholly,adverb
entirely,adverb
absolutely,adverb
clean,adverb
plumb,adverb
perfectly,adverb
pat,adverb
please,adverb
imperfectly,adverb
amiss,adverb
fully,adverb
only,adverb
only,adverb
only,adverb
well,adverb
ill,adverb
ill,adverb
isotropically,adverb
well,adverb
badly,adverb
well,adverb
well,adverb
well,adverb
ill,adverb
well,adverb
well,adverb
well,adverb
badly,adverb
well,adverb
well,adverb
badly,adverb
well,adverb
well,adverb
well,adverb
satisfactorily,adverb
okay,adverb
unsatisfactorily,adverb
prosperously,adverb
badly,adverb
badly,adverb
badly,adverb
badly,adverb
badly,adverb
worse,adverb
worst,adverb
even,adverb
even,adverb
even as,adverb
even,adverb
even,adverb
e'en,adverb
rather,adverb
quite,adverb
quite,adverb
quite,adverb
quite,adverb
always,adverb
always,adverb
always,adverb
con brio,adverb
conjecturally,adverb
consecutively,adverb
constantly,adverb
constantly,adverb
coterminously,adverb
never,adverb
never,adverb
occasionally,adverb
sometime,adverb
sometimes,adverb
equally,adverb
long ago,adverb
pretty much,adverb
much,adverb
that much,adverb
palmately,adverb
paradoxically,adverb
parasitically,adverb
conformably,adverb
conventionally,adverb
unconventionally,adverb
pathogenically,adverb
pictorially,adverb
not,adverb
nothing,adverb
no,adverb
any,adverb
no,adverb
none,adverb
either,adverb
bloody,adverb
anywhere,adverb
nowhere,adverb
somewhere,adverb
everywhere,adverb
high and low,adverb
somehow,adverb
somehow,adverb
anyhow,adverb
as it is,adverb
anyhow,adverb
however,adverb
yet,adverb
so far,adverb
so far,adverb
only,adverb
however,adverb
however,adverb
however,adverb
lightly,adverb
besides,adverb
fugally,adverb
furthermore,adverb
farther,adverb
further,adverb
further,adverb
farthest,adverb
furthest,adverb
futilely,adverb
still,adverb
no longer,adverb
anymore,adverb
already,adverb
very,adverb
fabulously,adverb
mighty,adverb
good and,adverb
fucking,adverb
much,adverb
henceforth,adverb
hereafter,adverb
hereafter,adverb
hereunder,adverb
just,adverb
instantaneously,adverb
mildly,adverb
a bit,adverb
anon,adverb
soon,adverb
asap,adverb
shortly,adverb
shortly,adverb
momentarily,adverb
