word,noun,verb,adjective,adverb,auxiliary,compositions,conjunctions,determiners,existential_determiners,modifiers,negative_quantifiers,prepositions,universal_determiners,possessive_determiners,pronouns,frequency,review_count,avg_sentiment,confident,resolved_word,normalized_sentiment,sentiment_strength,open_class,closed_class,pos_count,word_length,log_frequency,frequency_rank,cluster,pc1,pc2
to,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,35986,22116,0.3438859139665392,1,to,0.022209008389694862,0.022209008389694862,False,True,1,2,10.490913041110819,5.0,0,5.092471796791747,0.06832527303403138
for,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,18859,14426,0.4373076515191742,1,for,0.11563074594232986,0.11563074594232986,False,True,2,3,9.844798556187449,9.0,0,4.922401561574025,-0.3254389155799492
app,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17740,13245,0.401616747463367,1,app,0.07993984188652264,0.07993984188652264,True,False,1,3,9.783633624060649,10.0,0,4.577544845246408,0.1579652254229412
of,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14751,11450,0.3395205545386768,1,of,0.017843648961832437,0.017843648961832437,False,True,1,2,9.599133945796375,11.0,0,4.688450756240898,0.11734476770275973
you,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14626,9544,0.4117148844523491,1,you,0.09003797887550474,0.09003797887550474,False,True,1,3,9.590624414887088,12.0,0,4.474833080984724,0.16381477181261736
very,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,12963,8893,0.5348888220319377,1,very,0.2132119164550933,0.2132119164550933,True,False,2,4,9.469931564261438,15.0,0,4.50497893765958,-0.27052251388644344
ai,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11622,9568,0.4428464980210001,1,ai,0.12116959244415576,0.12116959244415576,True,False,1,2,9.360741172643708,16.0,0,4.436948662396206,0.08531384610692674
good,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,9182,7913,0.5902544870398587,1,good,0.26857758146301436,0.26857758146301436,True,False,3,4,9.125109227613523,22.0,0,4.6347718033854095,-0.7408325455854887
use,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6262,5556,0.3910858671350989,1,use,0.06940896155825454,0.06940896155825454,True,False,2,3,8.742414582525413,28.0,0,4.475119350985183,-0.24682813454040284
best,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6064,5379,0.7739893469657059,1,best,0.4523124413888615,0.4523124413888615,True,False,3,4,8.71028982137815,29.0,0,4.192283450400408,-0.7983245742912205
can,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5909,5094,0.4809369605686223,1,can,0.15926005499177792,0.15926005499177792,True,False,2,3,8.684401110400144,30.0,0,4.325455386616195,-0.2826113159342231
