word,noun,verb,adjective,adverb,auxiliary,compositions,conjunctions,determiners,existential_determiners,modifiers,negative_quantifiers,prepositions,universal_determiners,possessive_determiners,pronouns,frequency,review_count,avg_sentiment,length,confident,resolved_word,relative_frequency,log_relative_frequency,participation_score,open_class,closed_class,actual,predicted,actual_label,predicted_label
guna,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0.4674,4,1,guna,4.405292812471091e-06,-2.162197433515738,0.0666666666666666,True,False,0,1,not closed,closed
properly,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,483,454,0.015491304347826,8,1,properly,0.0003546260714039,-1.3928382926433427,0.0666666666666666,True,False,0,1,not closed,closed
hal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,0.3236153846153846,3,1,hal,9.54480109368736e-06,-2.026640039511141,0.0,False,False,0,1,not closed,closed
android,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,420,380,0.1696280952380953,7,1,android,0.0003083704968729,-1.4173416714093048,0.1333333333333333,True,False,0,1,not closed,closed
kick,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0.5572375,4,1,kick,1.1747447499922908e-05,-1.990236238051171,0.1333333333333333,True,False,0,1,not closed,closed
aate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.1088333333333333,4,0,ate,2.2026464062355453e-06,-2.283721559591693,0.0,False,False,0,1,not closed,closed
tk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0.2423444444444444,2,0,tk,6.607939218706635e-06,-2.0911103768283934,0.0,False,False,0,1,not closed,closed
whatever,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,342,326,0.352688596491228,8,1,whatever,0.0002511016903108,-1.4533605720472,0.1333333333333333,True,False,0,1,not closed,closed
age,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,77,73,0.598864935064935,3,1,age,5.6534591093378994e-05,-1.714766984692485,0.1333333333333333,True,False,0,1,not closed,closed
mike,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0.4985,4,1,mike,5.139508281216272e-06,-2.13517138886691,0.0666666666666666,True,False,0,1,not closed,closed
insights,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,154,0.6186616883116884,8,1,insights,0.0001130691821867,-1.593242858616529,0.0666666666666666,True,False,0,1,not closed,closed
box,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,94,81,0.1943755319148935,3,1,box,6.901625406204708e-05,-1.679792060367667,0.1333333333333333,True,False,0,1,not closed,closed
step,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,286,190,0.5148188811188815,4,1,step,0.0002099856240611,-1.4847115092607606,0.1333333333333333,True,False,0,1,not closed,closed
left,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,212,200,0.2269938679245283,4,1,left,0.0001556536793739,-1.5372039627296992,0.2666666666666666,True,False,0,1,not closed,closed
