word,noun,verb,adjective,adverb,auxiliary,compositions,conjunctions,determiners,existential_determiners,modifiers,negative_quantifiers,prepositions,universal_determiners,possessive_determiners,pronouns,frequency,review_count,avg_sentiment,length,confident,resolved_word,relative_frequency,log_relative_frequency,participation_score
claude,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3802,2973,0.4724168332456591,6,0,clade,0.0027914872121691,-1.0311018697408956,0.0
improve,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470,455,0.6276004255319153,7,0,improv,0.0003450812703102,-1.3976217778252724,0.0
info,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,415,0.2987046666666666,4,0,inro,0.0003303969609353,-1.4052456856676483,0.0
se,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,425,327,0.2661014117647058,2,0,se,0.0003120415742167,-1.4152668276193137,0.0
hi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392,305,0.2574188775510204,2,0,hi,0.0002878124637481,-1.4294376571509613,0.0
ke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362,262,0.1988143646408839,2,0,ke,0.0002657859996857,-1.443396399146902,0.0
word,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,305,0.358012084592145,4,0,ord,0.0002430253201546,-1.4590922705877396,0.0
ui,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,274,0.2990258064516131,2,0,ui,0.000227606795311,-1.4705839567081542,0.0
ye,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284,229,0.229957042253521,2,0,ye,0.0002085171931236,-1.4859418459171505,0.0
alot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,221,0.4798151515151513,4,0,lot,0.0001696037732801,-1.5221558019291852,0.0
mein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,147,0.2553758139534883,4,0,men,0.0001578563257802,-1.5347403776406665,0.0
nahi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,156,0.1094217821782178,4,0,ahi,0.0001483115246865,-1.5456752846087336,0.0
deta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,154,0.2112276923076923,4,0,eta,0.0001431720164053,-1.5518585742054471,0.0
uninstalled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,180,-0.0691447513812154,11,0,uninstaller,0.0001328929998428,-1.5649205252228573,0.0
liye,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,152,0.3347072625698323,4,0,lie,0.0001314245689053,-1.5668685703095064,0.0
chatting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,169,0.5354348314606743,8,0,catting,0.0001306903534366,-1.567850770379997,0.0
ek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,143,0.23995625,2,0,ek,0.0001292219224991,-1.5698318338767452,0.0
ai's,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,163,0.4214291428571426,4,0,ais,0.0001284877070304,-1.5708308237821205,0.0
during,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,168,0.3614804597701151,6,0,curing,0.0001277534915616,-1.571835538589259,0.0
na,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,103,0.304297674418605,2,0,na,0.0001262850606241,-1.5738624080311503,0.0
capabilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,162,0.5029244047619047,12,0,culpabilities,0.0001233481987491,-1.5779878278757444,0.0
happened,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,165,0.1126017964071856,8,0,happener,0.0001226139832804,-1.5790345310088023,0.0
raha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,134,0.0318210191082802,4,0,aha,0.0001152718285929,-1.589860330790406,0.0
skills,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,149,0.5505796052631577,6,0,kills,0.0001116007512492,-1.595534685421888,0.0
deeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,150,0.5322337748344369,6,0,keeper,0.0001108665357805,-1.5966919322244582,0.0
karta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,112,0.2138205882352942,5,0,kara,9.985330374934472e-05,-1.6150350144762369,0.0
kuch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,101,0.1238829629629629,4,0,such,9.911908828059952e-05,-1.6163289115226993,0.0
everytime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,128,0.092454887218045,9,0,overtime,9.765065734310916e-05,-1.618945710161672,0.0
hain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,88,0.3554830769230767,4,0,han,9.544801093687362e-05,-1.622945630892791,0.0
gonna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,124,0.2378622047244095,5,0,donna,9.324536453063808e-05,-1.6270389433745926,0.0
th,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,101,0.275120634920635,2,0,th,9.25111490618929e-05,-1.6284248972643558,0.0
rely,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,123,0.3830327999999999,4,0,ruly,9.177693359314772e-05,-1.629821894727808,0.0
ha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,73,0.6228216000000003,2,0,ha,9.177693359314772e-05,-1.629821894727808,0.0
