word,class_type,open_count,closed_count,noun,verb,adjective,adverb,auxiliary,conjunctions,determiners,prepositions,pronouns
scroll,open,2,0,1,1,0,0,0,0,0,0,0
magnificent,open,1,0,0,0,1,0,0,0,0,0,0
scripts,open,2,0,1,1,0,0,0,0,0,0,0
greatly,open,1,0,0,0,0,1,0,0,0,0,0
gladly,open,1,0,0,0,0,1,0,0,0,0,0
analysing,ambiguous,0,0,0,0,0,0,0,0,0,0,0
household,open,2,0,1,0,1,0,0,0,0,0,0
charging,open,1,0,0,1,0,0,0,0,0,0,0
busy,open,2,0,0,1,1,0,0,0,0,0,0
bahot,ambiguous,0,0,0,0,0,0,0,0,0,0,0
coworker,open,1,0,1,0,0,0,0,0,0,0,0
committing,open,1,0,0,1,0,0,0,0,0,0,0
follow,open,1,0,0,1,0,0,0,0,0,0,0
window,open,1,0,1,0,0,0,0,0,0,0,0
dusra,ambiguous,0,0,0,0,0,0,0,0,0,0,0
wider,open,1,0,0,0,1,0,0,0,0,0,0
kai,ambiguous,0,0,0,0,0,0,0,0,0,0,0
lee,open,2,0,1,0,1,0,0,0,0,0,0
vocal,open,2,0,1,0,1,0,0,0,0,0,0
account,open,2,0,1,1,0,0,0,0,0,0,0
sharply,open,1,0,0,0,0,1,0,0,0,0,0
complete,open,2,0,0,1,1,0,0,0,0,0,0
show,open,2,0,1,1,0,0,0,0,0,0,0
hoodie,open,1,0,1,0,0,0,0,0,0,0,0
most,open,2,0,0,0,1,1,0,0,0,0,0
flying,open,3,0,0,1,1,1,0,0,0,0,0
computing,ambiguous,0,0,0,0,0,0,0,0,0,0,0
comfortably,open,1,0,0,0,0,1,0,0,0,0,0
blast,open,2,0,1,1,0,0,0,0,0,0,0
wali,open,1,0,1,0,0,0,0,0,0,0,0
threats,open,1,0,1,0,0,0,0,0,0,0,0
bells,open,2,0,1,1,0,0,0,0,0,0,0
aisa,ambiguous,0,0,0,0,0,0,0,0,0,0,0
reward,open,2,0,1,1,0,0,0,0,0,0,0
