word,open_class,closed_class,noun,verb,adjective,adverb,auxiliary,conjunctions,determiners,prepositions,pronouns
embarrised,False,False,0,0,0,0,0,0,0,0,0
adapting,True,False,0,1,0,0,0,0,0,0,0
ececutives,False,False,0,0,0,0,0,0,0,0,0
golden,True,False,0,0,1,0,0,0,0,0,0
forums,True,False,1,0,0,0,0,0,0,0,0
reacting,True,False,0,1,0,0,0,0,0,0,0
'stupid',False,False,0,0,0,0,0,0,0,0,0
entitled,True,False,0,1,1,0,0,0,0,0,0
footer,True,False,1,0,0,0,0,0,0,0,0
tolerance,True,False,1,0,0,0,0,0,0,0,0
mahanhe,False,False,0,0,0,0,0,0,0,0,0
quires,True,False,1,0,0,0,0,0,0,0,0
tonko,False,False,0,0,0,0,0,0,0,0,0
alott,False,False,0,0,0,0,0,0,0,0,0
ally,True,False,1,1,0,0,0,0,0,0,0
rewrite,True,False,1,1,0,0,0,0,0,0,0
hugely,True,False,0,0,0,1,0,0,0,0,0
favv,False,False,0,0,0,0,0,0,0,0,0
subscribe,True,False,0,1,0,0,0,0,0,0,0
bahut,True,False,1,0,0,0,0,0,0,0,0
india,True,False,1,0,0,0,0,0,0,0,0
somewhy,True,False,0,0,0,1,0,0,0,0,0
yemen,True,False,1,0,1,0,0,0,0,0,0
overheating,True,False,1,1,0,0,0,0,0,0,0
omgg,False,False,0,0,0,0,0,0,0,0,0
airplanes,True,False,1,0,0,0,0,0,0,0,0
beautiful,True,False,0,0,1,0,0,0,0,0,0
beating,True,False,1,1,1,0,0,0,0,0,0
unsubscribed,True,False,0,0,1,0,0,0,0,0,0
screenshots,True,False,1,0,0,0,0,0,0,0,0
statue,True,False,1,0,0,0,0,0,0,0,0
realm,True,False,1,0,0,0,0,0,0,0,0
pronunciation,True,False,1,0,0,0,0,0,0,0,0
shake,True,False,1,1,0,0,0,0,0,0,0
sslc,False,False,0,0,0,0,0,0,0,0,0
mistaking,True,False,0,1,0,0,0,0,0,0,0
dissolving,True,False,1,1,0,0,0,0,0,0,0
shop,True,False,1,1,0,0,0,0,0,0,0
scammer,True,False,1,0,0,0,0,0,0,0,0
things,True,False,1,0,0,0,0,0,0,0,0
reliable,True,False,1,0,1,0,0,0,0,0,0
bore,True,False,1,1,0,0,0,0,0,0,0
dependability,True,False,1,0,0,0,0,0,0,0,0
uninformed,True,False,0,0,1,0,0,0,0,0,0
mwuahh,False,False,0,0,0,0,0,0,0,0,0
etf,False,False,0,0,0,0,0,0,0,0,0
delbar,False,False,0,0,0,0,0,0,0,0,0
demotivating,False,False,0,0,0,0,0,0,0,0,0
ought,True,False,1,0,0,1,0,0,0,0,0
explicit,True,False,0,0,1,0,0,0,0,0,0
procreate,False,False,0,0,0,0,0,0,0,0,0
workz,False,False,0,0,0,0,0,0,0,0,0
incidents,True,False,1,0,0,0,0,0,0,0,0
duper,True,False,1,0,0,0,0,0,0,0,0
