word,class_type,spacy_label,word_length,vowel_count,open_count,closed_count,noun,verb,adjective,adverb,auxiliary,conjunctions,determiners,prepositions,pronouns,frequency,log_relative_frequency,avg_sentiment
this,open,closed,4,1,2,2,1,0,0,1,0,0,1,0,1,19116,-0.7479567035593926,0.3734599602427385
that,open,closed,4,1,2,3,1,0,0,1,0,1,1,0,1,9933,-0.862733719757254,0.3483680157052237
so,closed,open,2,1,2,1,1,0,0,1,0,1,0,0,0,8327,-0.8936534297502559,0.4626324846883607
have,closed,open,4,2,1,1,0,1,0,0,1,0,0,0,0,7620,-0.9092092259169874,0.3522758398950097
can,open,closed,3,1,2,0,1,1,0,0,0,0,0,0,0,5909,-0.9537936325743164,0.4809369605686223
as,open,closed,2,1,1,0,1,0,0,0,0,0,0,0,0,4968,-0.98420490237696,0.3741810789049904
when,open,closed,4,1,2,1,1,0,0,1,0,1,0,0,0,4482,-1.0022539723949475,0.1929860553324405
has,closed,open,3,1,0,1,0,0,0,0,1,0,0,0,0,3852,-1.0288112406841785,0.3861653426791272
do,closed,open,2,1,2,1,1,1,0,0,1,0,0,0,0,3769,-1.032630246711787,0.238011514990714
its,open,closed,3,1,1,0,1,0,0,0,0,0,0,0,0,3602,-1.0405759332334257,0.3937023875624648
will,open,closed,4,1,2,0,1,1,0,0,0,0,0,0,0,3210,-1.0607762669810383,0.34177492211838
now,closed,open,3,1,2,1,1,0,0,1,0,1,0,0,0,2691,-1.0916957605242743,0.2308651430694901
some,open,closed,4,2,2,1,0,0,1,1,0,0,0,0,1,2124,-1.1331790690859913,0.3575925612052737
every,open,closed,5,2,1,0,0,0,1,0,0,0,0,0,0,2077,-1.1371021777573236,0.3744797785267214
there,open,closed,5,2,2,0,1,0,0,1,0,0,0,0,0,2070,-1.1376940547497754,0.2887937198067631
after,open,closed,5,2,2,1,0,0,1,1,0,1,0,0,0,1818,-1.1604529190821349,0.0845458745874587
something,open,closed,9,3,2,1,1,0,0,1,0,0,0,0,1,1563,-1.1869493615722664,0.1879227127319259
anything,open,closed,8,2,2,1,1,0,0,1,0,0,0,0,1,1463,-1.1985413059872465,0.3605200956937798
should,open,closed,6,2,1,0,1,0,0,0,0,0,0,0,0,1316,-1.2171065808036294,0.3320230243161097
had,closed,open,3,1,0,1,0,0,0,0,1,0,0,0,0,1256,-1.2252879525625395,0.282767436305733
