word,pos,source_base
aah,verb,aah
aahed,verb,aah
aahing,verb,aah
aahs,verb,aah
abacinate,verb,abacinate
abacinated,verb,abacinate
abacinates,verb,abacinate
abacinating,verb,abacinate
abandon,verb,abandon
abandonned,verb,abandon
abandonning,verb,abandon
abandons,verb,abandon
abase,verb,abase
abased,verb,abase
abases,verb,abase
abash,verb,abash
abashed,verb,abash
abashes,verb,abash
abashing,verb,abash
abasing,verb,abase
abate,verb,abate
abated,verb,abate
abates,verb,abate
abating,verb,abate
abbreviate,verb,abbreviate
abbreviated,verb,abbreviate
abbreviates,verb,abbreviate
abbreviating,verb,abbreviate
abdicate,verb,abdicate
abdicated,verb,abdicate
abdicates,verb,abdicate
abdicating,verb,abdicate
abduce,verb,abduce
abduced,verb,abduce
abduces,verb,abduce
abducing,verb,abduce
abduct,verb,abduct
abducted,verb,abduct
abducting,verb,abduct
abducts,verb,abduct
aberrate,verb,aberrate
aberrated,verb,aberrate
aberrates,verb,aberrate
aberrating,verb,aberrate
abet,verb,abet
abets,verb,abet
abetted,verb,abet
abetting,verb,abet
abhor,verb,abhor
abhorred,verb,abhor
abhorring,verb,abhor
abhors,verb,abhor
abide,verb,abide
abide_by,verb,abide_by
abided,verb,abide
abides,verb,abide
abiding,verb,abide
abied,verb,aby
abies,verb,aby
abjure,verb,abjure
abjured,verb,abjure
abjures,verb,abjure
abjuring,verb,abjure
ablactate,verb,ablactate
ablactated,verb,ablactate
ablactates,verb,ablactate
ablactating,verb,ablactate
ablate,verb,ablate
ablated,verb,ablate
ablates,verb,ablate
ablating,verb,ablate
abnegate,verb,abnegate
abnegated,verb,abnegate
abnegates,verb,abnegate
abnegating,verb,abnegate
abolish,verb,abolish
abolished,verb,abolish
abolishes,verb,abolish
abolishing,verb,abolish
abominate,verb,abominate
abominated,verb,abominate
abominates,verb,abominate
abominating,verb,abominate
abort,verb,abort
aborted,verb,abort
aborting,verb,abort
aborts,verb,abort
abound,verb,abound
abound_in,verb,abound_in
abounded,verb,abound
abounding,verb,abound
abounds,verb,abound
about-face,verb,about-face
abrade,verb,abrade
abraded,verb,abrade
abrades,verb,abrade
abrading,verb,abrade
abrase,verb,abrase
abrased,verb,abrase
abrases,verb,abrase
abrasing,verb,abrase
abreact,verb,abreact
abreacted,verb,abreact
abreacting,verb,abreact
abreacts,verb,abreact
abridge,verb,abridge
abridged,verb,abridge
abridges,verb,abridge
abridging,verb,abridge
abrogate,verb,abrogate
abrogated,verb,abrogate
abrogates,verb,abrogate
abrogating,verb,abrogate
abscise,verb,abscise
abscised,verb,abscise
abscises,verb,abscise
abscising,verb,abscise
abscond,verb,abscond
absconded,verb,abscond
absconding,verb,abscond
absconds,verb,abscond
abseil,verb,abseil
abseiled,verb,abseil
abseiling,verb,abseil
abseils,verb,abseil
absent,verb,absent
absented,verb,absent
absenting,verb,absent
absents,verb,absent
absolve,verb,absolve
absolved,verb,absolve
absolves,verb,absolve
absolving,verb,absolve
absorb,verb,absorb
absorbed,verb,absorb
absorbing,verb,absorb
absorbs,verb,absorb
absquatulate,verb,absquatulate
absquatulated,verb,absquatulate
absquatulates,verb,absquatulate
absquatulating,verb,absquatulate
abstain,verb,abstain
abstained,verb,abstain
abstaining,verb,abstain
abstains,verb,abstain
abstract,verb,abstract
abstracted,verb,abstract
abstracting,verb,abstract
abstracts,verb,abstract
abuse,verb,abuse
abused,verb,abuse
abuses,verb,abuse
abusing,verb,abuse
abut,verb,abut
abuts,verb,abut
abutted,verb,abut
abutting,verb,abut
aby,verb,aby
abye,verb,abye
abyed,verb,abye
abyes,verb,abye
abying,verb,aby
accede,verb,accede
acceded,verb,accede
accedes,verb,accede
acceding,verb,accede
accelerate,verb,accelerate
accelerated,verb,accelerate
accelerates,verb,accelerate
accelerating,verb,accelerate
accent,verb,accent
accented,verb,accent
accenting,verb,accent
accents,verb,accent
accentuate,verb,accentuate
accentuated,verb,accentuate
accentuates,verb,accentuate
accentuating,verb,accentuate
accept,verb,accept
accepted,verb,accept
accepting,verb,accept
accepts,verb,accept
access,verb,access
accessed,verb,access
accesses,verb,access
accessing,verb,access
accession,verb,accession
accessioned,verb,accession
accessioning,verb,accession
accessions,verb,accession
acclaim,verb,acclaim
acclaimed,verb,acclaim
acclaiming,verb,acclaim
acclaims,verb,acclaim
acclimate,verb,acclimate
acclimated,verb,acclimate
acclimates,verb,acclimate
acclimating,verb,acclimate
acclimatise,verb,acclimatise
acclimatised,verb,acclimatise
acclimatises,verb,acclimatise
acclimatising,verb,acclimatise
acclimatize,verb,acclimatize
acclimatized,verb,acclimatize
acclimatizes,verb,acclimatize
acclimatizing,verb,acclimatize
accommodate,verb,accommodate
accommodated,verb,accommodate
accommodates,verb,accommodate
accommodating,verb,accommodate
accompanied,verb,accompany
accompanies,verb,accompany
accompany,verb,accompany
accompanying,verb,accompany
accomplish,verb,accomplish
accomplished,verb,accomplish
accomplishes,verb,accomplish
accomplishing,verb,accomplish
accord,verb,accord
accorded,verb,accord
according,verb,accord
accords,verb,accord
accost,verb,accost
accosted,verb,accost
accosting,verb,accost
accosts,verb,accost
account,verb,account
account_for,verb,account_for
accounted,verb,account
accounting,verb,account
accounts,verb,account
accouter,verb,accouter
accouterred,verb,accouter
accouterring,verb,accouter
accouters,verb,accouter
accoutre,verb,accoutre
accoutred,verb,accoutre
accoutres,verb,accoutre
accoutring,verb,accoutre
accredit,verb,accredit
accredits,verb,accredit
accreditted,verb,accredit
accreditting,verb,accredit
accrete,verb,accrete
accreted,verb,accrete
accretes,verb,accrete
accreting,verb,accrete
accrue,verb,accrue
accrued,verb,accrue
accrues,verb,accrue
accruing,verb,accrue
acculturate,verb,acculturate
acculturated,verb,acculturate
acculturates,verb,acculturate
acculturating,verb,acculturate
accumulate,verb,accumulate
accumulated,verb,accumulate
accumulates,verb,accumulate
accumulating,verb,accumulate
accurse,verb,accurse
accursed,verb,accurse
accurses,verb,accurse
accursing,verb,accurse
accuse,verb,accuse
accused,verb,accuse
accuses,verb,accuse
accusing,verb,accuse
accustom,verb,accustom
accustommed,verb,accustom
accustomming,verb,accustom
accustoms,verb,accustom
ace,verb,ace
aced,verb,ace
acerbate,verb,acerbate
acerbated,verb,acerbate
acerbates,verb,acerbate
acerbating,verb,acerbate
aces,verb,ace
acetified,verb,acetify
acetifies,verb,acetify
acetify,verb,acetify
acetifying,verb,acetify
acetylate,verb,acetylate
acetylated,verb,acetylate
acetylates,verb,acetylate
acetylating,verb,acetylate
acetylise,verb,acetylise
acetylised,verb,acetylise
acetylises,verb,acetylise
acetylising,verb,acetylise
acetylize,verb,acetylize
acetylized,verb,acetylize
acetylizes,verb,acetylize
acetylizing,verb,acetylize
ache,verb,ache
ached,verb,ache
aches,verb,ache
achieve,verb,achieve
achieved,verb,achieve
achieves,verb,achieve
achieving,verb,achieve
aching,verb,ache
achromatise,verb,achromatise
achromatised,verb,achromatise
achromatises,verb,achromatise
achromatising,verb,achromatise
achromatize,verb,achromatize
achromatized,verb,achromatize
achromatizes,verb,achromatize
achromatizing,verb,achromatize
acid-wash,verb,acid-wash
acidified,verb,acidify
acidifies,verb,acidify
acidify,verb,acidify
acidifying,verb,acidify
acidulate,verb,acidulate
acidulated,verb,acidulate
acidulates,verb,acidulate
acidulating,verb,acidulate
acing,verb,ace
acknowledge,verb,acknowledge
acknowledged,verb,acknowledge
acknowledges,verb,acknowledge
acknowledging,verb,acknowledge
acquaint,verb,acquaint
acquainted,verb,acquaint
acquainting,verb,acquaint
acquaints,verb,acquaint
acquiesce,verb,acquiesce
acquiesced,verb,acquiesce
acquiesces,verb,acquiesce
acquiescing,verb,acquiesce
acquire,verb,acquire
acquired,verb,acquire
acquires,verb,acquire
acquiring,verb,acquire
acquit,verb,acquit
acquited,verb,acquit
acquiting,verb,acquit
acquits,verb,acquit
act,verb,act
act_as,verb,act_as
act_involuntarily,verb,act_involuntarily
act_on,verb,act_on
act_out,verb,act_out
act_reflexively,verb,act_reflexively
act_superior,verb,act_superior
act_up,verb,act_up
act_upon,verb,act_upon
acted,verb,act
acting,verb,act
action,verb,action
actioned,verb,action
actioning,verb,action
actions,verb,action
activate,verb,activate
activated,verb,activate
activates,verb,activate
activating,verb,activate
acts,verb,act
actualise,verb,actualise
actualised,verb,actualise
actualises,verb,actualise
actualising,verb,actualise
actualize,verb,actualize
actualized,verb,actualize
actualizes,verb,actualize
actualizing,verb,actualize
actuate,verb,actuate
actuated,verb,actuate
actuates,verb,actuate
actuating,verb,actuate
acuminate,verb,acuminate
acuminated,verb,acuminate
