word,noun,verb,adjective,adverb,auxiliary,compositions,conjunctions,determiners,existential_determiners,modifiers,negative_quantifiers,prepositions,universal_determiners,possessive_determiners,pronouns,frequency,review_count,avg_sentiment,length,confident,resolved_word,relative_frequency,log_relative_frequency,participation_score,open_class,closed_class,class_type,actual,predicted,actual_label,predicted_label
roulette,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.3637,8,1,roulette,7.342154687451817e-07,-2.4763327423549923,0.0666666666666666,True,False,open,open,unknown,open,unknown
replies,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,141,0.3255616438356166,7,1,replies,0.0001071954584367,-1.6025955961976566,0.0666666666666666,True,False,open,open,closed,open,closed
nato,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.7373,4,1,nato,1.4684309374903631e-06,-2.354808616279037,0.0,False,False,unknown,unknown,closed,unknown,closed
untold,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.84075,6,1,untold,1.4684309374903631e-06,-2.354808616279037,0.0666666666666666,True,False,open,open,unknown,open,unknown
chin,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.8598,4,1,chin,1.4684309374903631e-06,-2.354808616279037,0.2,True,False,open,open,closed,open,closed
perfectly,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,236,235,0.6575245762711863,9,1,perfectly,0.0001732748506238,-1.5184014346125905,0.0666666666666666,True,False,open,open,both,open,both
nighttime,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.743,9,1,nighttime,7.342154687451817e-07,-2.4763327423549923,0.0666666666666666,True,False,open,open,unknown,open,unknown
karunga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,0.3868583333333333,7,1,karunga,8.810585624942181e-06,-2.0406733074397825,0.0,False,False,unknown,unknown,open,unknown,open
doorway,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.9286,7,1,doorway,7.342154687451817e-07,-2.4763327423549923,0.0666666666666666,True,False,open,open,unknown,open,unknown
urging,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.98,6,1,urging,7.342154687451817e-07,-2.4763327423549923,0.1333333333333333,True,False,open,open,unknown,open,unknown
switch,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,203,196,0.1614399014778325,6,1,switch,0.0001490457401552,-1.5448094939404315,0.2,True,False,open,open,both,open,both
start,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,473,455,0.2122183932346723,5,1,start,0.0003472839167164,-1.3965062560086356,0.1333333333333333,True,False,open,open,closed,open,closed
sonet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.8224,5,0,sone,2.2026464062355453e-06,-2.283721559591693,0.0,False,False,unknown,unknown,open,unknown,open
differences,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0.3433374999999999,11,1,differences,5.873723749961453e-06,-2.111760364127126,0.0,False,False,unknown,unknown,open,unknown,open
chala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0.2404875,5,0,shala,5.873723749961453e-06,-2.111760364127126,0.0,False,False,unknown,unknown,open,unknown,open
pencils,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.9814,7,1,pencils,7.342154687451817e-07,-2.4763327423549923,0.1333333333333333,True,False,open,open,unknown,open,unknown
funtastic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.2844,9,1,funtastic,1.4684309374903631e-06,-2.354808616279037,0.0,False,False,unknown,unknown,open,unknown,open
jk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.904,2,0,jk,3.671077343725909e-06,-2.1941624598125973,0.0,False,False,unknown,unknown,closed,unknown,closed
contemporaries,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.765,14,1,contemporaries,7.342154687451817e-07,-2.4763327423549923,0.0666666666666666,True,False,open,open,unknown,open,unknown
squint,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.8625,6,1,squint,7.342154687451817e-07,-2.4763327423549923,0.2,True,False,open,open,unknown,open,unknown
