unknown_word,suggested_word,distance,frequency,avg_sentiment
claude,clade,1,3887,0.472458245433495
gpt,gp,1,2677,0.41105715353006955
doesn,does,1,2032,0.09667805118110244
ve,e,1,1902,0.4334818086225022
hai,ai,1,1797,0.21174040066777983
ideas,idea,1,748,0.6792378342245982
didn,din,1,745,0.1414013422818792
ll,l,1,635,0.3144708661417319
problems,problem,1,624,0.2793866987179488
etc,et,1,535,0.4916312149532711
bhi,hi,1,479,0.25053841336116917
aur,ar,1,372,0.2994975806451612
ke,k,1,362,0.19881436464088398
ui,u,1,310,0.2990258064516131
per,pe,1,305,0.19029770491803288
ive,ie,1,304,0.4658473684210527
videos,video,1,294,0.3634397959183674
errors,error,1,289,-0.04548304498269897
ye,y,1,284,0.22995704225352107
alot,lot,1,231,0.47981515151515136
couldn,could,1,220,0.10204999999999999
mein,min,1,215,0.25537581395348835
suggestions,suggestion,1,207,0.5786729468599033
lol,log,1,202,0.5925920792079205
nhi,nh,1,202,0.06436138613861389
nahi,ahi,1,201,0.10996616915422883
pls,ps,1,200,0.44474050000000004
deta,eta,1,194,0.21231649484536083
uninstalled,uninstaller,1,181,-0.06914475138121547
liye,lye,1,180,0.3370583333333333
ek,k,1,176,0.23995625000000007
during,luring,1,174,0.36148965517241394
happened,happener,1,168,0.10909404761904759
languages,language,1,166,0.4562307228915663
wouldn,would,1,160,0.20498562499999995
raha,aha,1,157,0.03182101910828026
skills,skill,1,152,0.5505796052631577
deeper,deepen,1,152,0.5329223684210525
karta,kata,1,135,0.21540444444444456
wasn,wan,1,134,0.23482164179104478
kuch,kach,1,134,0.12480746268656713
kya,ka,1,132,0.2327484848484848
hain,hin,1,130,0.3554830769230767
gonna,nonna,1,127,0.23786220472440953
kam,am,1,126,0.22379285714285735
soo,oo,1,123,0.5282178861788615
answered,answerer,1,119,0.29734873949579826
bhai,bai,1,113,0.2682920353982301
karne,karen,1,110,0.1419481818181818
sab,ab,1,102,0.28968823529411775
smarter,starter,1,102,0.6287029411764706
hu,h,1,100,0.12295100000000002
via,ia,1,99,0.13560808080808076
tha,th,1,98,0.27628265306122446
plz,plb,1,96,0.27759062500000015
wanna,anna,1,96,0.4308229166666666
products,product,1,92,0.4142217391304349
usefull,useful,1,92,0.33751847826086967
har,ar,1,90,0.38239777777777784
st,t,1,88,0.2415000000000001
helpfull,helpful,1,85,0.5090905882352941
karna,kana,1,84,0.2651988095238095
acha,ach,1,83,0.2421072289156627
isko,iso,1,82,0.1975658536585366
baat,baa,1,82,0.28004878048780496
among,amon,1,82,0.544434146341463
aren,are,1,80,0.16602875
offline,off-line,1,78,0.18501666666666672
idk,id,1,76,0.15694210526315794
hota,ota,1,74,0.052821621621621635
sahi,ahi,1,72,0.09694027777777779
karo,kar,1,72,0.2571875
lekin,lakin,1,71,0.10649859154929579
mera,era,1,71,0.14880985915492953
shouldn,should,1,70,0.13050285714285714
mai,ai,1,70,0.24544857142857143
sakte,sake,1,68,0.49256911764705874
sath,sat,1,67,-0.20166268656716416
areas,area,1,66,0.5972560606060608
kiya,kia,1,65,0.2372046153846154
meri,mei,1,64,0.23610781250000004
upon,cupon,1,61,0.397960655737705
iam,am,1,60,0.4064716666666667
bekar,beka,1,60,-0.069165
atleast,at_least,1,59,0.3364237288135594
holi,holy,1,59,0.7314830508474576
vs,s,1,59,0.2851966101694915
jata,jat,1,59,0.13026949152542372
texts,text,1,57,0.16644035087719297
hasn,has,1,57,0.1433824561403509
ux,u,1,57,0.16441228070175445
ise,is,1,57,0.19114210526315792
notifications,notification,1,57,0.2230964912280702
towards,toward,1,56,0.4506482142857142
diya,dia,1,55,0.2643745454545455
btw,bw,1,55,0.21086909090909092
decisions,decision,1,54,0.4939722222222222
accha,accra,1,53,0.3062132075471698
isse,sse,1,53,0.18566037735849056
toh,th,1,51,0.16117254901960784
jawab,jawan,1,51,0.10805098039215683
itna,ita,1,51,0.15667450980392153
gmail,mail,1,51,0.2299392156862745
kaam,aam,1,50,0.139656
omg,mg,1,50,0.4082699999999999
gotta,gotra,1,49,0.5400653061224489
rha,ra,1,48,-0.09413333333333335
abhi,ahi,1,47,0.0677744680851064
tbh,th,1,47,0.4456829787234043
abilities,habilities,1,47,0.5504234042553191
siri,sir,1,47,0.50611914893617
informations,information,1,47,0.3304148936170214
kisi,isi,1,46,0.24806739130434796
chij,chi,1,46,0.3759086956521739
ap,a,1,46,0.29238260869565225
memories,memorise,1,44,0.5044454545454544
discoveries,discoverees,1,44,0.6098181818181817
galat,gala,1,44,-0.02985681818181817
baar,bar,1,44,-0.02571590909090908
sabse,salse,1,42,0.25522857142857136
laga,aga,1,41,0.35677804878048774
offered,offeree,1,41,0.21282195121951222
acche,ache,1,41,0.41269512195121943
canceled,canceler,1,41,-0.12190243902439026
encountered,encounterer,1,40,0.2776025
gimini,bimini,1,40,0.360285
permissions,permission,1,40,0.34553500000000004
gbt,gb,1,40,0.4194625000000001
multi,bulti,1,40,0.43462499999999993
lo,o,1,39,0.23150000000000004
dumber,umber,1,39,-0.3952358974358975
gtp,gp,1,39,0.5242666666666665
calculations,calculation,1,39,0.23858974358974364
bhut,hut,1,38,0.38114999999999993
gaya,aya,1,38,0.1497657894736842
yeh,yew,1,37,0.26972162162162167
isme,ism,1,37,0.1556702702702703
jaise,raise,1,37,0.21290270270270267
rahe,rah,1,36,0.24793611111111113
