word,noun,verb,adjective,adverb,auxiliary,compositions,conjunctions,determiners,existential_determiners,modifiers,negative_quantifiers,prepositions,universal_determiners,possessive_determiners,pronouns,frequency,review_count,avg_sentiment,length,confident,resolved_word,relative_frequency,double_log_freq,participation_score,open_count,closed_count,word_length,vowel_count,class_type,is_short,has_apostrophe,is_alpha,unique_char_ratio,weighted_sentiment
cas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372,288,0.0507088709677419,3,1,cas,0.0108281181778489,0.730725245460503,0.0,0,0,3,1,ambiguous,True,False,True,1.0,0.1014177419354838
crispr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316,267,0.0130870253164556,6,0,crisp,0.0091980788822587,0.7267989125836488,0.0,0,0,6,1,ambiguous,False,False,True,0.8333333333333334,0.0261740506329112
ussr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,178,-0.1836940000000001,4,0,ssr,0.005821568912822,0.7149977972429479,0.0,0,0,4,1,ambiguous,True,False,True,0.75,-0.3673880000000002
al,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,176,-0.0134372881355932,2,0,al,0.0051520884878474,0.7116286024196924,0.0,0,0,2,1,ambiguous,True,False,True,1.0,-0.0268745762711864
from,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,75,71,-0.0958386666666666,4,1,from,0.0021830883423082,0.6848046240657477,0.0666666666666666,0,1,4,1,ambiguous,True,False,True,1.0,-0.1916773333333332
their,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,66,53,0.125710606060606,5,1,their,0.0019211177412312,0.6802614307792342,0.0666666666666666,0,0,5,2,ambiguous,False,False,True,1.0,0.251421212121212
dna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,37,0.0325936170212765,3,1,dna,0.0013680686945131,0.6673591784382801,0.0,0,0,3,1,ambiguous,True,False,True,1.0,0.065187234042553
classi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,38,0.1016,6,0,class,0.0012807451608208,0.664699894291389,0.0,0,0,6,2,ambiguous,False,False,True,0.8333333333333334,0.2032
they,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,43,40,0.2227441860465115,4,1,they,0.0012516373162567,0.6637605539783985,0.0666666666666666,0,1,4,1,ambiguous,True,False,True,1.0,0.445488372093023
into,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,41,40,-0.1297390243902439,4,1,into,0.0011934216271285,0.6617935805169496,0.0666666666666666,0,1,4,2,ambiguous,True,False,True,1.0,-0.2594780487804878
