word,pos
"007",noun
"0",noun
"0-10-0",noun
"0-10-2",noun
"0-12-0",noun
"0-2-2",noun
"0-4-0+0-4-0",noun
"0-4-0",noun
"0-4-2",noun
"0-4-4-0",noun
"0-4-4",noun
"0-4-4-2",noun
"0-6-0",noun
"0-6-2",noun
"0-6-4",noun
"0-6-6-0",noun
"0-8-0",noun
"0800 number",noun
"0-8-2",noun
"0-8-4",noun
"0-8-8-0",noun
"0TLP",noun
$100 hamburger,noun
"10-20",noun
"1040",noun
"109",noun
"1099",noun
"10Base5",noun
"11-plus examination",noun
"11th hour",noun
"120-cell",noun
"1-2-3 block",noun
"12-foot",noun
"12mo",noun
"147",noun
"163rd game",noun
"16-cell",noun
"16mo",noun
"180",noun
"18mo",noun
"18-wheeler",noun
"18-yard box",noun
"1B",noun
"1BH",noun
"1D",noun
"1-D RCM",noun
"1-H",noun
"2-10-0",noun
"2-10-10-2",noun
"2-10-2",noun
"2-10-4",noun
"2-12-0",noun
"2-12-2",noun
"2-12-4",noun
"2+1 road",noun
"2-2-0",noun
"2-2-2",noun
"2-2-4",noun
"2-4-0",noun
"2-4-2",noun
"2-4-4-2",noun
"2-4-4",noun
"2-4-6 block",noun
"24-cell",noun
"24mo",noun
"2-6-0+0-6-2",noun
"2-6-0",noun
"2-6-2",noun
"2-6-4",noun
"2-6-6-0",noun
"2-6-6-2",noun
"2-6-6",noun
"2-6-6-4",noun
"2-6-6-6",noun
"2-6-8-0",noun
"2-8-0+0-8-2",noun
"2-8-0",noun
"2-8-2",noun
"2-8-4",noun
"2-8-6",noun
"2-8-8-0",noun
"2-8-8-2",noun
"2-8-8-4",noun
"2-8-8-8-2",noun
"2-8-8-8-4",noun
"2 L",noun
"2L",noun
"2-methylpropane",noun
№ 2 pencil,noun
"2x4",noun
"32mo",noun
"32nd note",noun
"3/4 brother",noun
"3/4 sibling",noun
"3/4 sister",noun
"360",noun
"360 backflip",noun
"3 card monte",noun
"3-card monte",noun
"3D job",noun
"3D printer",noun
"3D scanner",noun
"3' end",noun
"3P",noun
"3rd grade",noun
"404 page",noun
"4-10-0",noun
"4-10-2",noun
"4-12-2",noun
"4-14-4",noun
"419",noun
"419 fraud",noun
"419 scam",noun
"419 scammer",noun
"4-2-0",noun
"420",noun
"4-2-2",noun
"4-3 suspension",noun
"4-4-0",noun
"4-4-4-4",noun
"4-4-4",noun
"4-4-6-4",noun
"4-6-0",noun
"4-6-2+2-6-4",noun
"4-6-2",noun
"4-6-4-4",noun
"4-6-4",noun
"4-6-6-2",noun
"4-6-6-4",noun
"470",noun
"4-8-0",noun
"4-8-2",noun
"4-8-4+4-8-4",noun
"4-8-4",noun
"4-8-6",noun
"4-8-8-2",noun
"4-8-8-4",noun
"49er",noun
"4D ultrasound",noun
"4-H Club",noun
"4-H'er",noun
"4ktro",noun
"4rum",noun
"4to",noun
"4x2",noun
"4x2",noun
"4x4",noun
"4x4",noun
"4x4x4",noun
"50-50",noun
"50-gon",noun
"527",noun
"540",noun
"56k",noun
"5' cap",noun
"5-cell",noun
"5' end",noun
"5 o'clock shadow",noun
"5 percenter",noun
"5 second delay",noun
