Word,Meaning
and,"As a coordinating conjunction; expressing two elements to be taken together or in addition to each other."
that,"Introducing a clause which is the subject or object of a verb (such as one involving reported speech), or which is a complement to a previous statement."
but,"Except (for), excluding. Often preceded by a negation."
or,"Connects at least two alternative words, phrases, clauses, sentences, etc. each of which could make a passage true. In English, this is the &quot;inclusive or.&quot; The &quot;exclusive or&quot; is formed by &quot;eitheror&quot;."
if,"Supposing that, assuming that, in the circumstances that; used to introduce a condition or choice."
when,"At what time."
than,"(obsolete outside dialects usually used with for) Because; for."
because,"By or for the cause that; on this account that; for the reason that."
while,"During the same time that."
where,"While on the contrary; although; whereas."
although,"Though, even though, in spite of the fact that: introducing a clause that expresses a concession."
whether,"(obsolete) Introducing a direct interrogative question (often with correlative or) which indicates doubt between alternatives."
though,"Despite the fact that; although."
before,"in advance of the time when"
since,"From the time that."
so,"In order that."
until,"Up to the time that (a condition becomes true)."
after,"Signifies that the action of the clause it starts takes place before the action of the other clause."
for,"(now uncommon) Because."
nor,"(literary) And not (introducing a negative statement, without necessarily following one)"
unless,"Except on a specified condition; if not."
once,"As soon as; when; after."
except,"With the exception (that); used to introduce a clause, phrase or adverb forming an exception or qualification to something previously stated."
whereas,"In contrast; whilst on the contrary."
whilst,"(British rare or literary in North America) While, at the same time."
like,"(colloquial) As, the way."
till,"Until, until the time that."
and/or,"Joins two alternatives to mean either or both; indicates that inclusive  or is meant where or alone might be taken to mean exclusive  or."
albeit,"Although, despite (it) being."
'cos,"(British slang) Eye dialect of 'cause; because."
lest,"For fear that; that not; in order that not; in case."
immediately,"Indicates that the dependent clause describes something that occurs immediately after the independent clause's referent does."
whereupon,"After which, in consequence."
now,"Since, because, in light of the fact; often with that."
afore,"In advance of the time when; before."
plus,"sum of the previous one and the following one."
iff,"Obsolete spelling of if."
tho',though
dat,"(slang dialectal nonstandard AAVE) that"
notwithstanding,Although.
whereat,"at which, or toward which"
'cept,"nonstandard form of except"
inasmuch,"Only used in inasmuch as"
til,"(colloquial) until, till"
save,"(dated) unless; except"
ne,"(obsolete) Nor."
only,"Under the condition that; but."
altho',"Alternative form of although"
then,"Obsolete spelling of than"
altho,"(informal chiefly US) Alternative spelling of although"
forwhy,"(Archaic) Because; for the reason that."
tofore,"(obsolete) Before."
"so that","Indicates purpose; in order that, with the result that."
vedder,"Eye dialect of whether"
lak,"Eye dialect spelling of like"
whilest,"obsolete form of whilst"
whyle,"Obsolete spelling of while"
whylest,"obsolete form of whilst"
whylst,"obsolete form of whilst"
allthough,"obsolete form of although"
'coz,"(informal) Alternative form of 'cause"
forcause,"(obsolete) because, for the reason that."
whilom,While.
without,"(archaic otherwise _ nonstandard) Unless, except (introducing a clause)."
cus,"(nonstandard informal) because"
coz,"(informal) because"
whilome,"Alternative form of whilom"
sence,"(dialectal) Alternative spelling of since"
"in order that","So that; used to indicate purpose"
quus,"(philosophy) Indicates the quaddition operation."
how,"In which way; in such way."
"precisely unless","(mathematics logic) implies a negative 'and' is implied by a negative; i.e. B implies not-A and not-B implies A"
"when, as, and if","(legal finance business) Used to indicate the timing and contingency of some obligation in contracts, especially financial."
"such that","Indicates extent; to the extent that"
whenas,"(Archaic) When."
"having said that","however; despite what one has just stated"
"in addition to","and, as well as"
b'cause,
whence,"(literary poetic) Used for introducing the result of a fact that has just been stated."
OR,"(logic) Inclusive or; either one proposition or the other is true or both."
"along with","In addition to."
whenever,"At any time that."
other,"(obsolete) Or."
"much less","(Idiomatic) Let alone; to say nothing of."
fur,"Eye dialect spelling of for"
sith,"(Archaic) since."
less'n,"(regional) Unless."
"but if","(obsolete) Unless."
"only for","Introduces an unexpected situation that renders the aforementioned effort inadequate or irrelevant."
bcos,"(internet slang text messaging) Abbreviation of because"
eef,"nonstandard spelling of if nodot=1 representing old-fashioned AAVE or various accents, including Latin-American, French or Romani."
bcoz,"(informal internet slang text messaging) Abbreviation of because"
"but then","(Idiomatic) then again, on the other hand; used to show that the opposite viewpoint is possible."
"only if","Not unless; used to introduce a necessary condition."
soe,"obsolete form of so"
bekase,"Obsolete spelling of because"
sithe,"Alternative spelling of sith"
"the way","as, in the way that"
forthy,"Because, for sake, forwhy."
sithen,"(obsolete) From or since the time that."
"only to","Used to show that something is surprising, unexpected or vain"
albe,"(obsolete) Although; despite the fact that."
sithence,"(obsolete) From or since the time that."
caze,"Obsolete spelling of because"
thy,"(obsolete) because."
unlesse,"Obsolete spelling of unless"
unlessen,"(US dialect) unless"
"even if","Regardless of whether; irrespective of (something happening or being the case)."
unlesss,"(mathematics logic) Precisely unless."
"to say nothing of","(Idiomatic) used by the speaker to mention another important, usually related, point; an apophasis"
quhair,"Obsolete spelling of where"
not,"And not."
nay,"or even, or more like, or should I say. Introduces a stronger and more appropriate expression than the preceding one."
quhar,"Obsolete spelling of where"
"in regard","(obsolete) since; because; inasmuch as; considering that; considering."
andt,"Eye dialect of and"
"in case","To allow for the possibility that."
quher,"Obsolete spelling of where"
"even though","although, though; despite or in spite of the fact that"
"inasfar as","(nonstandard) Insofar as."
