mapped_id,word,sentence_id,location_in_sentence,bundle_id,xmin,ymin,xmax,ymax,Page
0,#A,0,300,2,92.20238494873048,596.8280029296875,96.56600189208984,606.7905883789062,1
1,#E,0,299,2,92.20162963867188,581.9439086914062,97.73584747314452,591.906494140625,1
2,(1),0,161,1,244.36273193359372,595.6483154296875,332.93218994140625,605.6109619140625,0
3,(2),0,183,2,53.67903137207031,102.75398254394533,221.82774353027344,112.71658325195312,1
4,(3),0,188,2,53.67903137207031,126.74397277832033,190.95867919921875,136.70657348632812,1
5,(5),0,191,2,53.67903137207031,138.61940002441406,221.78993225097656,148.58200073242188,1
6,(KKT) optimality conditions,0,185,2,53.67903137207031,114.7489776611328,221.8297576904297,124.71157836914062,1
7,0.396,0,642,3,244.3557891845703,582.8295288085938,412.3063659667969,592.7921752929688,2
8,"0.4,",0,712,5,63.77115249633789,415.3704833984375,221.81890869140625,425.33306884765625,3
9,0.407,0,493,3,53.69886779785156,558.8517456054688,221.85763549804688,568.8143920898438,2
10,0.409,0,641,3,244.3557891845703,582.8295288085938,412.3063659667969,592.7921752929688,2
11,0.423,0,643,3,244.3557891845703,594.8245239257812,412.4148864746094,604.7871704101562,2
12,0.469,0,628,3,244.3557891845703,510.3715515136719,412.49462890625,520.3341674804688,2
13,0.479,0,529,3,244.38302612304688,221.94664001464844,412.7211608886719,231.90924072265625,2
14,0.483,0,655,3,53.67903137207031,78.77650451660156,145.55613708496094,88.73910522460938,3
15,0.512,0,551,3,339.3990173339844,318.53662109375,356.52374267578125,328.4992370605469,2
16,0.514,0,648,3,244.3557891845703,618.6948852539062,292.7181701660156,628.6575317382812,2
17,0.514,0,649,3,244.35580444335935,630.6898803710938,392.2615051269531,640.6525268554688,2
18,0.521,0,657,3,53.67903137207031,100.85108947753906,221.8507232666016,110.81369018554688,3
19,0.523,0,627,3,244.3557891845703,510.3715515136719,412.49462890625,520.3341674804688,2
20,0.536,0,656,3,53.67903137207031,78.77650451660156,145.55613708496094,88.73910522460938,3
21,0.537,0,629,3,244.3557891845703,522.3665161132812,412.5125732421875,532.3291625976562,2
22,0.541,0,650,3,244.35580444335935,630.6898803710938,392.2615051269531,640.6525268554688,2
23,0.548,0,634,3,244.3557891845703,546.2368774414062,308.33453369140625,556.1995239257812,2
24,0.551,0,573,3,364.95904541015625,342.8940734863281,374.98040771484375,352.8566589355469,2
