mapped_id,word,sentence_id,location_in_sentence,bundle_id,xmin,ymin,xmax,ymax,Page
0,"""",5324,1,0,47.25,308.33544921875,396.567138671875,319.4066467285156,11
1,"""Brezhnev",4407,0,0,61.41764831542969,344.33447265625,565.4812622070312,355.4056701660156,9
2,"""Cambridge",2096,0,0,47.25,476.331787109375,565.4817504882812,487.4029846191406,4
3,"""Carter",5422,0,0,61.41764831542969,513.0810546875,565.4820556640625,524.1522216796875,11
4,"""Castros""",3661,0,0,61.41764831542969,527.33056640625,565.485595703125,538.4017333984375,7
5,"""Chinas""",2985,0,0,47.25,260.336181640625,434.5268249511719,271.4073791503906,6
6,"""Chinas""",4314,0,0,61.41764831542969,164.33836364746094,565.48095703125,175.40956115722656,9
7,"""Chinas""",4336,1,0,47.25,188.3378753662109,565.4798583984375,199.40907287597656,9
8,"""Chinas""",5241,0,0,47.25,212.3378753662109,565.488037109375,223.40907287597656,11
9,"""Cosmos""",2048,0,0,47.25,404.333251953125,565.4879760742188,415.4044494628906,4
10,"""Cubas""",3699,1,0,47.25,575.32958984375,565.4793090820312,586.4007568359375,7
11,"""Europes""",1563,1,0,47.25,357.0841064453125,565.4837646484375,368.1553039550781,3
12,"""Europes""",1567,1,0,47.25,357.0841064453125,565.4837646484375,368.1553039550781,3
13,"""Frances""",4016,0,0,47.25,368.33447265625,565.48291015625,379.4056701660156,8
14,"""Germanys""",776,0,0,61.41764831542969,599.3287963867188,565.4790649414062,610.3999633789062,1
15,"""Germanys""",3624,0,0,47.25,443.33251953125,420.59222412109375,454.4037170410156,7
16,"""Gorbachevs""",5669,1,0,47.25,236.3368988037109,565.481201171875,247.40809631347656,12
17,"""Gorbachevs""",5690,1,0,61.41764831542969,260.3359375,565.4871826171875,271.4071350097656,12
18,"""Gorbachevs""",5799,0,0,47.25,392.3330078125,565.4849243164062,403.4042053222656,12
19,"""Gorbachevs""",5845,0,0,61.41764831542969,440.33203125,565.4862060546875,451.4032287597656,12
20,"""Gorbachevs""",5935,1,0,47.25,535.580078125,565.4892578125,546.6512451171875,12
21,"""Gorbachevs""",5999,0,0,47.25,643.5771484375,565.4813232421875,654.6483154296875,12
22,"""Gorbachevs""",6014,0,0,61.41764831542969,667.5771484375,565.4823608398438,678.6483154296875,12
23,"""Guam",4675,0,0,47.25,92.34031677246094,511.6807556152344,103.4115219116211,10
24,"""Gulf",4039,0,0,47.25,404.33349609375,565.4899291992188,415.4046936035156,8
25,"""Iron",153,1,0,47.25,450.8321838378906,565.4846801757812,461.90338134765625,0
26,"""Keyhole""",2042,1,0,47.25,392.333740234375,565.4786987304688,403.4049377441406,4
27,"""NATOs""",6267,1,0,47.25,332.33642578125,565.4872436523438,343.4076232910156,13
28,"""Nixon",4679,0,0,47.25,92.34031677246094,511.6807556152344,103.4115219116211,10
29,"""Nixon",4716,0,0,47.25,140.33934020996094,565.4869384765625,151.41053771972656,10
30,"""Nixons""",4610,0,0,47.25,691.57666015625,565.4857177734375,702.6478271484375,9
31,"""Nixons""",4793,1,0,61.41764831542969,224.3373870849609,565.477294921875,235.40858459472656,10
32,"""Nixons""",5068,1,0,47.25,631.578125,565.4850463867188,642.6492919921875,10
33,"""Pacts""",1074,1,0,47.25,320.335205078125,565.4879150390625,331.4064025878906,2
34,"""Partner,",4682,0,0,47.25,92.34031677246094,511.6807556152344,103.4115219116211,10
35,"""Partys""",1251,1,0,47.25,585.0792236328125,565.4780883789062,596.150390625,2
36,"""Patriot""",2241,0,0,47.25,679.5771484375,565.4898681640625,690.6483154296875,4
37,"""Peoples""",3887,1,0,47.25,164.33885192871094,565.4848022460938,175.41004943847656,8
38,"""Peoples""",4217,0,0,61.41764831542969,717.07666015625,565.4862670898438,728.1478271484375,8
39,"""Pillars",1202,0,0,61.41764831542969,525.08056640625,565.4835205078125,536.1517333984375,2
40,"""Prague",1025,0,0,47.25,248.33677673339844,565.488525390625,259.4079895019531,2
41,"""Renewing",5840,1,0,61.41764831542969,440.33203125,565.4862060546875,451.4032287597656,12
42,"""Russias""",6257,1,0,61.41764831542969,320.33642578125,565.4872436523438,331.4076232910156,13
43,"""Star",2148,0,0,47.25,547.580078125,565.4853515625,558.6512451171875,4
44,"""Star",2246,0,0,47.25,679.5771484375,565.4898681640625,690.6483154296875,4
45,"""Star",2329,0,0,47.25,104.34007263183594,565.4822998046875,115.4112777709961,5
46,"""Star",2357,1,0,47.25,152.33885192871094,565.484375,163.41004943847656,5
47,"""Star",2391,1,0,61.41764831542969,200.3378753662109,565.4874877929688,211.40907287597656,5
48,"""Star",2447,0,0,47.25,272.336181640625,565.4815673828125,283.4073791503906,5
49,"""Strategic",2144,0,0,61.41764831542969,535.580322265625,565.4813232421875,546.6514892578125,4
50,"""Three",2970,1,0,61.41764831542969,248.33665466308597,565.4851684570312,259.4078674316406,6
51,"""Three",3157,1,0,61.41764831542969,475.581298828125,565.485595703125,486.6524963378906,6
52,"""Three",3193,0,0,47.25,511.580810546875,565.48828125,522.6519775390625,6
53,"""Truman",839,0,0,47.25,708.8263549804688,565.4888916015625,719.8975219726562,1
54,"""US""",4663,0,0,47.25,68.34080505371094,473.2171325683594,79.4120101928711,10
55,"""US""",5632,0,0,61.41764831542969,152.33885192871094,565.4889526367188,163.41004943847656,12
56,"""US-Soviet",6215,0,0,61.41764831542969,272.33740234375,565.479248046875,283.4085998535156,13
57,"""USSRs""",803,0,0,47.25,623.3283081054688,565.48388671875,634.3994750976562,1
58,"""USSRs""",1178,0,0,61.41764831542969,501.0810546875,565.4884033203125,512.1522216796875,2
59,"""USSRs""",1906,0,0,61.41764831542969,164.33885192871094,565.4879760742188,175.41004943847656,4
60,"""USSRs""",2339,0,0,47.25,116.33982849121094,565.4819946289062,127.4110336303711,5
61,"""USSRs""",2453,1,0,47.25,284.3359375,565.4799194335938,295.4071350097656,5
62,"""USSRs""",2464,0,0,47.25,296.335693359375,565.4853515625,307.4068908691406,5
63,"""USSRs""",4499,1,0,47.25,487.5810546875,565.4839477539062,498.6522521972656,9
64,"""USSRs""",4511,0,0,61.41764831542969,511.58056640625,565.4826049804688,522.6517333984375,9
65,"""USSRs""",4630,0,0,47.25,715.576171875,565.48486328125,726.6473388671875,9
66,"""USSRs""",4958,0,0,47.25,464.33203125,565.4847412109375,475.4032287597656,10
67,"""USSRs""",5024,0,0,61.41764831542969,559.57958984375,565.4857177734375,570.6507568359375,10
68,"""USSRs""",6323,0,0,47.25,440.33349609375,565.4789428710938,451.4046936035156,13
69,"""Vietnams""",4034,1,0,47.25,404.33349609375,565.4899291992188,415.4046936035156,8
70,"""Voice",1958,1,0,47.25,236.33714294433597,565.4827880859375,247.4083404541016,4
71,"""Zedongs""",2975,1,0,61.41764831542969,248.33665466308597,565.4851684570312,259.4078674316406,6
72,"""acceleration",5752,0,0,47.25,344.333984375,565.490234375,355.4051818847656,12
73,"""active",923,0,0,47.25,128.33958435058594,565.4804077148438,139.41078186035156,2
74,"""administrations""",4724,1,0,47.25,152.33885192871094,565.48681640625,163.41004943847656,10
75,"""administrations""",5574,1,0,47.25,68.34080505371094,537.7899780273438,79.4120101928711,12
76,"""administrations""",5652,1,0,61.41764831542969,176.33787536621094,565.4797973632812,187.40907287597656,12
77,"""backyard""",3672,1,0,47.25,539.33056640625,565.4839477539062,550.4017333984375,7
78,"""balance",4712,1,0,47.25,128.33934020996094,565.4853515625,139.41053771972656,10
79,"""based",5442,1,0,47.25,537.08056640625,565.4820556640625,548.1517333984375,11
80,"""cold",5553,0,0,341.9576416015625,33.86795425415039,551.45361328125,44.71710968017578,12
81,"""containing",1364,0,0,47.25,717.076171875,565.4793090820312,728.1473388671875,2
82,"""containment""",831,0,0,47.25,708.8263549804688,565.4888916015625,719.8975219726562,1
83,"""control""",1983,1,0,47.25,260.336669921875,565.4866333007812,271.4078674316406,4
84,"""domino",4009,0,0,47.25,356.33447265625,565.4806518554688,367.4056701660156,8
85,"""détente""",5434,0,0,47.25,525.08056640625,565.481201171875,536.1517333984375,11
86,"""evolution""",6595,0,0,47.25,116.34031677246094,565.4788818359375,127.4115219116211,14
87,"""evolving""",6619,0,0,61.41764831542969,152.33934020996094,565.4785766601562,163.41053771972656,14
88,"""fifth",1252,0,0,47.25,585.0792236328125,565.4780883789062,596.150390625,2
89,"""free",1285,0,0,47.25,621.078369140625,565.479248046875,632.1495361328125,2
90,"""free",1387,0,0,47.25,68.34068298339844,494.4727783203125,79.4118881225586,3
91,"""free",2032,0,0,47.25,368.334228515625,149.22166442871094,379.4054260253906,4
92,"""from",1214,0,0,47.25,549.080078125,565.4842529296875,560.1512451171875,2
93,"""humane,",5691,0,0,61.41764831542969,260.3359375,565.4871826171875,271.4071350097656,12
94,"""idling""",5833,0,0,47.25,416.3330078125,565.4777221679688,427.4042053222656,12
95,"""inertia""",6441,0,0,47.25,595.58056640625,565.4786376953125,606.6517333984375,13
96,"""international",4434,1,0,47.25,392.33349609375,547.8494262695312,403.4046936035156,9
97,"""irretrievability""",4237,0,0,47.25,68.34080505371094,565.481689453125,79.4120101928711,9
98,"""large-scale",890,0,0,47.25,92.34031677246094,565.4815673828125,103.4115219116211,2
99,"""liberal",1377,0,0,61.41764831542969,56.3409309387207,565.4795532226562,67.4121322631836,3
100,"""little",4332,1,0,47.25,188.3378753662109,565.4798583984375,199.40907287597656,9
101,"""low-intensity",5584,1,0,61.41764831542969,92.33982849121094,565.478759765625,103.4110336303711,12
102,"""missiles""",2211,0,0,47.25,631.578125,257.5151672363281,642.6492919921875,4
103,"""mutually",2326,0,0,47.25,104.34007263183594,565.4822998046875,115.4112777709961,5
104,"""new",507,0,0,47.25,224.3373260498047,565.48779296875,235.4085235595703,1
105,"""obsolescence""",5931,0,0,47.25,523.580078125,565.4775390625,534.6512451171875,12
106,"""one",6732,0,0,47.25,308.33544921875,434.9837951660156,319.4066467285156,14
107,"""ones""",3357,1,0,47.25,715.575927734375,452.9179382324219,726.6470947265625,6
108,"""others""",304,1,0,47.25,666.8272705078125,538.1365966796875,677.8984375,0
109,"""others""",2052,0,0,47.25,416.3330078125,565.48046875,427.4042053222656,4
110,"""others""",2091,0,0,61.41764831542969,464.33203125,565.4837646484375,475.4032287597656,4
111,"""others""",2537,0,0,47.25,429.082763671875,565.4852294921875,440.1539611816406,5
112,"""others""",4273,0,0,47.25,104.33982849121094,475.7258605957031,115.4110336303711,9
113,"""others""",7084,1,0,61.41764831542969,152.33836364746094,565.481201171875,163.40956115722656,15
114,"""partys""",5873,1,0,47.25,464.33203125,565.4790649414062,475.4032287597656,12
115,"""peoples""",1766,1,0,47.25,657.0775146484375,565.4857788085938,668.148681640625,3
116,"""peoples""",2014,1,0,47.25,320.335205078125,565.4814453125,331.4064025878906,4
117,"""peoples""",6318,0,0,61.41764831542969,428.33349609375,565.4777221679688,439.4046936035156,13
118,"""peoples""",7328,0,0,47.25,514.58056640625,565.4793090820312,525.6517333984375,15
119,"""peoples""",7354,1,0,47.25,562.57958984375,565.48291015625,573.6507568359375,15
120,"""peoples""",7384,0,0,47.25,598.57861328125,192.1563720703125,609.6497802734375,15
121,"""policy",1269,0,0,47.25,609.07861328125,565.4789428710938,620.1497802734375,2
122,"""power",1256,0,0,47.25,597.0789794921875,565.48095703125,608.150146484375,2
123,"""powers""",1185,1,0,61.41764831542969,501.0810546875,565.4884033203125,512.1522216796875,2
124,"""prevention",898,0,0,47.25,92.34031677246094,565.4815673828125,103.4115219116211,2
125,"""programs""",1639,1,0,47.25,465.0816650390625,565.475830078125,476.1528625488281,3
126,"""provocations""",4036,0,0,47.25,404.33349609375,565.4899291992188,415.4046936035156,8
127,"""quarantine""",3737,0,0,61.41764831542969,647.328125,565.4794311523438,658.3992919921875,7
128,"""reformers""",6531,0,0,47.25,727.57763671875,565.4850463867188,738.6488037109375,13
129,"""regions""",5414,0,0,47.25,489.08154296875,565.486328125,500.1527404785156,11
130,"""revolution""",5886,1,0,47.25,475.5810546875,565.4799194335938,486.6522521972656,12
131,"""sides""",2066,1,0,47.25,428.332763671875,565.487548828125,439.4039611816406,4
132,"""theoretical",5916,0,0,61.41764831542969,511.580078125,565.48779296875,522.6512451171875,12
133,"""totalitarian",1381,0,0,47.25,68.34068298339844,494.4727783203125,79.4118881225586,3
134,"""totalitarianism""",5707,0,0,47.25,284.3359375,565.4776611328125,295.4071350097656,12
135,"""unfree""",1989,0,0,47.25,272.33642578125,565.4885864257812,283.4076232910156,4
136,&,7428,0,0,65.24958801269531,56.48016357421875,522.5003662109375,66.44673156738281,16
137,&,7449,0,0,65.24958801269531,99.97918701171876,524.2947387695312,109.9457550048828,16
