mapped_id,word,sentence_id,location_in_sentence,bundle_id,xmin,ymin,xmax,ymax,Page
0,"""According to Harris Mehmeds declaration of his invasion as jihad was new""",0,146,0,85.44000244140625,391.740966796875,451.5478515625,402.8866882324219,1
1,"""Christians",0,66,0,103.91999816894533,66.43058013916016,226.3267974853516,74.91350555419922,1
2,"""Harriss final words to readers who have not experienced their situation are""",0,171,0,85.44000244140625,464.4028625488281,125.89616394042967,474.0650329589844,1
3,"""The authors discussion of church union is especially relevant for churc""",0,125,0,85.68000030517578,295.0209655761719,449.7000427246094,306.16668701171875,1
4,"""accepting union. Harriss account of the Council of Florence in 1439 offers a""",0,131,0,85.44000244140625,331.2609558105469,440.3209533691406,342.4066772460937,1
5,"""and unwelcome to many Turks. Traditionally",0,147,0,85.44000244140625,391.740966796875,451.5478515625,402.8866882324219,1
6,"""finance they controlled",0,100,0,85.91999816894531,185.43679809570312,453.0884399414063,195.8343963623047,1
7,"""years three such texts have been published. John Schwallers book is the most""",0,209,0,87.12000274658203,68.79679107666016,487.7528076171875,79.19438934326172,2
8,1453),0,47,0,248.27999877929688,823.8159790039062,348.7120056152344,834.4879760742188,0
9,2008). It is particularly strong in its coverage of the,0,231,0,87.12000274658203,142.34815979003906,486.6178894042969,152.28927612304688,2
10,2010. xxii +298 pp. $40.00 cloth.,0,34,0,36.0,325.416015625,39.51000213623047,336.8280029296875,0
11,2011. x +319 pp. $35.00,0,205,0,87.12000274658203,46.32114791870117,221.7823028564453,55.36198806762695,2
12,21 May 2026 17:03:59 UTC\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00,0,27,0,36.0,298.416015625,557.0823364257812,309.8280029296875,0
13,21 May 2026 17:03:59 UTC\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00,0,105,0,85.68000030517578,209.74688720703125,452.7663879394531,220.6770477294922,1
14,21 May 2026 17:03:59 UTC\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00,0,179,0,84.95999908447266,490.6622314453125,450.0559997558594,500.8189086914063,1
15,21 May 2026 17:03:59 UTC\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00,0,242,0,86.87999725341797,178.71676635742188,488.2984619140625,189.11436462402344,2
16,434 CHURCH HISTORY,0,29,0,36.0,307.416015625,555.1561889648438,318.8280029296875,0
17,435,0,108,0,86.63999938964844,222.15679931640625,437.40631103515625,232.5543975830078,1
18,436,0,181,0,85.19999694824219,502.195556640625,451.3694152832031,513.5821533203125,1
19,All use subject to https://about.jstor.org/terms,0,28,0,36.0,307.416015625,555.1561889648438,318.8280029296875,0
20,All use subject to https://about.jstor.org/terms,0,106,0,85.68000030517578,209.74688720703125,452.7663879394531,220.6770477294922,1
21,All use subject to https://about.jstor.org/terms,0,180,0,85.19999694824219,502.195556640625,451.3694152832031,513.5821533203125,1
22,All use subject to https://about.jstor.org/terms,0,243,0,86.87999725341797,178.71676635742188,488.2984619140625,189.11436462402344,2
23,"American church and religious history (Lee M. Penyak and Walter J. Petry,",0,239,0,86.87999725341797,166.75982666015625,488.6076965332031,176.78970336914062,2
24,BOOK REVIEWS AND NOTES,0,107,0,86.63999938964844,222.15679931640625,437.40631103515625,232.5543975830078,1
25,Balkan,0,65,0,103.91999816894533,66.43058013916016,226.3267974853516,74.91350555419922,1
26,Byzantine rulers,0,71,0,104.63999938964844,79.88736724853516,423.2562561035156,90.84288787841795,1
27,Byzantines,0,64,0,103.91999816894533,66.43058013916016,226.3267974853516,74.91350555419922,1
28,Byzantium,0,44,0,91.26000213623048,745.656005859375,203.2941436767578,757.0679931640625,0
29,CHURCH HISTORY,0,182,0,84.95999908447266,514.435546875,440.4231567382813,525.8221435546875,1
30,California State University,0,198,0,134.47000122070312,709.8159790039062,356.4700012207031,720.4879760742188,1
31,Christianity in Latin America,0,225,0,87.12000274658203,117.2768325805664,486.3996887207031,127.67443084716795,2
32,Christianity in Latin America: A History Cambridge: Cambridge,0,229,0,87.12000274658203,129.278564453125,487.7887573242188,140.2974853515625,2
33,Conn.:,0,32,0,36.0,316.416015625,512.190185546875,327.8280029296875,0
34,Conquest to Revolution and Beyond. By John Frederick Schwaller.,0,203,0,169.5399932861328,717.8159790039062,316.21197509765625,728.4879760742188,1
35,"Constantine IXs determination""",0,148,0,85.44000244140625,391.740966796875,451.5478515625,402.8866882324219,1
36,Constantinople,0,152,0,85.19999694824219,415.740966796875,452.9247741699219,426.8866882324219,1
37,Dorothy de F. Abrahamse,0,197,0,193.66000366210935,701.8159790039062,294.0920104980469,712.4879760742188,1
38,Each of three recent surveys of the church and religion in Latin America is,0,221,0,87.12000274658203,104.70098876953124,486.5507507324219,115.84671020507812,2
39,Emeritus,0,200,0,134.47000122070312,709.8159790039062,356.4700012207031,720.4879760742188,1
40,European territory. During their last half century,0,70,0,104.63999938964844,79.88736724853516,423.2562561035156,90.84288787841795,1
