mapped_id,word,sentence_id,location_in_sentence,bundle_id
0,!,9220,0,0
1,!’,384,0,0
2,!’,1925,0,0
3,!’,4260,0,0
4,"""",8876,0,0
5,"""dear",4459,14,2
6,"""my",605,0,0
7,"""oh",3195,0,0
8,(a,3712,9,3
9,(a,6508,14,2
10,(ach,9880,10,1
11,(ach,9881,28,3
12,(all,1468,19,6
13,(all,8532,27,2
14,(amalia,7915,17,1
15,(and,5177,5,0
16,(and,5638,6,0
17,(and,6938,8,0
18,(and,7052,8,0
19,(and,7508,10,1
20,(and,8202,26,7
21,(aniska,6020,1,0
22,(as,703,45,13
23,(as,710,61,15
24,(as,5495,23,4
25,(as,7153,22,4
26,(as,7228,54,7
27,(as,7635,37,8
28,(as,11353,49,6
29,(at,8066,5,1
30,(but,10051,2,0
31,(cough,3663,44,4
32,(cough,3700,30,8
33,(cough,7919,5,1
34,(cough,7920,10,1
35,(cough,7922,7,1
36,(cough,7938,11,1
37,(cough,7989,0,0
38,(cough,7992,10,0
39,(cough,8879,1,0
40,(cough!),8961,1,0
41,(do,407,46,4
42,(dounia,8769,8,1
43,(dounia,11364,5,2
44,(everybody,7931,89,16
45,(everything,10929,0,0
46,(for,276,0,0
47,(for,562,12,1
48,(for,2224,13,4
49,(for,4279,17,6
50,(for,7316,14,3
51,(for,8196,0,0
52,(for,8530,73,14
53,(for,9952,11,1
54,(ha,11056,0,0
55,(hang,9827,0,0
56,(hard,4257,0,0
57,(has,751,24,3
58,(he,319,17,2
59,(he,4317,4,1
60,(he,4550,12,4
61,(he,4832,18,2
62,(he,5539,4,0
63,(he,5599,5,2
64,(he,6439,16,4
65,(he,7110,25,5
66,(he,7341,16,1
67,(he,7901,4,1
68,(he,8220,2,1
69,(he,8340,1,0
70,(he,8545,37,8
71,(he,8597,15,5
72,(he,9008,16,1
73,(he,10505,1,0
74,(help,6047,8,2
75,(his,1304,19,4
76,(i,764,44,10
77,(i,1342,4,0
78,(i,5528,5,1
79,(i,5556,9,0
80,(i,5873,20,3
81,(i,5951,18,2
82,(i,6006,6,2
83,(i,8181,51,10
84,(i,9866,0,0
85,(i,10791,50,6
86,(in,4361,27,5
87,(it,1374,6,2
88,(it,5443,1,0
89,(i’ve,10791,31,3
90,(katerina,8845,1,0
91,(let’s,8575,0,0
92,(marmeladov,422,7,0
93,(more,5469,21,3
94,(more,5470,18,6
95,(not,5909,11,2
96,(note,5640,20,6
97,(nothing,714,13,1
98,(now,617,2,1
99,(oh,8635,36,3
100,(on,1514,29,8
101,(or,6349,1,0
102,(ordinary),5462,20,5
103,(porfiry,11274,63,15
104,(praskovya,4311,14,3
105,(raskolnikov,7151,1,0
106,(raskolnikov,7470,81,9
107,(rather,6468,10,0
108,(shattered,1977,8,1
109,(she,344,14,1
110,(she,3708,43,5
111,(she,3717,23,2
112,(she,6437,14,6
113,(she,6964,1,0
114,(she,8629,2,0
115,(she,8860,7,0
116,(she,11300,8,2
117,(since,707,11,3
118,(so,5781,31,7
119,(someone,8027,14,2
120,(sometimes,5448,16,4
121,(sonia,10474,1,0
122,(sonia,10492,1,0
123,(take,8890,6,0
124,(that,14,0,0
125,(that’s,930,7,1
126,(the,1920,0,0
127,(the,2862,11,2
128,(the,6828,0,0
129,(the,8786,4,1
130,(they,5626,30,6
131,(though,361,14,2
132,(though,8011,48,9
133,(though,9556,5,1
134,(though,10042,11,0
135,(though,10940,8,0
136,(trying,1487,18,6
137,(when,1334,25,7
138,(where,1139,30,7
139,(which,724,52,9
140,(which,1422,6,0
141,(which,5874,20,4
142,(which,7166,21,2
143,(which,8886,25,9
144,(who,7653,3,0
145,(whom,4839,49,15
146,(whom,6363,33,7
147,(whose,8070,18,5
148,(with,8545,15,2
149,(yes,7031,1,0
150,(yes,8580,0,0
151,(yet,791,13,1
152,(you,3656,33,6
153,(you,5468,15,4
154,(you,5898,9,1
155,(you,9289,7,2
156,(your,7316,74,9
157,(you’ve,6824,44,5
158,),1921,0,0
159,),3657,0,0
160,),5444,0,0
161,),5874,0,0
162,),6021,0,0
163,),6829,0,0
164,),6939,0,0
165,),6965,0,0
166,),7152,0,0
167,),7342,0,0
168,),7920,0,0
169,),7921,0,0
170,),7923,0,0
171,),7939,0,0
172,),7990,0,0
173,),8197,0,0
174,),8341,0,0
175,),8576,0,0
176,),8630,0,0
177,),8846,0,0
178,),8861,0,0
179,),9231,0,0
180,),9867,0,0
181,),10475,0,0
182,),10493,0,0
183,),10506,0,0
184,),10930,0,0
185,)’,7993,0,0
186,*,3073,5,1
187,*,3074,1,0
188,*,9394,0,0
189,*,11124,0,0
190,*,11128,1,0
191,*****,1252,0,0
192,*****,4989,0,0
193,*****,5029,4,0
194,*****,5140,0,0
195,*****,6450,0,0
196,10,78,18,4
197,100,939,3,0
198,101,956,25,2
199,102,968,13,2
200,103,976,3,0
201,104,984,3,0
202,105,995,15,3
203,106,1005,16,5
204,107,1016,27,4
205,108,1027,6,0
206,109,1034,47,12
207,11,85,26,6
208,110,1042,12,1
209,111,1050,11,5
210,112,1062,3,0
211,113,1074,15,2
212,114,1086,3,0
213,115,1099,3,0
214,116,1114,17,1
215,117,1126,11,1
216,118,1136,9,0
217,119,1142,10,2
218,12,98,3,0
219,120,1152,3,0
220,121,1169,8,0
221,122,1174,3,0
222,123,1184,36,10
223,124,1196,26,4
224,125,1208,11,1
225,126,1221,16,3
226,127,1232,58,14
227,128,1243,4,0
228,129,1252,4,0
229,13,108,6,1
230,130,1269,3,0
231,131,1287,20,2
232,132,1301,7,1
233,133,1311,58,13
234,134,1321,9,1
235,135,1331,6,1
236,136,1344,27,11
237,137,1349,34,6
238,138,1357,3,0
239,139,1367,18,7
240,14,121,4,1
241,14,3570,19,3
242,140,1380,3,0
243,141,1388,16,2
244,142,1398,3,0
245,143,1413,9,0
246,144,1425,72,9
247,145,1427,3,0
248,146,1438,4,0
249,147,1452,3,0
250,148,1469,31,6
251,149,1486,8,1
252,15,129,19,5
253,150,1500,13,4
254,151,1510,3,0
255,152,1520,22,2
256,153,1535,21,4
257,154,1546,4,0
258,155,1553,22,3
259,156,1565,34,5
260,157,1579,3,0
261,158,1590,3,0
262,159,1602,3,0
263,16,139,3,0
264,160,1617,9,1
265,161,1629,14,1
266,162,1645,7,0
267,163,1658,3,0
268,164,1668,21,7
269,165,1677,31,4
270,166,1689,10,1
271,167,1697,3,0
272,168,1697,9,0
273,169,1709,10,2
274,17,150,25,5
275,170,1718,56,7
276,171,1727,3,0
277,172,1732,3,0
278,173,1738,3,0
279,174,1754,3,0
280,175,1769,3,0
281,176,1783,5,1
282,177,1795,10,1
283,178,1808,39,9
284,179,1820,21,2
285,18,169,4,0
286,180,1839,3,0
287,181,1852,3,0
288,182,1864,8,0
289,183,1875,3,0
290,184,1890,8,1
291,1849,10,1,1
292,185,1906,3,0
293,1859,29,1,1
294,186,1914,99,19
295,1861,3074,8,4
296,1864,31,1,1
297,187,1926,20,4
298,188,1939,38,6
299,1880,36,2,1
300,189,1953,3,0
301,19,184,8,1
302,190,1965,22,5
303,191,1972,16,1
304,192,1986,3,0
305,193,2006,22,2
306,194,2021,13,2
307,195,2028,4,0
308,196,2040,6,0
309,197,2050,37,6
310,198,2060,3,0
311,199,2074,3,0
312,2,1,12,2
313,20,194,20,4
