mapped_id,word,sentence_id,location_in_sentence,bundle_id
0,$3,3143,3,0
1,$5,3142,3,0
2,(1925),2,3,1
3,(i’ve,99,0,0
4,(one,1688,9,2
5,(or,1009,6,2
6,(said,1269,7,1
7,(the,1024,1,0
8,(“rot,1028,0,0
9,),100,0,0
10,00,3109,0,0
11,00,3129,0,0
12,00,3133,0,0
13,00,3134,0,0
14,00,3138,0,0
15,00,3139,0,0
16,00,3143,0,0
17,00,3144,0,0
18,1,2,41,3
19,10,165,4,1
20,100,2470,3,1
21,101,2485,27,10
22,102,2503,3,1
23,103,2531,1,0
24,104,2554,3,1
25,105,2583,0,0
26,106,2613,3,1
27,107,2636,24,3
28,108,2660,25,5
29,109,2677,35,6
30,11,186,10,2
31,110,2695,11,3
32,111,2714,1,0
33,112,2735,4,1
34,113,2762,14,2
35,114,2786,18,2
36,115,2804,0,0
37,116,2831,4,1
38,117,2854,0,0
39,118,2871,19,3
40,119,2887,29,5
41,12,214,3,1
42,120,2905,14,1
43,121,2932,14,1
44,122,2958,6,2
45,123,2996,0,0
46,124,3027,19,6
47,125,3057,1,0
48,126,3089,4,1
49,127,3141,29,2
50,128,3166,3,1
51,129,3183,38,10
52,12th,3106,14,4
53,13,233,0,0
54,130,3202,13,3
55,131,3227,21,3
56,132,3247,4,1
57,14,264,4,1
58,15,293,16,3
59,15,3113,0,0
60,15,3118,0,0
61,15,3119,0,0
62,158th,435,1,1
63,16,322,3,1
64,17,335,0,0
65,18,361,3,1
66,19,383,1,0
67,1902,1684,38,11
68,1906,3106,15,4
69,1915,20,6,2
70,1919,1244,15,3
71,1919,1247,12,3
72,1919,3064,13,3
73,1922,1005,19,3
74,2,10,3,1
75,2,332,1,0
76,20,408,25,4
77,21,441,4,1
78,22,461,3,1
79,23,494,0,0
80,24,527,8,2
81,25,558,10,1
82,26,590,4,1
83,27,612,1,0
84,28,641,4,1
85,29,653,30,9
86,3,23,0,0
87,3,642,1,0
88,30,669,21,4
89,30,3114,0,0
90,30,3123,0,0
91,30,3124,0,0
92,30,3128,0,0
93,31,686,1,0
94,32,714,3,1
95,33,736,0,0
96,34,772,4,2
97,35,801,1,0
98,36,827,10,2
99,37,854,6,0
100,38,875,4,1
101,39,905,1,0
102,4,42,3,1
103,4,1000,1,0
104,4,3123,1,0
105,4,3127,0,0
106,40,930,4,1
107,41,949,1,0
108,42,964,12,3
109,43,986,1,0
110,44,1006,26,5
111,45,1031,13,4
112,46,1051,3,1
113,47,1075,0,0
114,48,1097,3,1
115,49,1123,16,5
116,5,57,44,9
117,5,1366,1,0
118,5,3128,1,0
119,5,3132,0,0
120,50,1145,11,4
121,51,1177,1,0
122,52,1209,4,1
123,53,1241,6,0
124,54,1269,31,8
125,55,1288,10,2
126,56,1313,32,6
127,57,1333,0,0
128,58,1356,4,1
129,59,1378,1,0
130,5th,1005,18,3
131,6,75,3,1
132,6,1652,1,0
133,6,3108,0,0
134,6,3112,0,0
135,6,3113,1,0
136,6,3133,1,0
137,60,1406,8,2
138,61,1433,11,2
139,62,1459,10,2
140,63,1485,0,0
141,64,1508,27,8
142,65,1531,1,0
143,66,1556,36,3
144,67,1576,28,4
145,68,1601,4,1
146,69,1633,0,0
147,7,92,13,3
148,7,1923,1,0
149,7,3117,0,0
150,7,3137,0,0
151,70,1651,5,1
152,71,1667,10,2
153,72,1684,20,5
154,73,1701,1,0
155,74,1730,4,1
156,75,1770,0,0
157,76,1796,7,2
158,77,1824,0,0
159,78,1848,47,11
160,79,1874,1,0
161,8,112,4,1
162,8,2635,1,0
163,8,3118,1,0
164,8,3122,0,0
165,80,1900,7,2
166,81,1920,19,6
167,82,1950,4,1
168,83,1972,0,0
169,84,2004,3,1
170,85,2032,1,0
171,86,2059,10,4
172,87,2093,0,0
173,88,2123,11,1
174,89,2152,0,0
175,9,140,0,0
176,9,2887,1,0
177,9,3138,1,0
178,90,2180,28,4
179,91,2200,1,0
180,92,2222,3,1
181,93,2253,1,0
182,94,2286,7,3
183,95,2323,16,2
184,96,2354,10,1
185,97,2390,1,0
186,98,2422,9,2
187,99,2449,5,2
188,?”,1962,0,0
189,\x01\x01\x01,17,0,0
190,\x01\x01\x01,264,0,0
191,\x01\x01\x01,949,0,0
192,\x01\x01\x01,1044,0,0
193,\x01\x01\x01,1143,0,0
194,\x01\x01\x01,1269,0,0
195,\x01\x01\x01,1331,0,0
196,\x01\x01\x01,1582,1,0
197,\x01\x01\x01,1701,0,0
198,\x01\x01\x01,2187,0,0
199,\x01\x01\x01,2454,0,0
200,\x01\x01\x01,2477,0,0
201,\x01\x01\x01,2546,1,0
202,\x01\x01\x01,2679,0,0
203,\x01\x01\x01,2688,0,0
204,\x01\x01\x01,2704,0,0
205,\x01\x01\x01,2759,1,0
206,\x01\x01\x01,2782,0,0
207,\x01\x01\x01,2856,0,0
208,\x01\x01\x01,2867,0,0
209,\x01\x01\x01,2953,0,0
210,\x01\x01\x01,3158,0,0
211,\x01\x01\x01,3176,0,0
212,\x01\x01\x01,3215,0,0
213,\x01\x01\x01,3241,0,0
214,a,4,14,2
215,a,4,23,3
216,a,5,8,3
217,a,5,27,7
218,a,6,17,6
219,a,6,34,9
220,a,7,12,3
221,a,8,3,1
222,a,9,3,1
223,a,9,22,3
224,a,10,21,6
225,a,11,14,4
