mapped_id,word,sentence_id,location_in_sentence,bundle_id
0,(0,119,1,0
1,(0,120,4,0
2,(1–8,47,3,0
3,(3,14,15,1
4,(3+0,105,14,3
5,(5,85,0,0
6,(5,87,2,0
7,(5,89,4,0
8,(9–14,54,3,0
9,(a),59,16,0
10,(a),60,6,1
11,(a),65,0,0
12,(a),80,1,0
13,(a),82,9,1
14,(a),114,0,0
15,(a),118,0,0
16,(a),122,0,0
17,(b),60,0,0
18,(b),65,9,3
19,(b),82,0,0
20,(b),114,4,0
21,(b),120,1,0
22,(b),123,1,0
23,(c),65,18,6
24,(c),121,1,0
25,(k,52,57,8
26,(k2,99,4,0
27,+,3,14,3
28,+,3,17,3
29,+,3,21,3
30,+,23,1,0
31,+,24,1,0
32,+,26,1,0
33,+,29,1,0
34,+,31,1,0
35,+,32,1,0
36,+,37,1,0
37,+,39,1,0
38,+,41,1,0
39,+,49,8,1
40,+,49,10,1
41,+,49,12,1
42,+,49,14,1
43,+,49,16,1
44,+,49,18,1
45,+,49,20,1
46,+,49,22,1
47,+,49,24,1
48,+,52,29,6
49,+,52,53,8
50,+,52,77,10
51,+,53,22,3
52,+,87,1,0
53,+,89,1,0
54,+,89,3,0
55,+,94,1,0
56,+,96,1,0
57,+,96,3,0
58,+,101,4,1
59,+,101,6,1
60,+,101,8,1
61,+,101,10,1
62,+,101,12,1
63,+,128,4,0
64,+,129,6,0
65,+,131,7,0
66,+2k),99,5,0
67,0,14,19,1
68,0,22,2,0
69,0,23,4,0
70,0,25,2,0
71,0,26,4,0
72,0,28,8,1
73,0,30,2,0
74,0,31,4,0
75,0,33,2,0
76,0,36,2,0
77,0,38,2,0
78,0,40,2,0
79,0,42,2,0
80,0,56,11,0
81,0,56,20,2
82,0,59,0,0
83,0,59,11,0
84,0,62,2,0
85,0,63,2,0
86,0,68,1,0
87,0,69,0,0
88,0,69,1,0
89,0,70,1,0
90,0,71,1,0
91,0,72,1,0
92,0,73,1,0
93,0,78,1,0
94,0,79,1,0
95,0,80,4,0
96,0,81,1,0
97,0,122,1,0
98,0,123,10,2
99,0,123,11,2
100,00(0,97,0,0
101,01(0,93,0,0
102,01),94,0,0
103,01),96,0,0
104,01),98,0,0
105,01)3(0,86,0,0
106,02(0,95,0,0
107,02),87,0,0
108,02),89,0,0
109,02),91,0,0
110,02),107,0,0
111,02k)3(0,106,0,0
112,03)3(0,88,0,0
113,04,119,0,0
114,04),120,0,0
115,04),121,0,0
116,1,1,0,0
117,1,7,6,1
118,1,14,6,1
119,1,15,6,1
120,1,15,7,1
121,1,16,1,0
122,1,20,3,2
123,1,50,13,4
124,1,54,8,0
125,1,64,7,1
126,1,70,0,0
127,1,76,1,0
128,1,77,1,0
129,1,103,9,2
130,1,112,4,2
131,1,118,2,0
132,1,121,8,1
