word,noun,verb,adjective,adverb,auxiliary,compositions,conjunctions,determiners,existential_determiners,modifiers,negative_quantifiers,prepositions,universal_determiners,possessive_determiners,pronouns,frequency,review_count,avg_sentiment,length,confident,resolved_word
the,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,92,65,0.04027934782608695,3,1,the
and,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,68,57,0.06557941176470589,3,1,and
of,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,66,53,0.11870454545454545,2,1,of
in,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,39,36,0.07309230769230769,2,1,in
to,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,38,33,0.10011315789473685,2,1,to
a,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,23,22,0.15579130434782612,1,1,a
history,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0.047221428571428574,7,1,history
church,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,-0.022728571428571428,6,1,church
for,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,14,14,0.26439999999999997,3,1,for
that,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,12,12,0.10510000000000001,4,1,that
their,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,9,0.17251818181818182,5,1,their
jstor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,0.17735454545454546,5,1,jstor
constantinople,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,-0.026300000000000007,14,1,constantinople
on,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,10,10,0.024729999999999995,2,1,on
as,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,-0.05739000000000001,2,1,as
ottoman,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0.19502999999999998,7,1,ottoman
is,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10,10,0.16658,2,1,is
by,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,10,10,-0.04057999999999999,2,1,by
latin,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0.03229,5,1,latin
with,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,8,0.0702111111111111,4,1,with
use,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0.21767777777777775,3,1,use
harris,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0.08141111111111111,6,1,harris
but,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,9,9,0.12778888888888887,3,1,but
america,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0.092875,7,1,america
byzantine,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,7,-0.057675000000000004,9,1,byzantine
have,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,8,7,0.183125,4,1,have
this,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,8,8,0.09317500000000001,4,1,this
from,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,8,0.0128375,4,1,from
terms,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0.1738142857142857,5,1,terms
not,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,7,7,0.05884285714285714,3,1,not
org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0.08774285714285714,3,1,org
new,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6,5,0.14593333333333333,3,1,new
about,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,6,6,0.05303333333333333,5,1,about
his,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,5,-0.061483333333333334,3,1,his
university,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0.12236666666666667,10,1,university
it,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,0.15536666666666668,2,1,it
end,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0.041666666666666664,3,1,end
https,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0.04933333333333333,5,1,https
was,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,6,6,0.07983333333333334,3,1,was
turks,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0.16693333333333335,5,1,turks
who,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,5,-0.10697999999999999,3,1,who
content,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.13194,7,1,content
byzantium,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.09878,9,1,byzantium
many,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,5,0.07224,4,1,many
they,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,0.26556,4,1,they
rulers,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.05,6,1,rulers
press,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.14684,5,1,press
all,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,5,5,0.0,3,1,all
john,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,-0.09428,4,1,john
ii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,-0.19432500000000003,2,0,ii
an,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,4,0.428275,2,1,an
acceptance,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.492225,10,1,acceptance
late,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,4,-0.04487499999999999,4,1,late
last,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,4,4,0.17452499999999999,4,1,last
union,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.0842,5,1,union
downloaded,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.0,10,1,downloaded
book,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.071825,4,1,book
subject,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,4,4,0.0,7,1,subject
period,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.21515,6,1,period
cambridge,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0.044475,9,1,cambridge
religious,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,-0.07955,9,1,religious
three,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.0,5,1,three
territories,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,-0.04686666666666667,11,1,territories
genoese,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.12040000000000001,7,1,genoese
