word,noun,verb,adjective,adverb,auxiliary,compositions,conjunctions,determiners,existential_determiners,modifiers,negative_quantifiers,prepositions,universal_determiners,possessive_determiners,pronouns,frequency,review_count,avg_sentiment,length,confident,resolved_word
and,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7932,5597,-0.1438987518910744,3,1,and
the,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,7828,4938,-0.08921079458354572,3,1,the
to,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5417,4044,-0.05599656636514702,2,1,to
he,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4897,3652,-0.08441500918929985,2,1,he
of,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4777,3672,-0.17828025957714055,2,1,of
a,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4609,3546,-0.02829438055977442,1,1,a
i,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4404,3359,-0.018479382379654907,1,1,i
you,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4048,3223,-0.007260499011857715,3,1,you
it,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3448,2928,-0.035065719257540734,2,1,it
that,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,3293,2641,-0.048309869419981735,4,1,that
in,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,3197,2665,-0.07097172349077256,2,1,in
was,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2826,2356,-0.08829706298655354,3,1,was
his,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2116,1683,-0.06156020793950844,3,1,his
at,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2068,1832,-0.08013641199226333,2,1,at
her,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1829,1325,-0.07383701476216516,3,1,her
but,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1796,1749,-0.04834888641425387,3,1,but
not,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1754,1575,-0.039708266818700155,3,1,not
s,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1753,1570,-0.06188665145464917,1,1,s
with,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1710,1541,-0.04911152046783626,4,1,with
she,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1695,1330,-0.06655339233038347,3,1,she
for,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1661,1487,-0.042051354605659244,3,1,for
him,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1592,1352,-0.06980138190954777,3,1,him
had,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1582,1293,-0.11714134007585364,3,1,had
on,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1478,1329,-0.06255067658998631,2,1,on
is,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1435,1264,0.0021181881533100908,2,1,is
all,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1305,1189,-0.05706268199233711,3,1,all
what,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1230,1188,-0.050876910569105746,4,1,what
as,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1205,997,-0.048253775933610014,2,1,as
have,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1149,1053,-0.03603629242819844,4,1,have
t,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1145,1045,-0.036535982532751074,1,1,t
be,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1122,1033,-0.02856666666666666,2,1,be
me,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1071,952,-0.007048646125116704,2,1,me
crime,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1016,1000,-0.6646630905511826,5,1,crime
punishment,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,969,962,-0.6710403508771949,10,1,punishment
so,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,907,844,-0.03113076074972438,2,1,so
are,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,848,803,-0.014095872641509426,3,1,are
there,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,812,751,-0.06696157635467981,5,1,there
they,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,801,688,-0.07226279650436955,4,1,they
my,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,792,705,0.02209015151515154,2,1,my
raskolnikov,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,785,779,-0.08026000000000004,11,1,raskolnikov
from,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,739,681,-0.07915818673883622,4,1,from
were,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,713,652,-0.09082075736325392,4,1,were
no,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,693,641,-0.19786839826839883,2,1,no
this,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,687,656,-0.055876128093158624,4,1,this
out,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,684,656,-0.09533801169590642,3,1,out
your,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,668,578,0.008794760479041938,4,1,your
up,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,657,629,-0.04678051750380514,2,1,up
one,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,644,581,-0.08158602484472051,3,1,one
them,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,595,525,-0.07371411764705879,4,1,them
do,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,584,561,0.004899657534246583,2,1,do
if,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,584,548,-0.03245256849315065,2,1,if
been,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,576,536,-0.1204828125,4,1,been
would,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,575,499,-0.015312347826086918,5,1,would
now,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,566,543,-0.01951731448763252,3,1,now
by,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,563,529,-0.08850301953818826,2,1,by
will,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,547,480,0.02658683729433273,4,1,will
an,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,547,520,-0.049034186471663604,2,1,an
am,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,546,519,-0.03148681318681321,2,1,am
how,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,532,491,-0.02670902255639097,3,1,how
about,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,530,509,-0.07677056603773587,5,1,about
know,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,529,507,-0.011001890359168223,4,1,know
said,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,519,506,-0.0403959537572254,4,1,said
too,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,505,483,-0.04402475247524751,3,1,too
did,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,497,480,-0.06222997987927565,3,1,did
could,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,496,469,-0.07929677419354839,5,1,could
man,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,482,463,-0.03235331950207464,3,1,man
come,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,479,459,-0.08151816283924843,4,1,come
then,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,472,451,-0.07397288135593215,4,1,then
don,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,465,435,-0.054731182795698885,3,1,don
very,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,465,434,0.007460000000000007,4,1,very
only,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,457,446,-0.04224420131291026,4,1,only
like,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,454,441,0.22124405286343554,4,1,like
we,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,452,399,0.026428318584070794,2,1,we
why,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,445,424,-0.0855451685393259,3,1,why
though,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,445,430,-0.059421797752809,6,1,though
when,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,438,421,-0.08269315068493155,4,1,when
or,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,429,399,-0.0659074592074592,2,1,or
more,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,416,366,-0.08649399038461546,4,1,more
again,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,410,387,-0.09837804878048781,5,1,again
can,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,406,389,0.02096182266009852,3,1,can
who,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,405,371,-0.07859234567901235,3,1,who
some,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,404,379,-0.04980544554455446,4,1,some
into,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,404,393,-0.09427797029702971,4,1,into
sonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402,389,-0.1398512437810945,5,1,sonia
has,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,385,341,0.003250129870129869,3,1,has
time,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,385,366,-0.09685974025974022,4,1,time
see,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,383,371,0.01764778067885117,3,1,see
go,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,368,353,-0.05039972826086959,2,1,go
here,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,366,353,-0.021696448087431704,4,1,here
went,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,356,349,-0.04212500000000001,4,1,went
once,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,348,339,-0.040552298850574715,4,1,once
razumihin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347,343,-0.05372853025936596,9,1,razumihin
himself,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,342,329,-0.11602017543859648,7,1,himself
even,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,338,328,-0.03319171597633135,4,1,even
which,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,336,323,-0.06335595238095236,5,1,which
well,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,335,325,0.13278537313432856,4,1,well
dounia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,317,-0.013068307692307702,6,1,dounia
before,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,317,308,-0.08287160883280756,6,1,before
thought,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,306,299,-0.09404215686274509,7,1,thought
ivanovna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,267,-0.06846940789473681,8,1,ivanovna
down,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,302,289,-0.1021301324503311,4,1,down
say,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,297,294,-0.025978787878787876,3,1,say
something,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,293,277,-0.05248907849829358,9,1,something
looked,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,293,288,-0.07553310580204779,6,1,looked
suddenly,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,293,288,-0.07009931740614336,8,1,suddenly
must,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,293,282,-0.0184556313993174,4,1,must
ve,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,280,-0.07058006872852225,2,0,ve
little,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,290,277,-0.03182724137931035,6,1,little
petrovitch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,284,-0.004595818815330995,10,1,petrovitch
such,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,287,252,-0.11462299651567949,4,1,such
day,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286,271,-0.08903986013986011,3,1,day
room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,275,-0.10337473684210519,4,1,room
nothing,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,285,267,-0.06852070175438597,7,1,nothing
just,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,283,278,-0.03504805653710248,4,1,just
yes,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,283,250,0.1741116607773849,3,1,yes
last,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,280,269,-0.14102642857142858,4,1,last
good,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,279,273,0.2846362007168456,4,1,good
ll,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273,255,-0.0725032967032967,2,0,ll
still,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,270,267,-0.008505555555555553,5,1,still
began,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,265,264,-0.10104226415094343,5,1,began
away,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,263,259,-0.08283155893536122,4,1,away
way,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,257,253,-0.04389416342412449,3,1,way
face,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,250,232,-0.06676360000000002,4,1,face
over,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,249,243,-0.08393092369477911,4,1,over
eyes,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,246,241,-0.13741219512195116,4,1,eyes
two,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,244,236,-0.0908545081967213,3,1,two
came,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,242,240,-0.08297314049586775,4,1,came
cried,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,241,241,-0.38251078838174213,5,1,cried
tell,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,239,229,0.006310460251046027,4,1,tell
made,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,232,229,-0.06764224137931035,4,1,made
first,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,232,226,-0.04655862068965516,5,1,first
after,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,228,226,-0.11281315789473687,5,1,after
door,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,217,-0.11531453744493386,4,1,door
their,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,226,195,-0.07435530973451329,5,1,their
without,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,220,210,0.0019540909090909123,7,1,without
mother,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,219,213,-0.07268447488584476,6,1,mother
right,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,218,203,-0.0203119266055046,5,1,right
should,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,217,205,0.0073700460829493105,6,1,should
katerina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,205,-0.10558194444444438,8,1,katerina
looking,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,215,212,-0.06127627906976745,7,1,looking
almost,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,215,210,-0.17490186046511622,6,1,almost
svidriga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,207,-0.015840952380952383,8,1,svidriga
perhaps,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,209,199,-0.03451291866028706,7,1,perhaps
old,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,208,197,-0.11748221153846149,3,1,old
off,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,207,205,-0.09287342995169086,3,1,off
lov,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,204,-0.01959130434782608,3,1,lov
get,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,207,198,-0.025877294685990336,3,1,get
think,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,207,204,0.02470289855072465,5,1,think
porfiry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,205,-0.09050679611650488,7,1,porfiry
where,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,206,204,-0.09624854368932036,5,1,where
let,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,205,195,-0.012712682926829269,3,1,let
moment,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,198,-0.1016911330049261,6,1,moment
woman,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,195,-0.15630985221674873,5,1,woman
make,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,200,195,0.027245,4,1,make
another,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,199,191,-0.02491859296482412,7,1,another
us,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,194,181,0.03920670103092785,2,1,us
take,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,194,190,0.005494845360824741,4,1,take
shall,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,194,178,0.0015000000000000059,5,1,shall
may,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,193,186,0.07825803108808285,3,1,may
head,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,191,190,-0.13358743455497374,4,1,head
look,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,191,187,-0.04721204188481674,4,1,look
back,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,191,185,-0.05265968586387434,4,1,back
other,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,191,186,-0.09009214659685862,5,1,other
put,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,188,185,0.017430851063829803,3,1,put
asked,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,187,187,-0.057347058823529425,5,1,asked
quite,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,186,178,-0.02623064516129031,5,1,quite
going,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,185,183,-0.031459459459459445,5,1,going
seemed,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,185,182,-0.05085945945945945,6,1,seemed
want,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,185,183,-0.04163243243243236,4,1,want
much,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,182,176,0.08845164835164834,4,1,much
long,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,181,177,-0.05605911602209945,4,1,long
