word,noun,verb,adjective,adverb,auxiliary,compositions,conjunctions,determiners,existential_determiners,modifiers,negative_quantifiers,prepositions,universal_determiners,possessive_determiners,pronouns,frequency,review_count,avg_sentiment,length,confident,resolved_word
quot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3320,1976,-0.00016611445783132534,4,0,quoy
thekinginyellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,107,-0.004455140186915888,15,1,thekinginyellow
hesaid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,62,0.0,6,1,hesaid
oh,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,57,0.0,2,1,oh
yes,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,54,53,0.014885185185185184,3,1,yes
mr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,44,0.0,2,0,mr
no,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,43,41,-0.013767441860465116,2,1,no
shesaid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,0.0,7,1,shesaid
and,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,31,30,0.0,3,1,and
i,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,26,0.0,1,1,i
well,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,26,25,0.0,4,1,well
isaid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,0.0,5,0,said
therepairerofreputations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,0.0,24,1,therepairerofreputations
streetofourladyofthefields,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,0.0,26,1,streetofourladyofthefields
j,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,0.0,1,1,j
thestreetofthefirstshell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,0.0,24,1,thestreetofthefirstshell
iasked,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,0.0,6,0,asked
then,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,19,19,0.0,4,1,then
wilde,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,0.0,5,1,wilde
why,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17,17,0.0,3,1,why
night,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,16,0.0,5,1,night
sir,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,14,0.0,3,1,sir
ah,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,15,0.0,2,1,ah
jack,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0.0,4,1,jack
saidclifford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0.0,12,1,saidclifford
hecried,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0.0,7,1,hecried
ruebarree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0.0,9,1,ruebarree
themask,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0.0,7,1,themask
ofcourse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0.0,8,1,ofcourse
amp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,0.0,3,1,amp
theyellowsign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,0.0,13,1,theyellowsign
to,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,13,0.0,2,1,to
but,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,12,12,0.0,3,1,but
hastings,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0.0,8,1,hastings
clifford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0.0,8,1,clifford
hemuttered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0.0,10,1,hemuttered
valentine,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0.0,9,1,valentine
sylvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0.0,6,0,silvia
ireplied,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0.0,8,0,implied
good,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,10,10,0.04404,4,1,good
shecried,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0.0,8,1,shecried
faster,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,7,0.0,6,1,faster
tessie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0.0,6,0,tassie
e,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0.0,1,1,e
saying,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0.0,6,1,saying
oldchap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0.0,7,0,old chap
