word,noun,verb,adjective,adverb,auxiliary,compositions,conjunctions,determiners,existential_determiners,modifiers,negative_quantifiers,prepositions,universal_determiners,possessive_determiners,pronouns,frequency,review_count,avg_sentiment,length,confident,resolved_word,relative_frequency,double_log_freq,participation_score
of,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,318,159,0.1459729559748428,2,1,of,0.03197265232254173,0.7269533516404942,0.06666666666666667
and,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,311,152,0.1472163987138263,3,1,and,0.03126885179971848,0.7264075419480907,0.13333333333333333
cas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,170,0.0971300341296929,3,1,cas,0.02945907902674442,0.7249323031667227,0.0
the,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,267,111,0.1163891385767791,3,1,the,0.026844962799115222,0.7225936373828253,0.13333333333333333
in,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,237,151,0.1083616033755275,2,1,in,0.023828674844158456,0.7195212987455549,0.26666666666666666
crispr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,147,0.0138333333333333,6,1,crispr,0.022923788457671426,0.7185052114656592,0.0
a,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,146,88,0.1425006849315068,1,1,a,0.014679268047456263,0.7061128824048067,0.2
to,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,132,78,0.0863742424242424,2,1,to,0.013271667001809772,0.7031190226451435,0.06666666666666667
gene,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,73,0.2319130841121495,4,1,gene,0.010758093706012467,0.6966319365965035,0.06666666666666667
editing,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,84,0.2021201923076923,7,1,editing,0.01045646491051679,0.6957260179566866,0.06666666666666667
cell,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,76,-0.0378744680851063,4,1,cell,0.009451035592197869,0.692450129134387,0.06666666666666667
genome,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,72,0.1109044943820224,6,1,genome,0.008948320933038408,0.6906420386261555,0.06666666666666667
by,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,88,68,0.0644761363636363,2,1,by,0.008847778001206515,0.6902649379933511,0.2
for,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,83,66,0.0824831325301204,3,1,for,0.008345063342047054,0.6882942616598658,0.13333333333333333
cells,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,51,-0.1923960526315789,5,1,cells,0.007641262819223809,0.6852661982533583,0.06666666666666667
human,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,73,55,0.1057424657534246,5,1,human,0.007339634023728132,0.6838574622042377,0.13333333333333333
with,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,71,60,0.0449957746478873,4,1,with,0.007138548160064348,0.6828765594899542,0.13333333333333333
target,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,63,38,0.2567349206349205,6,1,target,0.00633420470540921,0.6785672301966525,0.13333333333333333
is,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,62,44,0.0477983870967742,2,1,is,0.006233661773577317,0.6779793320451609,0.13333333333333333
