word,noun,verb,adjective,adverb,auxiliary,compositions,conjunctions,determiners,existential_determiners,modifiers,negative_quantifiers,prepositions,universal_determiners,possessive_determiners,pronouns,frequency,review_count,avg_sentiment,length,confident,resolved_word,relative_frequency,double_log_freq,participation_score
the,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,92,65,0.0,3,1,the,0.06323024054982818,0.6917418571940166,0.13333333333333333
and,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,68,57,0.0,3,1,and,0.04673539518900344,0.6813369800735739,0.13333333333333333
of,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,66,53,0.0,2,1,of,0.04536082474226804,0.6802614307792342,0.06666666666666667
in,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,39,36,0.0,2,1,in,0.026804123711340205,0.6596972838889588,0.26666666666666666
to,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,38,33,0.0,2,1,to,0.02611683848797251,0.6585957192988778,0.06666666666666667
a,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,23,22,0.0,1,1,a,0.015807560137457044,0.6354268000766977,0.2
history,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0.0,7,1,history,0.009621993127147767,0.6083877907186052,0.06666666666666667
church,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0.0,6,1,church,0.009621993127147767,0.6083877907186052,0.13333333333333333
for,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,14,14,0.0,3,1,for,0.009621993127147767,0.6083877907186052,0.13333333333333333
that,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,12,12,0.0,4,1,that,0.008247422680412371,0.5989937658314455,0.4
their,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,9,0.0,5,1,their,0.007560137457044674,0.5934578873666095,0.06666666666666667
jstor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,0.0,5,1,jstor,0.007560137457044674,0.5934578873666095,0.0
constantinople,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0.0,14,1,constantinople,0.006872852233676976,0.5871908758202614,0.06666666666666667
on,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,10,10,0.0,2,1,on,0.006872852233676976,0.5871908758202614,0.2
as,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,0.0,2,1,as,0.006872852233676976,0.5871908758202614,0.06666666666666667
ottoman,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0.0,7,1,ottoman,0.006872852233676976,0.5871908758202614,0.13333333333333333
is,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10,10,0.0,2,1,is,0.006872852233676976,0.5871908758202614,0.13333333333333333
by,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,10,10,0.0,2,1,by,0.006872852233676976,0.5871908758202614,0.2
latin,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0.0,5,1,latin,0.006872852233676976,0.5871908758202614,0.13333333333333333
with,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,8,0.0,4,1,with,0.006185567010309278,0.5800052903735844,0.13333333333333333
use,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0.0,3,1,use,0.006185567010309278,0.5800052903735844,0.13333333333333333
