word,noun,verb,adjective,adverb,auxiliary,compositions,conjunctions,determiners,existential_determiners,modifiers,negative_quantifiers,prepositions,universal_determiners,possessive_determiners,pronouns,frequency,review_count,avg_sentiment,length,confident,resolved_word,relative_frequency,double_log_freq,participation_score
the,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2450,1379,0.0833039999999998,3,1,the,0.048606289058625136,0.7679677640764192,0.13333333333333333
and,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1557,1083,0.0891256262042389,3,1,and,0.03088979267929769,0.7601523508094193,0.13333333333333333
a,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1401,1034,0.0870386152748037,1,1,a,0.027794861620870946,0.7582426806670416,0.2
i,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1383,1080,0.0708962400578451,1,1,i,0.027437754191052474,0.7580063138838657,0.13333333333333333
to,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1127,916,0.0754469387755102,2,1,to,0.022358892966967563,0.7541906998969383,0.06666666666666667
of,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1114,824,0.1165648114901256,2,1,of,0.022100982045432,0.7539701609695867,0.06666666666666667
he,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,850,676,0.0353975294117647,2,1,he,0.016863406408094434,0.7486920567281334,0.13333333333333333
in,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,812,694,0.0929256157635467,2,1,in,0.01610951294514433,0.7477727037865901,0.26666666666666666
was,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,767,657,0.0679696219035201,3,1,was,0.015216744370598155,0.7466153307534196,0.13333333333333333
that,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,641,557,0.1095146645865834,4,1,that,0.012716992361868863,0.742887677945337,0.4
it,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,602,534,0.0593588039867109,2,1,it,0.011943259597262177,0.7415524150097543,0.13333333333333333
you,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,516,449,0.0921263565891472,3,1,you,0.010237079654796151,0.7382012001452419,0.06666666666666667
his,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,494,392,0.0864912955465588,3,1,his,0.009800615018351354,0.7372348045919477,0.13333333333333333
s,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,467,438,0.0380785867237687,1,1,s,0.009264953873623649,0.735975321151483,0.06666666666666667
with,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,421,389,0.1182783847980996,4,1,with,0.008352345997420891,0.7336127576062706,0.13333333333333333
t,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414,391,0.058937922705314,1,1,t,0.008213470885824819,0.7332259107113295,0.06666666666666667
she,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,409,342,0.0996990220048899,3,1,she,0.00811427437754191,0.7329447103215707,0.13333333333333333
at,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,403,366,0.1096032258064517,2,1,at,0.00799523856760242,0.7326017227204014,0.13333333333333333
her,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,399,300,0.1391433583959899,3,1,her,0.007915881360976094,0.7323696085949275,0.13333333333333333
had,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,380,334,0.0757071052631578,3,1,had,0.007538934629501041,0.7312271881428981,0.06666666666666667
on,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,359,333,0.071275766016713,2,1,on,0.0071223092947128265,0.7298809712196571,0.2
me,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,322,304,0.0674900621118012,2,1,me,0.006388255133419304,0.7272587068777977,0.13333333333333333
for,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,309,294,0.0926851132686085,3,1,for,0.006130344211883742,0.726248838645718,0.13333333333333333
him,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,278,248,0.0704816546762589,3,1,him,0.00551532586052971,0.7236156872396946,0.06666666666666667
as,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274,247,0.0386040145985401,2,1,as,0.005435968653903382,0.7232498544026642,0.06666666666666667
gatsby,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257,251,0.0617494163424124,6,1,gatsby,0.005098700525741494,0.7216186939947816,0.0
