word,noun,verb,adjective,adverb,auxiliary,compositions,conjunctions,determiners,existential_determiners,modifiers,negative_quantifiers,prepositions,universal_determiners,possessive_determiners,pronouns,frequency,review_count,avg_sentiment,length,confident,resolved_word,relative_frequency,double_log_freq,participation_score
the,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,60,38,-0.110225,3,1,the,0.079155672823219,0.6767661283438605,0.13333333333333333
x,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,30,-0.3888645833333335,1,1,x,0.0633245382585752,0.6681970379894457,0.06666666666666667
a,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,38,22,-0.401907894736842,1,1,a,0.05013192612137203,0.6585957192988778,0.2
f,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,23,-0.33928125,1,1,f,0.04221635883905013,0.6510797546220851,0.06666666666666667
k,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,12,-0.2134961538461538,1,1,k,0.03430079155672823,0.6414349232056878,0.06666666666666667
n,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,6,-0.4070608695652174,1,1,n,0.030343007915567283,0.6354268000766977,0.06666666666666667
of,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22,18,-0.1189181818181818,2,1,of,0.029023746701846966,0.6331875282688906,0.06666666666666667
b,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,12,-0.4917904761904762,1,1,b,0.027704485488126648,0.6308081703830098,0.06666666666666667
dx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,14,-0.5853812500000002,2,0,dx,0.021108179419525065,0.6161216046825284,0.0
z,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,14,-0.5471062500000001,1,1,z,0.021108179419525065,0.6161216046825284,0.06666666666666667
is,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,15,13,-0.0873466666666666,2,1,is,0.01978891820580475,0.6124288945957818,0.13333333333333333
and,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14,14,-0.1528642857142857,3,1,and,0.018469656992084433,0.6083877907186052,0.13333333333333333
an,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,14,10,-0.15155,2,1,an,0.018469656992084433,0.6083877907186052,0.2
rule,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,-0.3130833333333333,4,1,rule,0.0158311345646438,0.5989937658314455,0.13333333333333333
right,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,12,12,-0.2994,5,1,right,0.0158311345646438,0.5989937658314455,0.26666666666666666
rectangles,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,-0.2067909090909091,10,1,rectangles,0.014511873350923483,0.5934578873666095,0.06666666666666667
integral,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,10,-0.2411454545454545,8,1,integral,0.014511873350923483,0.5934578873666095,0.13333333333333333
