word,noun,verb,adjective,adverb,auxiliary,compositions,conjunctions,determiners,existential_determiners,modifiers,negative_quantifiers,prepositions,universal_determiners,possessive_determiners,pronouns,frequency,review_count,avg_sentiment,length,confident,resolved_word,relative_frequency,double_log_freq,participation_score
and,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,814,734,0.005756511056511,3,1,and,0.020369860614098748,0.7478223579896242,0.13333333333333333
the,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,480,448,-0.0031229166666666,3,1,the,0.012011711418633168,0.7365924045253416,0.13333333333333333
with,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,322,310,0.0137658385093167,4,1,with,0.00805785640999975,0.7272587068777977,0.13333333333333333
then,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,244,241,0.0257598360655737,4,1,then,0.00610595330447186,0.7202793341103024,0.26666666666666666
that,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,214,199,0.0683135514018691,4,1,that,0.005355221340807287,0.7168222886037037,0.4
from,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,213,204,0.0199962441314554,4,1,from,0.005330196942018468,0.7166969119285863,0.06666666666666667
i,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,191,184,0.0145314136125654,1,1,i,0.004779660168664448,0.7137394524425403,0.13333333333333333
him,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,189,179,-0.0100798941798941,3,1,him,0.00472961137108681,0.7134498410073546,0.06666666666666667
which,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,188,183,-0.0070755319148936,5,1,which,0.004704586972297991,0.713303609163424,0.2
but,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,174,174,0.0017143678160919,3,1,but,0.004354245389254523,0.7111492729201264,0.2
it,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,167,164,-0.0218113772455089,2,1,it,0.004179074597732789,0.7099897977226882,0.13333333333333333
what,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,129,121,0.0071441860465116,4,1,what,0.0032281474437576636,0.7024255802729013,0.2
when,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,129,124,-0.0045441860465116,4,1,when,0.0032281474437576636,0.7024255802729013,0.2
was,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,129,127,0.0089906976744186,3,1,was,0.0032281474437576636,0.7024255802729013,0.13333333333333333
to,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,123,121,0.0185471544715447,2,1,to,0.003078001051024749,0.7009760537519804,0.06666666666666667
there,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,119,114,0.0263008403361344,5,1,there,0.002977903455869473,0.6999594881495779,0.13333333333333333
clifford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,108,0.0722236363636363,8,1,clifford,0.0027526838667701007,0.6975063903803305,0.0
thekinginyellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,108,0.0007055555555555,15,1,thekinginyellow,0.0027026350691924626,0.696926818099908,0.0
her,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,104,100,0.0100384615384615,3,1,her,0.002602537474037186,0.6957260179566866,0.13333333333333333
said,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,104,104,0.0351721153846153,4,1,said,0.002602537474037186,0.6957260179566866,0.13333333333333333
me,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,102,100,-0.008056862745098,2,1,me,0.002552488676459548,0.695103551832043,0.13333333333333333
in,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,102,101,0.0477009803921568,2,1,in,0.002552488676459548,0.695103551832043,0.26666666666666666
of,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,101,100,0.0178475247524752,2,1,of,0.002527464277670729,0.694786511508806,0.06666666666666667
he,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,97,0.0085339999999999,2,1,he,0.00250243987888191,0.6944654816061759,0.13333333333333333
about,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,99,98,0.0400989898989899,5,1,about,0.002477415480093091,0.6941403698742133,0.2
you,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,91,0.011721649484536,3,1,you,0.0024273666825154524,0.693477516218902,0.06666666666666667
were,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,97,94,0.0151773195876288,4,1,were,0.0024273666825154524,0.693477516218902,0.2
over,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,87,85,0.0561747126436781,4,1,over,0.0021771226946272616,0.6898823598382903,0.26666666666666666
for,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,79,79,-0.0649569620253164,3,1,for,0.001976927504316709,0.6866057309469275,0.13333333333333333
have,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,77,77,0.0605493506493506,4,1,have,0.0019268787067390706,0.6857200900157318,0.13333333333333333
she,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,75,75,0.0302666666666666,3,1,she,0.0018768299091614323,0.6848046240657477,0.13333333333333333
them,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,75,73,0.018144,4,1,them,0.0018768299091614323,0.6848046240657477,0.06666666666666667
hesaid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,73,0.0393283783783783,6,1,hesaid,0.0018518055103726133,0.6843351286141285,0.0
a,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,71,71,0.0299267605633802,1,1,a,0.001776732314006156,0.6828765594899542,0.2
after,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,69,68,0.0217391304347826,5,1,after,0.001726683516428518,0.6818596751944429,0.2
before,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,68,68,-0.0295455882352941,6,1,before,0.0017016591176396987,0.6813369800735739,0.13333333333333333
mr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,67,0.0069820895522388,2,0,mr,0.0016766347188508796,0.6808043476166022,0.0
