word,noun,verb,adjective,adverb,auxiliary,compositions,conjunctions,determiners,existential_determiners,modifiers,negative_quantifiers,prepositions,universal_determiners,possessive_determiners,pronouns,frequency,review_count,avg_sentiment,length,confident,resolved_word,relative_frequency,double_log_freq,participation_score
of,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,428,319,0.0525619158878504,2,1,of,0.0287248322147651,0.733991897322067,0.06666666666666667
cas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372,288,0.0288922043010752,3,1,cas,0.024966442953020133,0.730725245460503,0.0
and,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,355,270,0.0341250704225352,3,1,and,0.0238255033557047,0.7296136943810825,0.13333333333333333
the,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,344,229,0.0540802325581395,3,1,the,0.02308724832214765,0.7288593878135141,0.13333333333333333
crispr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316,267,-0.0107462025316455,6,1,crispr,0.021208053691275167,0.7267989125836488,0.0
in,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,306,249,0.052142156862745,2,1,in,0.020536912751677853,0.7260084183868111,0.26666666666666666
a,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,214,172,0.0226747663551402,1,1,a,0.01436241610738255,0.7168222886037037,0.2
al,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,174,-0.0085137142857142,2,0,al,0.01174496644295302,0.7113101812857874,0.0
et,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,174,174,-0.0085626436781609,2,1,et,0.011677852348993288,0.7111492729201264,0.06666666666666667
to,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,160,134,0.0600049999999999,2,1,to,0.010738255033557046,0.7087683061191127,0.06666666666666667
gene,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,130,0.1175308724832214,4,1,gene,0.01,0.7067079117362962,0.06666666666666667
editing,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,133,0.1061104166666666,7,1,editing,0.009664429530201342,0.7057076553666807,0.06666666666666667
genome,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,119,0.04176953125,6,1,genome,0.008590604026845637,0.7021899308005235,0.06666666666666667
for,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,116,110,0.011603448275862,3,1,for,0.007785234899328859,0.6991684735241713,0.13333333333333333
by,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,106,100,-0.0327283018867924,2,1,by,0.0071140939597315435,0.6963335605465436,0.2
cell,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,94,-0.0560884615384615,4,1,cell,0.00697986577181208,0.6957260179566866,0.06666666666666667
j,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,96,0.011892156862745,1,1,j,0.006845637583892617,0.695103551832043,0.06666666666666667
c,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,65,0.0241702127659574,1,1,c,0.006308724832214765,0.692450129134387,0.06666666666666667
y,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,73,-0.0161228260869565,1,1,y,0.006174496644295302,0.6917418571940166,0.06666666666666667
human,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,85,79,0.0107058823529411,5,1,human,0.005704697986577181,0.6891001806412381,0.13333333333333333
cells,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,62,-0.1917192771084337,5,1,cells,0.005570469798657718,0.6882942616598658,0.06666666666666667
with,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,81,77,-0.0326185185185185,4,1,with,0.005436241610738255,0.6874632625419423,0.13333333333333333
t,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,60,-0.1142649999999999,1,1,t,0.005369127516778523,0.6870379087810791,0.06666666666666667
is,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,79,72,-0.0341632911392405,2,1,is,0.005302013422818792,0.6866057309469275,0.13333333333333333
target,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,74,59,0.0150256756756756,6,1,target,0.004966442953020134,0.6843351286141285,0.13333333333333333
s,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,68,0.0227712328767123,1,1,s,0.004899328859060402,0.6838574622042377,0.06666666666666667
b,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,53,-0.0070550724637681,1,1,b,0.004630872483221476,0.6818596751944429,0.06666666666666667
systems,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,62,0.1314304347826086,7,1,systems,0.004630872483221476,0.6818596751944429,0.06666666666666667
system,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,68,0.0907028985507246,6,1,system,0.004630872483221476,0.6818596751944429,0.06666666666666667
m,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,59,-0.0208096774193548,1,1,m,0.004161073825503355,0.6779793320451609,0.06666666666666667
as,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,47,0.0869859649122807,2,1,as,0.003825503355704698,0.6748452867147411,0.06666666666666667
have,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,55,51,0.1670563636363636,4,1,have,0.003691275167785235,0.6734908190761342,0.13333333333333333
can,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,54,52,0.004174074074074,3,1,can,0.0036241610738255033,0.6727895226904915,0.2
therapy,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,49,0.1546333333333333,7,1,therapy,0.0036241610738255033,0.6727895226904915,0.06666666666666667
be,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,52,44,0.0150403846153846,2,1,be,0.00348993288590604,0.6713352524602902,0.13333333333333333
e,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,42,-0.0480274509803921,1,1,e,0.0034228187919463087,0.6705807189178685,0.06666666666666667
are,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,49,48,0.0193102040816326,3,1,are,0.0032885906040268456,0.6690125598689335,0.13333333333333333
d,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,43,0.0077854166666666,1,1,d,0.003221476510067114,0.6681970379894457,0.06666666666666667
rna,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,38,0.0409297872340425,3,1,rna,0.0031543624161073825,0.6673591784382801,0.06666666666666667
dna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,37,0.0272489361702127,3,1,dna,0.0031543624161073825,0.6673591784382801,0.0
cancer,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,43,-0.6347152173913047,6,1,cancer,0.003087248322147651,0.6664978557621422,0.06666666666666667
disease,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,43,0.0907555555555555,7,1,disease,0.0030201342281879194,0.6656118611656676,0.06666666666666667
diseases,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,36,-0.0129888888888888,8,1,diseases,0.0030201342281879194,0.6656118611656676,0.06666666666666667
mediated,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,44,44,-0.0324090909090908,8,1,mediated,0.002953020134228188,0.664699894291389,0.13333333333333333
h,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,40,-0.0078666666666666,1,1,h,0.0028187919463087247,0.6627923278454898,0.06666666666666667
which,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,42,41,0.0674738095238095,5,1,which,0.0028187919463087247,0.6627923278454898,0.2
l,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,41,0.0274571428571428,1,1,l,0.0028187919463087247,0.6627923278454898,0.06666666666666667
z,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,38,-0.0013948717948717,1,1,z,0.00261744966442953,0.6596972838889588,0.06666666666666667
ef,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,38,0.1255684210526315,2,1,ef,0.0025503355704697985,0.6585957192988778,0.06666666666666667
models,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,38,32,-0.0069894736842105,6,1,models,0.0025503355704697985,0.6585957192988778,0.13333333333333333
chen,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,36,0.0,4,1,chen,0.0025503355704697985,0.6585957192988778,0.06666666666666667
li,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,36,-0.0043184210526315,2,1,li,0.0025503355704697985,0.6585957192988778,0.06666666666666667
off,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,37,32,-1.621621621621743e-05,3,1,off,0.002483221476510067,0.6574555658168466,0.13333333333333333
been,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,37,37,0.0648162162162162,4,1,been,0.002483221476510067,0.6574555658168466,0.13333333333333333
