word,noun,verb,adjective,adverb,auxiliary,compositions,conjunctions,determiners,existential_determiners,modifiers,negative_quantifiers,prepositions,universal_determiners,possessive_determiners,pronouns,frequency,review_count,avg_sentiment,length,confident,resolved_word,relative_frequency,double_log_freq,participation_score,overarcing_theme
the,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,221,102,0.2083963800904977,3,1,the,0.0783132530120482,0.7176801700117993,0.1333333333333333,"data, scheme, classi, class, overlapping"
and,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,73,66,0.1138561643835616,3,1,and,0.0258681785967399,0.6838574622042377,0.1333333333333333,"data, scheme, classi, class, overlapping"
class,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,51,0.0592409090909091,5,1,class,0.0233876683203401,0.6802614307792342,0.0666666666666666,"data, scheme, classi, class, overlapping"
overlapping,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,66,53,-0.0119924242424242,11,1,overlapping,0.0233876683203401,0.6802614307792342,0.2,"data, scheme, classi, class, overlapping"
data,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,52,0.1103968253968254,4,1,data,0.0223245924875974,0.6785672301966525,0.0666666666666666,"data, scheme, classi, class, overlapping"
of,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,62,47,0.1435145161290322,2,1,of,0.0219702338766832,0.6779793320451609,0.0666666666666666,"data, scheme, classi, class, overlapping"
in,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,48,42,0.031275,2,1,in,0.0170092133238837,0.6681970379894457,0.2666666666666666,"data, scheme, classi, class, overlapping"
is,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,47,40,0.1378659574468085,2,1,is,0.0166548547129695,0.6673591784382801,0.1333333333333333,"data, scheme, classi, class, overlapping"
scheme,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,43,27,0.3303767441860466,6,1,scheme,0.0152374202693125,0.6637605539783985,0.1333333333333333,"data, scheme, classi, class, overlapping"
to,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,41,38,0.1264365853658536,2,1,to,0.014528703047484,0.6617935805169496,0.0666666666666666,"data, scheme, classi, class, overlapping"
classi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,34,0.11176,6,1,classi,0.0141743444365698,0.6607625402758197,0.0,"data, scheme, classi, class, overlapping"
a,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,39,33,0.1022794871794871,1,1,a,0.0138199858256555,0.6596972838889588,0.2,"data, scheme, classi, class, overlapping"
for,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,38,34,0.1417578947368421,3,1,for,0.0134656272147413,0.6585957192988778,0.1333333333333333,"data, scheme, classi, class, overlapping"
on,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,37,32,0.1217621621621621,2,1,on,0.013111268603827,0.6574555658168466,0.2,"data, scheme, classi, class, overlapping"
with,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,33,27,0.0286363636363636,4,1,with,0.01169383416017,0.6524554708460382,0.1333333333333333,"data, scheme, classi, class, overlapping"
schemes,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25,22,0.011096,7,1,schemes,0.0088589652728561,0.6395392040666789,0.1333333333333333,"data, scheme, classi, class, overlapping"
