word,noun,verb,adjective,adverb,auxiliary,compositions,conjunctions,determiners,existential_determiners,modifiers,negative_quantifiers,prepositions,universal_determiners,possessive_determiners,pronouns,frequency,review_count,avg_sentiment,length,confident,resolved_word,relative_frequency,double_log_freq,participation_score,overarcing_theme
the,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1778,514,-0.1804651856017992,3,1,the,0.1231984478935698,0.7625036403018557,0.1333333333333333,"countries, cold, us, ussr, war"
and,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,734,403,-0.0825914168937329,3,1,and,0.0508592017738359,0.7457138552360976,0.1333333333333333,"countries, cold, us, ussr, war"
of,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,649,354,-0.1336223420647147,2,1,of,0.0449695121951219,0.7431495551214262,0.0666666666666666,"countries, cold, us, ussr, war"
in,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,353,273,-0.109298583569405,2,1,in,0.0244595343680709,0.7294786794214851,0.2666666666666666,"countries, cold, us, ussr, war"
to,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,301,228,0.005397342192691,2,1,to,0.0208564301552106,0.7256012541915292,0.0666666666666666,"countries, cold, us, ussr, war"
a,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,243,195,-0.1449831275720165,1,1,a,0.0168375831485587,0.7201726905627681,0.2,"countries, cold, us, ussr, war"
us,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,235,202,-0.1407034042553191,2,1,us,0.0162832594235033,0.7192996495600339,0.0666666666666666,"countries, cold, us, ussr, war"
ussr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,178,-0.1836940000000001,4,1,ussr,0.0138580931263858,0.7149977972429479,0.0,"countries, cold, us, ussr, war"
war,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,196,145,-0.6615423469387756,3,1,war,0.013580931263858,0.7144473594668377,0.2666666666666666,"countries, cold, us, ussr, war"
countries,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,115,-0.0081822222222222,9,1,countries,0.0093542128603104,0.7037930116945237,0.0666666666666666,"countries, cold, us, ussr, war"
cold,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,110,96,-0.6406027272727276,4,1,cold,0.0076219512195121,0.6975063903803305,0.2,"countries, cold, us, ussr, war"
on,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,101,91,-0.0803069306930693,2,1,on,0.0069983370288248,0.694786511508806,0.2,"countries, cold, us, ussr, war"
was,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,95,81,-0.1991326315789473,3,1,was,0.0065825942350332,0.6927971477338802,0.1333333333333333,"countries, cold, us, ussr, war"
between,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,93,76,-0.2887731182795698,7,1,between,0.0064440133037694,0.6920984047010715,0.1333333333333333,"countries, cold, us, ussr, war"
international,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,92,75,-0.1588130434782609,13,1,international,0.0063747228381374,0.6917418571940166,0.1333333333333333,"countries, cold, us, ussr, war"
is,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,89,70,-0.1734303370786517,2,1,is,0.0061668514412416,0.6906420386261555,0.1333333333333333,"countries, cold, us, ussr, war"
as,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,75,-0.0976454545454545,2,1,as,0.0060975609756097,0.6902649379933511,0.0666666666666666,"countries, cold, us, ussr, war"
world,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,85,76,-0.2219811764705881,5,1,world,0.0058896895787139,0.6891001806412381,0.1333333333333333,"countries, cold, us, ussr, war"
military,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,84,70,-0.0007404761904761,8,1,military,0.005820399113082,0.6887002699067727,0.1333333333333333,"countries, cold, us, ussr, war"
economic,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,83,65,-0.1341,8,1,economic,0.0057511086474501,0.6882942616598658,0.0666666666666666,"countries, cold, us, ussr, war"
for,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,78,75,-0.15165,3,1,for,0.0054046563192904,0.6861665279438015,0.1333333333333333,"countries, cold, us, ussr, war"
has,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,78,68,0.0318923076923077,3,1,has,0.0054046563192904,0.6861665279438015,0.0666666666666666,"countries, cold, us, ussr, war"
that,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,68,63,-0.0233132352941176,4,1,that,0.0047117516629711,0.6813369800735739,0.4,"countries, cold, us, ussr, war"
an,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,67,62,-0.0284388059701492,2,1,an,0.0046424611973392,0.6808043476166022,0.2,"countries, cold, us, ussr, war"
by,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,66,61,-0.176410606060606,2,1,by,0.0045731707317073,0.6802614307792342,0.2,"countries, cold, us, ussr, war"
with,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,63,61,-0.158879365079365,4,1,with,0.0043652993348115,0.6785672301966525,0.1333333333333333,"countries, cold, us, ussr, war"
its,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,57,52,0.1224421052631579,3,1,its,0.0039495565410199,0.6748452867147411,0.1333333333333333,"countries, cold, us, ussr, war"
eastern,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,55,48,-0.044890909090909,7,1,eastern,0.003810975609756,0.6734908190761342,0.0666666666666666,"countries, cold, us, ussr, war"
this,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,54,54,-0.1384074074074074,4,1,this,0.0037416851441241,0.6727895226904915,0.2666666666666666,"countries, cold, us, ussr, war"
soviet,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,54,51,-0.0768,6,1,soviet,0.0037416851441241,0.6727895226904915,0.1333333333333333,"countries, cold, us, ussr, war"
other,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,54,48,-0.0106018518518518,5,1,other,0.0037416851441241,0.6727895226904915,0.3333333333333333,"countries, cold, us, ussr, war"
relations,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,43,-0.1310819999999999,9,1,relations,0.0034645232815964,0.6698067935179771,0.0666666666666666,"countries, cold, us, ussr, war"
two,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,50,49,-0.19518,3,1,two,0.0034645232815964,0.6698067935179771,0.1333333333333333,"countries, cold, us, ussr, war"
which,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,48,47,-0.2031999999999999,5,1,which,0.0033259423503325,0.6681970379894457,0.2,"countries, cold, us, ussr, war"
s,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,39,-0.0719395833333333,1,1,s,0.0033259423503325,0.6681970379894457,0.0666666666666666,"countries, cold, us, ussr, war"
political,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,46,43,-0.1064695652173913,9,1,political,0.0031873614190687,0.6664978557621422,0.1333333333333333,"countries, cold, us, ussr, war"
it,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,46,41,-0.1964608695652173,2,1,it,0.0031873614190687,0.6664978557621422,0.1333333333333333,"countries, cold, us, ussr, war"
their,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,45,36,0.0185022222222222,5,1,their,0.0031180709534368,0.6656118611656676,0.0666666666666666,"countries, cold, us, ussr, war"
after,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,44,41,-0.27315,5,1,after,0.0030487804878048,0.664699894291389,0.2,"countries, cold, us, ussr, war"
from,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,44,40,-0.1900068181818182,4,1,from,0.0030487804878048,0.664699894291389,0.0666666666666666,"countries, cold, us, ussr, war"
have,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,44,38,0.0560499999999999,4,1,have,0.0030487804878048,0.664699894291389,0.1333333333333333,"countries, cold, us, ussr, war"
europe,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,42,-0.1790209302325581,6,1,europe,0.0029794900221729,0.6637605539783985,0.0666666666666666,"countries, cold, us, ussr, war"
european,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,43,36,-0.0004418604651162,8,1,european,0.0029794900221729,0.6637605539783985,0.1333333333333333,"countries, cold, us, ussr, war"
development,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,40,0.1392595238095238,11,1,development,0.002910199556541,0.6627923278454898,0.0666666666666666,"countries, cold, us, ussr, war"
doctrine,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,35,-0.016455,8,1,doctrine,0.0027716186252771,0.6607625402758197,0.0666666666666666,"countries, cold, us, ussr, war"
also,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,37,37,-0.2352351351351351,4,1,also,0.0025637472283813,0.6574555658168466,0.0666666666666666,"countries, cold, us, ussr, war"
at,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,37,35,-0.0552891891891892,2,1,at,0.0025637472283813,0.6574555658168466,0.1333333333333333,"countries, cold, us, ussr, war"
power,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,36,31,0.0031472222222222,5,1,power,0.0024944567627494,0.6562743313773061,0.2,"countries, cold, us, ussr, war"
had,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,36,32,-0.1425833333333333,3,1,had,0.0024944567627494,0.6562743313773061,0.0666666666666666,"countries, cold, us, ussr, war"
system,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,28,-0.304960606060606,6,1,system,0.0022865853658536,0.6524554708460382,0.0666666666666666,"countries, cold, us, ussr, war"
socialist,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,33,26,0.0552121212121212,9,1,socialist,0.0022865853658536,0.6524554708460382,0.1333333333333333,"countries, cold, us, ussr, war"
were,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,32,28,-0.2193875,4,1,were,0.0022172949002217,0.6510797546220851,0.2,"countries, cold, us, ussr, war"
during,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,30,-0.4844419354838708,6,1,during,0.0021480044345898,0.6496462468470389,0.0,"countries, cold, us, ussr, war"
important,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,31,30,0.0708419354838709,9,1,important,0.0021480044345898,0.6496462468470389,0.0666666666666666,"countries, cold, us, ussr, war"
