word,noun,verb,adjective,adverb,auxiliary,compositions,conjunctions,determiners,existential_determiners,modifiers,negative_quantifiers,prepositions,universal_determiners,possessive_determiners,pronouns,frequency,review_count,avg_sentiment,length,confident,resolved_word,relative_frequency,double_log_freq,participation_score,overarcing_theme
the,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,60,38,-0.110225,3,1,the,0.0797872340425532,0.6767661283438605,0.1333333333333333,"b, x, n, dx, z, f, k"
x,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,29,-0.3582069767441861,1,1,x,0.0571808510638297,0.6637605539783985,0.0666666666666666,"b, x, n, dx, z, f, k"
a,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,38,22,-0.401907894736842,1,1,a,0.050531914893617,0.6585957192988778,0.2,"b, x, n, dx, z, f, k"
f,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,23,-0.33928125,1,1,f,0.0425531914893617,0.6510797546220851,0.0666666666666666,"b, x, n, dx, z, f, k"
k,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,12,-0.2134961538461538,1,1,k,0.0345744680851063,0.6414349232056878,0.0666666666666666,"b, x, n, dx, z, f, k"
of,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22,18,-0.1189181818181818,2,1,of,0.0292553191489361,0.6331875282688906,0.0666666666666666,"b, x, n, dx, z, f, k"
b,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,12,-0.4917904761904762,1,1,b,0.0279255319148936,0.6308081703830098,0.0666666666666666,"b, x, n, dx, z, f, k"
n,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,6,-0.3588117647058824,1,1,n,0.0226063829787234,0.6195156162140293,0.0666666666666666,"b, x, n, dx, z, f, k"
z,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,14,-0.5471062500000001,1,1,z,0.0212765957446808,0.6161216046825284,0.0666666666666666,"b, x, n, dx, z, f, k"
dx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,14,-0.5853812500000002,2,0,dx,0.0212765957446808,0.6161216046825284,0.0,"b, x, n, dx, z, f, k"
is,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,15,13,-0.0873466666666666,2,1,is,0.0199468085106383,0.6124288945957818,0.1333333333333333,"b, x, n, dx, z, f, k"
and,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14,14,-0.1528642857142857,3,1,and,0.0186170212765957,0.6083877907186052,0.1333333333333333,"b, x, n, dx, z, f, k"
an,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,14,10,-0.15155,2,1,an,0.0186170212765957,0.6083877907186052,0.2,"b, x, n, dx, z, f, k"
rule,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,-0.3130833333333333,4,1,rule,0.0159574468085106,0.5989937658314455,0.1333333333333333,"b, x, n, dx, z, f, k"
right,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,12,12,-0.2994,5,1,right,0.0159574468085106,0.5989937658314455,0.2666666666666666,"b, x, n, dx, z, f, k"
rectangles,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,-0.2067909090909091,10,1,rectangles,0.014627659574468,0.5934578873666095,0.0666666666666666,"b, x, n, dx, z, f, k"
integral,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,10,-0.2411454545454545,8,1,integral,0.014627659574468,0.5934578873666095,0.1333333333333333,"b, x, n, dx, z, f, k"
endpoint,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,-0.29508,8,1,endpoint,0.0132978723404255,0.5871908758202614,0.0666666666666666,"b, x, n, dx, z, f, k"
for,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,9,9,-0.0603777777777777,3,1,for,0.0119680851063829,0.5800052903735844,0.1333333333333333,"b, x, n, dx, z, f, k"
endpoints,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,-0.2174333333333333,9,1,endpoints,0.0119680851063829,0.5800052903735844,0.0666666666666666,"b, x, n, dx, z, f, k"
using,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,-0.4044124999999999,5,1,using,0.0106382978723404,0.571637330557974,0.0666666666666666,"b, x, n, dx, z, f, k"
left,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,7,7,-0.1878428571428571,4,1,left,0.0093085106382978,0.5617012295157272,0.2666666666666666,"b, x, n, dx, z, f, k"
riemann,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,-0.2711,7,1,riemann,0.0093085106382978,0.5617012295157272,0.0666666666666666,"b, x, n, dx, z, f, k"
each,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,7,7,-0.1077,4,1,each,0.0093085106382978,0.5617012295157272,0.3333333333333333,"b, x, n, dx, z, f, k"
write,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,-0.3311857142857142,5,1,write,0.0093085106382978,0.5617012295157272,0.1333333333333333,"b, x, n, dx, z, f, k"
overestimate,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,-0.2114285714285714,12,1,overestimate,0.0093085106382978,0.5617012295157272,0.1333333333333333,"b, x, n, dx, z, f, k"
underestimate,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,-0.1762428571428571,13,1,underestimate,0.0093085106382978,0.5617012295157272,0.1333333333333333,"b, x, n, dx, z, f, k"
to,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,6,-0.1630833333333333,2,1,to,0.0079787234042553,0.5496051325127768,0.0666666666666666,"b, x, n, dx, z, f, k"
by,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,6,6,0.0695333333333333,2,1,by,0.0079787234042553,0.5496051325127768,0.2,"b, x, n, dx, z, f, k"
sum,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,-0.2493,3,1,sum,0.0079787234042553,0.5496051325127768,0.0666666666666666,"b, x, n, dx, z, f, k"
estimate,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,-0.0719166666666666,8,1,estimate,0.0079787234042553,0.5496051325127768,0.1333333333333333,"b, x, n, dx, z, f, k"
values,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0.16076,6,1,values,0.0066489361702127,0.5343829898349378,0.1333333333333333,"b, x, n, dx, z, f, k"
would,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,5,-0.0591999999999999,5,1,would,0.0066489361702127,0.5343829898349378,0.0666666666666666,"b, x, n, dx, z, f, k"
that,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,5,5,-0.14332,4,1,that,0.0066489361702127,0.5343829898349378,0.4,"b, x, n, dx, z, f, k"
then,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,5,5,-0.03802,4,1,then,0.0066489361702127,0.5343829898349378,0.2666666666666666,"b, x, n, dx, z, f, k"
or,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,4,0.03932,2,1,or,0.0066489361702127,0.5343829898349378,0.0666666666666666,"b, x, n, dx, z, f, k"
use,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,-0.24496,3,1,use,0.0066489361702127,0.5343829898349378,0.1333333333333333,"b, x, n, dx, z, f, k"
nx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,-0.65252,2,0,nx,0.0066489361702127,0.5343829898349378,0.0,"b, x, n, dx, z, f, k"
rectangle,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,-0.12248,9,1,rectangle,0.0066489361702127,0.5343829898349378,0.0666666666666666,"b, x, n, dx, z, f, k"
gives,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,-0.296,5,1,gives,0.0053191489361702,0.5143212870569726,0.0666666666666666,"b, x, n, dx, z, f, k"
in,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,4,4,-0.248475,2,1,in,0.0053191489361702,0.5143212870569726,0.2666666666666666,"b, x, n, dx, z, f, k"
given,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0.0579,5,1,given,0.0053191489361702,0.5143212870569726,0.2,"b, x, n, dx, z, f, k"
limit,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,-0.4593,5,1,limit,0.0053191489361702,0.5143212870569726,0.1333333333333333,"b, x, n, dx, z, f, k"
summation,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,-0.273725,9,1,summation,0.0053191489361702,0.5143212870569726,0.0666666666666666,"b, x, n, dx, z, f, k"
give,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.135575,4,1,give,0.0053191489361702,0.5143212870569726,0.1333333333333333,"b, x, n, dx, z, f, k"
be,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,4,-0.148,2,1,be,0.0053191489361702,0.5143212870569726,0.1333333333333333,"b, x, n, dx, z, f, k"
following,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.0,9,1,following,0.0053191489361702,0.5143212870569726,0.2,"b, x, n, dx, z, f, k"
this,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,3,3,-0.1784,4,1,this,0.0039893617021276,0.4860001779968491,0.2666666666666666,"b, x, n, dx, z, f, k"
problems,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,-0.5422333333333333,8,1,problems,0.0039893617021276,0.4860001779968491,0.0666666666666666,"b, x, n, dx, z, f, k"
sums,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,-0.0206333333333333,4,1,sums,0.0039893617021276,0.4860001779968491,0.0666666666666666,"b, x, n, dx, z, f, k"
are,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,-0.1339666666666666,3,1,are,0.0039893617021276,0.4860001779968491,0.1333333333333333,"b, x, n, dx, z, f, k"
five,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,-0.3314,4,1,five,0.0039893617021276,0.4860001779968491,0.1333333333333333,"b, x, n, dx, z, f, k"
shows,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.0,5,1,shows,0.0039893617021276,0.4860001779968491,0.1333333333333333,"b, x, n, dx, z, f, k"
sin,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,-0.4599666666666667,3,1,sin,0.0039893617021276,0.4860001779968491,0.1333333333333333,"b, x, n, dx, z, f, k"
as,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,-0.2041333333333333,2,1,as,0.0039893617021276,0.4860001779968491,0.0666666666666666,"b, x, n, dx, z, f, k"
can,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3,-0.2944666666666666,3,1,can,0.0039893617021276,0.4860001779968491,0.2,"b, x, n, dx, z, f, k"
midpoint,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,-0.2944666666666666,8,1,midpoint,0.0039893617021276,0.4860001779968491,0.0666666666666666,"b, x, n, dx, z, f, k"
graph,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.1807666666666666,5,1,graph,0.0039893617021276,0.4860001779968491,0.1333333333333333,"b, x, n, dx, z, f, k"
if,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,-0.1973333333333333,2,1,if,0.0039893617021276,0.4860001779968491,0.1333333333333333,"b, x, n, dx, z, f, k"
from,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,0.0821,4,1,from,0.0039893617021276,0.4860001779968491,0.0666666666666666,"b, x, n, dx, z, f, k"
rules,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,-0.2944666666666666,5,1,rules,0.0039893617021276,0.4860001779968491,0.1333333333333333,"b, x, n, dx, z, f, k"
we,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,-0.3646333333333333,2,1,we,0.0039893617021276,0.4860001779968491,0.0666666666666666,"b, x, n, dx, z, f, k"
three,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,-0.2944666666666666,5,1,three,0.0039893617021276,0.4860001779968491,0.1333333333333333,"b, x, n, dx, z, f, k"
area,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0,4,1,area,0.0026595744680851,0.4412300856834651,0.0666666666666666,"b, x, n, dx, z, f, k"
exercises,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0,9,1,exercises,0.0026595744680851,0.4412300856834651,0.1333333333333333,"b, x, n, dx, z, f, k"
increasing,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,-0.148,10,1,increasing,0.0026595744680851,0.4412300856834651,0.1333333333333333,"b, x, n, dx, z, f, k"
summations,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,-0.2716999999999999,10,1,summations,0.0026595744680851,0.4412300856834651,0.0666666666666666,"b, x, n, dx, z, f, k"
speed,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0,5,1,speed,0.0026595744680851,0.4412300856834651,0.1333333333333333,"b, x, n, dx, z, f, k"
racecar,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0,7,1,racecar,0.0026595744680851,0.4412300856834651,0.0666666666666666,"b, x, n, dx, z, f, k"
approximation,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,-0.4542,13,1,approximation,0.0026595744680851,0.4412300856834651,0.0666666666666666,"b, x, n, dx, z, f, k"
xn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,-0.3062,2,0,xn,0.0026595744680851,0.4412300856834651,0.0,"b, x, n, dx, z, f, k"
width,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,-0.3062,5,1,width,0.0026595744680851,0.4412300856834651,0.0666666666666666,"b, x, n, dx, z, f, k"
number,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0772,6,1,number,0.0026595744680851,0.4412300856834651,0.1333333333333333,"b, x, n, dx, z, f, k"
formula,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.2086,7,1,formula,0.0026595744680851,0.4412300856834651,0.0666666666666666,"b, x, n, dx, z, f, k"
idea,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.20095,4,1,idea,0.0026595744680851,0.4412300856834651,0.0666666666666666,"b, x, n, dx, z, f, k"
odd,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,-0.6124,3,1,odd,0.0026595744680851,0.4412300856834651,0.0666666666666666,"b, x, n, dx, z, f, k"
even,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,-0.6124,4,1,even,0.0026595744680851,0.4412300856834651,0.2666666666666666,"b, x, n, dx, z, f, k"
on,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,2,2,-0.148,2,1,on,0.0026595744680851,0.4412300856834651,0.2,"b, x, n, dx, z, f, k"
since,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,2,-0.148,5,1,since,0.0026595744680851,0.4412300856834651,0.1333333333333333,"b, x, n, dx, z, f, k"
explain,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0,7,1,explain,0.0026595744680851,0.4412300856834651,0.0666666666666666,"b, x, n, dx, z, f, k"
c,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,-0.148,1,1,c,0.0026595744680851,0.4412300856834651,0.0666666666666666,"b, x, n, dx, z, f, k"
what,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,2,2,0.0,4,1,what,0.0026595744680851,0.4412300856834651,0.2,"b, x, n, dx, z, f, k"
part,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,-0.296,4,1,part,0.0026595744680851,0.4412300856834651,0.2,"b, x, n, dx, z, f, k"
ln,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,-0.3062,2,0,ln,0.0026595744680851,0.4412300856834651,0.0,"b, x, n, dx, z, f, k"
approximated,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0,12,1,approximated,0.0026595744680851,0.4412300856834651,0.0666666666666666,"b, x, n, dx, z, f, k"
lim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,-0.3062,3,1,lim,0.0026595744680851,0.4412300856834651,0.0,"b, x, n, dx, z, f, k"
definition,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,-0.6124,10,1,definition,0.0026595744680851,0.4412300856834651,0.0666666666666666,"b, x, n, dx, z, f, k"
first,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0,5,1,first,0.0026595744680851,0.4412300856834651,0.2,"b, x, n, dx, z, f, k"
function,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0,8,1,function,0.0026595744680851,0.4412300856834651,0.1333333333333333,"b, x, n, dx, z, f, k"
approximate,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,-0.2676,11,1,approximate,0.0026595744680851,0.4412300856834651,0.1333333333333333,"b, x, n, dx, z, f, k"
your,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,-0.296,4,1,your,0.0026595744680851,0.4412300856834651,0.0666666666666666,"b, x, n, dx, z, f, k"
you,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,-0.148,3,1,you,0.0026595744680851,0.4412300856834651,0.0666666666666666,"b, x, n, dx, z, f, k"
decreasing,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,-0.296,10,1,decreasing,0.0026595744680851,0.4412300856834651,0.1333333333333333,"b, x, n, dx, z, f, k"
case,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,-0.3062,4,1,case,0.0026595744680851,0.4412300856834651,0.1333333333333333,"b, x, n, dx, z, f, k"
some,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,2,2,0.0,4,1,some,0.0026595744680851,0.4412300856834651,0.2666666666666666,"b, x, n, dx, z, f, k"
subintervals,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0,12,1,subintervals,0.0026595744680851,0.4412300856834651,0.0666666666666666,"b, x, n, dx, z, f, k"
example,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0,7,1,example,0.0026595744680851,0.4412300856834651,0.0666666666666666,"b, x, n, dx, z, f, k"
according,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,9,1,according,0.0013297872340425,0.3527925170786499,0.1333333333333333,"b, x, n, dx, z, f, k"
chosen,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,6,1,chosen,0.0013297872340425,0.3527925170786499,0.2,"b, x, n, dx, z, f, k"
study,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.4019,5,1,study,0.0013297872340425,0.3527925170786499,0.1333333333333333,"b, x, n, dx, z, f, k"
extra,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.4019,5,1,extra,0.0013297872340425,0.3527925170786499,0.2,"b, x, n, dx, z, f, k"
where,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0.0772,5,1,where,0.0013297872340425,0.3527925170786499,0.1333333333333333,"b, x, n, dx, z, f, k"
here,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.6124,4,1,here,0.0013297872340425,0.3527925170786499,0.2,"b, x, n, dx, z, f, k"
represents,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.6124,10,1,represents,0.0013297872340425,0.3527925170786499,0.0666666666666666,"b, x, n, dx, z, f, k"
areas,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,5,1,areas,0.0013297872340425,0.3527925170786499,0.0666666666666666,"b, x, n, dx, z, f, k"
form,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.6124,4,1,form,0.0013297872340425,0.3527925170786499,0.1333333333333333,"b, x, n, dx, z, f, k"
has,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,-0.6124,3,1,has,0.0013297872340425,0.3527925170786499,0.0666666666666666,"b, x, n, dx, z, f, k"
vertical,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,8,1,vertical,0.0013297872340425,0.3527925170786499,0.1333333333333333,"b, x, n, dx, z, f, k"
summing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,7,1,summing,0.0013297872340425,0.3527925170786499,0.0,"b, x, n, dx, z, f, k"
guide,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.4019,5,1,guide,0.0013297872340425,0.3527925170786499,0.1333333333333333,"b, x, n, dx, z, f, k"
parentheses,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.4019,11,1,parentheses,0.0013297872340425,0.3527925170786499,0.0666666666666666,"b, x, n, dx, z, f, k"
practice,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.4019,8,1,practice,0.0013297872340425,0.3527925170786499,0.1333333333333333,"b, x, n, dx, z, f, k"
basic,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,5,1,basic,0.0013297872340425,0.3527925170786499,0.1333333333333333,"b, x, n, dx, z, f, k"
way,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,3,1,way,0.0013297872340425,0.3527925170786499,0.1333333333333333,"b, x, n, dx, z, f, k"
approximating,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,13,1,approximating,0.0013297872340425,0.3527925170786499,0.0666666666666666,"b, x, n, dx, z, f, k"
variable,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.4019,8,1,variable,0.0013297872340425,0.3527925170786499,0.1333333333333333,"b, x, n, dx, z, f, k"
means,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,5,1,means,0.0013297872340425,0.3527925170786499,0.1333333333333333,"b, x, n, dx, z, f, k"
giving,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.34,6,1,giving,0.0013297872340425,0.3527925170786499,0.2,"b, x, n, dx, z, f, k"
term,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.34,4,1,term,0.0013297872340425,0.3527925170786499,0.1333333333333333,"b, x, n, dx, z, f, k"
large,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.34,5,1,large,0.0013297872340425,0.3527925170786499,0.2,"b, x, n, dx, z, f, k"
