word,noun,verb,adjective,adverb,auxiliary,compositions,conjunctions,determiners,existential_determiners,modifiers,negative_quantifiers,prepositions,universal_determiners,possessive_determiners,pronouns,frequency,review_count,avg_sentiment,length,confident,resolved_word,relative_frequency,double_log_freq,participation_score,overarcing_theme
word,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,63,0.0068585937499999,4,1,word,0.0742890307603018,0.7021899308005235,0.0,"determiners, csv, len, suggestions, changed, print, set, df, data, word"
suggestions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,18,0.1720170731707317,11,1,suggestions,0.0237957051654091,0.6617935805169496,0.0,"determiners, csv, len, suggestions, changed, print, set, df, data, word"
set,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,40,24,0.0189475,3,1,set,0.0232153221125943,0.6607625402758197,0.2,"determiners, csv, len, suggestions, changed, print, set, df, data, word"
len,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,17,-0.0461410256410256,3,1,len,0.0226349390597794,0.6596972838889588,0.0,"determiners, csv, len, suggestions, changed, print, set, df, data, word"
determiners,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,9,-0.0442857142857142,11,1,determiners,0.02031340684852,0.6550492863214452,0.0666666666666666,"determiners, csv, len, suggestions, changed, print, set, df, data, word"
in,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,33,14,-0.0673454545454545,2,1,in,0.0191526407428903,0.6524554708460382,0.2666666666666666,"determiners, csv, len, suggestions, changed, print, set, df, data, word"
print,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,29,16,0.1068931034482758,5,1,print,0.0168311085316308,0.6465873928647587,0.2,"determiners, csv, len, suggestions, changed, print, set, df, data, word"
changed,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,29,12,0.1942689655172413,7,1,changed,0.0168311085316308,0.6465873928647587,0.1333333333333333,"determiners, csv, len, suggestions, changed, print, set, df, data, word"
df,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,21,0.0829481481481481,2,0,df,0.0156703424260011,0.6432363202993117,0.0,"determiners, csv, len, suggestions, changed, print, set, df, data, word"
csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0.0,3,1,csv,0.0145095763203714,0.6395392040666789,0.0,"determiners, csv, len, suggestions, changed, print, set, df, data, word"
data,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0.0593159999999999,4,1,data,0.0145095763203714,0.6395392040666789,0.0666666666666666,"determiners, csv, len, suggestions, changed, print, set, df, data, word"
i,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,8,-0.2634375,1,1,i,0.0139291932675565,0.6375399955160673,0.1333333333333333,"determiners, csv, len, suggestions, changed, print, set, df, data, word"
dict,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,21,0.0329521739130434,4,1,dict,0.0133488102147417,0.6354268000766977,0.0666666666666666,"determiners, csv, len, suggestions, changed, print, set, df, data, word"
for,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,21,14,-0.1220761904761904,3,1,for,0.012188044109112,0.6308081703830098,0.1333333333333333,"determiners, csv, len, suggestions, changed, print, set, df, data, word"
f,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,14,0.109735,1,1,f,0.0116076610562971,0.6282723810177272,0.0666666666666666,"determiners, csv, len, suggestions, changed, print, set, df, data, word"
sentiment,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,10,0.0410684210526315,9,1,sentiment,0.0110272780034822,0.6255609474815194,0.0666666666666666,"determiners, csv, len, suggestions, changed, print, set, df, data, word"
true,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,18,13,0.0842111111111111,4,1,true,0.0104468949506674,0.6226511014835566,0.2666666666666666,"determiners, csv, len, suggestions, changed, print, set, df, data, word"
text,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,9,0.0212722222222222,4,1,text,0.0104468949506674,0.6226511014835566,0.0666666666666666,"determiners, csv, len, suggestions, changed, print, set, df, data, word"
stats,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,10,0.1146470588235294,5,1,stats,0.0098665118978525,0.6195156162140293,0.0666666666666666,"determiners, csv, len, suggestions, changed, print, set, df, data, word"
load,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,0.0,4,1,load,0.0098665118978525,0.6195156162140293,0.1333333333333333,"determiners, csv, len, suggestions, changed, print, set, df, data, word"
working,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,17,17,0.0445823529411764,7,1,working,0.0098665118978525,0.6195156162140293,0.2,"determiners, csv, len, suggestions, changed, print, set, df, data, word"
path,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,6,0.0445823529411764,4,1,path,0.0098665118978525,0.6195156162140293,0.0666666666666666,"determiners, csv, len, suggestions, changed, print, set, df, data, word"
unknown,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,12,0.02478125,7,1,unknown,0.0092861288450377,0.6161216046825284,0.1333333333333333,"determiners, csv, len, suggestions, changed, print, set, df, data, word"
words,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,14,0.0681625,5,1,words,0.0092861288450377,0.6161216046825284,0.0666666666666666,"determiners, csv, len, suggestions, changed, print, set, df, data, word"
to,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,12,0.0013066666666666,2,1,to,0.0087057457922228,0.6124288945957818,0.0666666666666666,"determiners, csv, len, suggestions, changed, print, set, df, data, word"
int,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0.0,3,1,int,0.0087057457922228,0.6124288945957818,0.0666666666666666,"determiners, csv, len, suggestions, changed, print, set, df, data, word"
class,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0.0,5,1,class,0.0087057457922228,0.6124288945957818,0.0666666666666666,"determiners, csv, len, suggestions, changed, print, set, df, data, word"
