word,noun,verb,adjective,adverb,auxiliary,compositions,conjunctions,determiners,existential_determiners,modifiers,negative_quantifiers,prepositions,universal_determiners,possessive_determiners,pronouns,frequency,review_count,avg_sentiment,length,confident,resolved_word,relative_frequency,double_log_freq,participation_score,overarcing_theme
quot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3320,1976,-0.0001661144578313,4,1,quot,0.2123984389994242,0.7728857550425761,0.0,"i, hesaid, no, thekinginyellow, yes, quot, well, oh, mr, shesaid"
thekinginyellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,107,-0.0044551401869158,15,1,thekinginyellow,0.006845371377391,0.6966319365965035,0.0,"i, hesaid, no, thekinginyellow, yes, quot, well, oh, mr, shesaid"
hesaid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,62,0.0,6,1,hesaid,0.0039664768728808,0.6779793320451609,0.0,"i, hesaid, no, thekinginyellow, yes, quot, well, oh, mr, shesaid"
oh,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,57,0.0,2,1,oh,0.0038385260060136,0.6767661283438605,0.0666666666666666,"i, hesaid, no, thekinginyellow, yes, quot, well, oh, mr, shesaid"
yes,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,54,53,0.0148851851851851,3,1,yes,0.0034546734054123,0.6727895226904915,0.1333333333333333,"i, hesaid, no, thekinginyellow, yes, quot, well, oh, mr, shesaid"
mr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,44,0.0,2,0,mr,0.0028149190710767,0.664699894291389,0.0,"i, hesaid, no, thekinginyellow, yes, quot, well, oh, mr, shesaid"
no,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,43,41,-0.0137674418604651,2,1,no,0.0027509436376431,0.6637605539783985,0.2,"i, hesaid, no, thekinginyellow, yes, quot, well, oh, mr, shesaid"
shesaid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,0.0,7,1,shesaid,0.0020472138698739,0.6510797546220851,0.0,"i, hesaid, no, thekinginyellow, yes, quot, well, oh, mr, shesaid"
and,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,31,30,0.0,3,1,and,0.0019832384364404,0.6496462468470389,0.1333333333333333,"i, hesaid, no, thekinginyellow, yes, quot, well, oh, mr, shesaid"
i,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,26,0.0,1,1,i,0.0016633612692725,0.6414349232056878,0.1333333333333333,"i, hesaid, no, thekinginyellow, yes, quot, well, oh, mr, shesaid"
well,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,26,25,0.0,4,1,well,0.0016633612692725,0.6414349232056878,0.2666666666666666,"i, hesaid, no, thekinginyellow, yes, quot, well, oh, mr, shesaid"
isaid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,0.0,5,1,isaid,0.0015354104024054,0.6375399955160673,0.0,"i, hesaid, no, thekinginyellow, yes, quot, well, oh, mr, shesaid"
therepairerofreputations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,0.0,24,1,therepairerofreputations,0.0014714349689719,0.6354268000766977,0.0,"i, hesaid, no, thekinginyellow, yes, quot, well, oh, mr, shesaid"
streetofourladyofthefields,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,0.0,26,1,streetofourladyofthefields,0.0014074595355383,0.6331875282688906,0.0,"i, hesaid, no, thekinginyellow, yes, quot, well, oh, mr, shesaid"
j,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,0.0,1,1,j,0.0014074595355383,0.6331875282688906,0.0666666666666666,"i, hesaid, no, thekinginyellow, yes, quot, well, oh, mr, shesaid"
thestreetofthefirstshell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,0.0,24,1,thestreetofthefirstshell,0.0014074595355383,0.6331875282688906,0.0,"i, hesaid, no, thekinginyellow, yes, quot, well, oh, mr, shesaid"
iasked,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,0.0,6,1,iasked,0.0013434841021047,0.6308081703830098,0.0,"i, hesaid, no, thekinginyellow, yes, quot, well, oh, mr, shesaid"
then,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,19,19,0.0,4,1,then,0.0012155332352376,0.6255609474815194,0.2666666666666666,"i, hesaid, no, thekinginyellow, yes, quot, well, oh, mr, shesaid"
wilde,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,0.0,5,1,wilde,0.0012155332352376,0.6255609474815194,0.0666666666666666,"i, hesaid, no, thekinginyellow, yes, quot, well, oh, mr, shesaid"
why,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17,17,0.0,3,1,why,0.0010875823683705,0.6195156162140293,0.1333333333333333,"i, hesaid, no, thekinginyellow, yes, quot, well, oh, mr, shesaid"
