phrase_id,sentence_id,phrase,type,bundle_id,preceeded_by,leads_to,xmin,ymin,xmax,ymax,Page,Total_Sentences
0,0,"['THE', 'KING']",NP,0,-1,1,98.62621307373047,134.2015838623047,107.97184753417969,143.92881774902344,4,3
1,1,"['IN', 'BY']",NP,0,-1,1,98.62621307373047,134.2015838623047,107.97184753417969,143.92881774902344,4,3
2,2,"['ROBERT', 'W.']",NP,0,-1,1,89.13739776611328,162.814453125,92.7293472290039,164.06065368652344,4,3
3,3,"['AITTMOR', '&quot;']",NP,0,-1,1,89.13739776611328,162.814453125,92.7293472290039,164.06065368652344,4,3
4,4,"['TENNYSON', '114']",NP,0,-1,1,72.6615982055664,19.204164505004883,129.23770141601562,32.290008544921875,5,3
5,5,"['Nedy', 'Prismatic']",NP,0,-1,1,72.6615982055664,19.204164505004883,129.23770141601562,32.290008544921875,5,3
6,6,"['Librar^r', 'GILT']",NP,0,-1,1,20.534799575805664,51.55699920654297,39.347835540771484,59.38949203491211,5,3
7,7,"['&quot;I', 'Noely']",NP,0,-1,1,20.534799575805664,51.55699920654297,39.347835540771484,59.38949203491211,5,3
8,8,"['selection.', 'It']",NP,0,-1,1,20.534799575805664,71.79821014404297,43.3671989440918,83.68057250976562,5,3
9,9,"['tqual', 'SOUR']",NP,0,-1,1,20.534799575805664,71.79821014404297,43.3671989440918,83.68057250976562,5,3
10,10,"['By', 'SEVEN']",NP,0,-1,1,49.111202239990234,92.26085662841797,68.63936614990234,100.39108276367188,5,3
11,11,"['Ky', 'Thorn']",NP,0,-1,1,49.111202239990234,92.26085662841797,68.63936614990234,100.39108276367188,5,3
12,12,"['J.', 'Vivian.']",NP,0,-1,1,33.02799987792969,98.6105728149414,81.13542175292969,106.31393432617188,5,3
13,13,"['With', 'illustrations']",NP,0,-1,1,33.02799987792969,98.6105728149414,81.13542175292969,106.31393432617188,5,3
14,14,"['A', 'By']",NP,0,-1,1,124.07040405273438,121.31507110595703,134.40960693359375,132.0764617919922,5,3
15,15,"['THE', 'By']",NP,0,-1,1,124.07040405273438,121.31507110595703,134.40960693359375,132.0764617919922,5,3
16,16,"['A', 'By']",NP,0,-1,1,32.8843994140625,140.59303283691406,74.24464416503906,148.42013549804688,5,3
17,17,"['With', 'lustrations']",NP,0,-1,1,32.8843994140625,140.59303283691406,74.24464416503906,148.42013549804688,5,3
18,18,"['MONTRESOR.', 'REVERIES']",NP,0,-1,1,121.7728042602539,159.5359344482422,131.96725463867188,166.6097412109375,5,3
19,19,"['./T%5C/0', 'J&V']",NP,0,-1,1,121.7728042602539,159.5359344482422,131.96725463867188,166.6097412109375,5,3
20,20,"['THE', 'By']",NP,0,-1,1,94.7760009765625,180.79800415039062,105.25822448730469,191.708251953125,5,3
21,21,"['THE', 'By']",NP,0,-1,1,94.7760009765625,180.79800415039062,105.25822448730469,191.708251953125,5,3
22,22,"['OBSERVATIONS', 'By']",NP,0,-1,1,144.60520935058594,207.0873565673828,150.6363983154297,213.36483764648438,5,3
23,23,"['KINGS', 'S.']",NP,0,-1,1,144.60520935058594,207.0873565673828,150.6363983154297,213.36483764648438,5,3
24,24,"['NOBLE', 'PARALLEL.']",NP,0,-1,1,69.35880279541016,228.72789001464844,79.69800567626953,239.48927307128906,5,3
25,25,"['TRUMPETER', 'By']",NP,0,-1,1,69.35880279541016,228.72789001464844,79.69800567626953,239.48927307128906,5,3
26,26,"['Illustrated,', 'FATHER']",NP,0,-1,1,21.25279998779297,238.8676300048828,39.92022705078125,251.82073974609375,5,3
27,27,"['By', 'THE']",NP,0,-1,1,21.25279998779297,238.8676300048828,39.92022705078125,251.82073974609375,5,3
28,28,"['By', 'IN']",NP,0,-1,1,21.25279998779297,256.97113037109375,27.284000396728516,269.5260925292969,5,3
29,29,"['By', 'A']",NP,0,-1,1,21.25279998779297,256.97113037109375,27.284000396728516,269.5260925292969,5,3
30,30,"['By', 'BIJOU']",NP,0,-1,1,116.45960235595703,274.9584655761719,117.75199890136719,277.6488342285156,5,3
31,31,"['B', 'i']",NP,0,-1,1,116.45960235595703,274.9584655761719,117.75199890136719,277.6488342285156,5,3
32,32,"['Illustrated.', 'A']",NP,0,-1,1,21.6835994720459,287.3418273925781,44.51599884033203,299.22418212890625,5,3
33,33,"['By', 'SOAP']",NP,0,-1,1,21.6835994720459,287.3418273925781,44.51599884033203,299.22418212890625,5,3
34,34,"['By', 'F.TENNYSON']",NP,0,-1,1,46.3828010559082,323.9757080078125,59.59371566772461,333.1426086425781,5,3
35,35,"['PUBLISHER,', 'NEW']",NP,0,-1,1,46.3828010559082,323.9757080078125,59.59371566772461,333.1426086425781,5,3
36,36,"['LONDON.', 'Copyrighted']",NP,0,-1,1,86.5907974243164,347.1921691894531,91.7603988647461,352.5728454589844,5,3
37,37,"['United', 'Great']",NP,0,-1,1,102.09960174560547,355.01025390625,107.55697631835938,360.6904602050781,5,3
38,38,"['F.', 'All']",NP,0,-1,1,158.24720764160156,37.25190734863281,189.1200714111328,58.67423629760742,6,3
39,39,"['Britain', 'MAW']",NP,0,-1,1,158.24720764160156,37.25190734863281,189.1200714111328,58.67423629760742,6,3
40,40,"['THE', 'DEDF7ATED']",NP,0,-1,1,84.0060043334961,206.82078552246094,94.63297271728516,217.88169860839844,6,3
41,41,"['TO', 'MY']",NP,0,-1,1,84.0060043334961,206.82078552246094,94.63297271728516,217.88169860839844,6,3
42,42,"['540GGG', 'CONTENTS.']",NP,0,-1,1,21.827199935913086,131.64437866210938,37.90982437133789,142.80393981933594,8,3
43,43,"['MM', 'THE']",NP,0,-1,1,21.827199935913086,131.64437866210938,37.90982437133789,142.80393981933594,8,3
44,44,"['9', 'THE']",NP,0,-1,1,21.970800399780273,159.1455841064453,37.91126251220703,170.2064971923828,8,3
45,45,"['57', 'THE']",NP,0,-1,1,21.970800399780273,159.1455841064453,37.91126251220703,170.2064971923828,8,3
46,46,"['85', 'THE']",NP,0,-1,1,22.11440086364746,186.50453186035156,37.91011047363281,197.46499633789062,8,3
47,47,"['99', 'THE']",NP,0,-1,1,22.11440086364746,186.50453186035156,37.91011047363281,197.46499633789062,8,3
48,48,"['131', 'THE']",NP,0,-1,1,191.56240844726562,205.403076171875,202.47544860839844,212.9755096435547,8,3
49,49,"['PARADISE', '155']",NP,0,-1,1,191.56240844726562,205.403076171875,202.47544860839844,212.9755096435547,8,3
50,50,"['THE', '167']",NP,0,-1,1,191.849609375,232.39492797851562,203.04954528808594,240.1664276123047,8,3
