word,noun,verb,adjective,adverb,auxiliary,compositions,conjunctions,determiners,existential_determiners,modifiers,negative_quantifiers,prepositions,universal_determiners,possessive_determiners,pronouns,frequency,review_count,avg_sentiment,length,confident,resolved_word
the,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2498,928,-0.09762550040032045,3,1,the
and,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1246,795,-0.01665922953451048,3,1,and
of,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1227,774,-0.02882339038304799,2,1,of
in,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,750,597,-0.007265199999999963,2,1,in
a,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,557,439,-0.05938061041292645,1,1,a
to,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,542,429,0.04314114391143913,2,1,to
cas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372,288,0.05070887096774199,3,1,cas
crispr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316,267,0.013087025316455688,6,0,crisp
for,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,256,242,0.0024218750000000156,3,1,for
is,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,240,205,-0.03613583333333332,2,1,is
us,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,237,204,-0.13599746835443036,2,1,us
by,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,200,187,-0.0602245,2,1,by
ussr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,178,-0.18369400000000013,4,0,ssr
war,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,198,147,-0.6612328282828284,3,1,war
with,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,186,172,-0.031106451612903235,4,1,with
on,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,181,164,-0.005883977900552469,2,1,on
as,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,152,0.02102191011235956,2,1,as
et,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,177,177,-0.0007779661016949149,2,1,et
al,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,176,-0.013437288135593218,2,0,al
gene,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,130,0.13869194630872486,4,1,gene
editing,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,133,0.16122013888888898,7,1,editing
countries,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,116,-0.004367647058823529,9,1,countries
s,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,117,0.00042330827067668935,1,1,s
genome,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,119,0.09038046874999997,6,1,genome
that,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,126,120,0.05993968253968251,4,1,that
c,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,91,0.030489166666666713,1,1,c
an,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,119,108,-0.01381008403361345,2,1,an
was,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,118,104,-0.1604279661016949,3,1,was
have,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,114,103,0.1577754385964912,4,1,have
j,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,106,0.010830357142857143,1,1,j
has,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,111,100,0.011990090090090083,3,1,has
cold,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,110,96,-0.6406027272727276,4,1,cold
between,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,105,88,-0.2351742857142857,7,1,between
this,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,105,102,-0.06751714285714285,4,1,this
cell,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,94,-0.023138461538461517,4,1,cell
system,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,98,-0.017336538461538445,6,1,system
which,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,102,100,-0.04515588235294112,5,1,which
are,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,101,95,0.01682376237623764,3,1,are
international,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,100,83,-0.10964799999999998,13,1,international
world,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,99,90,-0.1758525252525252,5,1,world
y,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,75,-0.018559574468085104,1,1,y
be,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,93,84,0.05169354838709676,2,1,be
it,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,92,85,-0.04512608695652173,2,1,it
b,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,66,-0.11166813186813178,1,1,b
human,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,90,84,0.02535333333333333,5,1,human
military,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,88,74,0.0017079545454545659,8,1,military
t,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,66,-0.08949080459770113,1,1,t
economic,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,84,66,-0.13250357142857144,8,1,economic
cells,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,62,-0.15801325301204816,5,1,cells
systems,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,74,0.08469024390243904,7,1,systems
x,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,63,-0.20622839506172838,1,1,x
can,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,78,76,0.003764102564102565,3,1,can
class,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,60,0.06283589743589744,5,1,class
two,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,75,74,-0.17288666666666663,3,1,two
e,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,62,0.06330133333333336,1,1,e
target,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,75,60,0.029676000000000004,6,1,target
from,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,75,71,-0.09583866666666664,4,1,from
f,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,61,-0.1136459459459459,1,1,f
m,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,68,-0.017919444444444446,1,1,m
its,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,70,65,0.11786857142857143,3,1,its
other,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,68,62,-0.007483823529411765,5,1,other
their,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,66,53,0.12571060606060605,5,1,their
overlapping,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,66,53,-0.015260606060606056,11,1,overlapping
been,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,66,61,0.013124242424242422,4,1,been
data,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,54,0.11310307692307692,4,1,data
at,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,65,61,-0.01255846153846155,2,1,at
research,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,63,59,0.1561396825396825,8,1,research
or,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,62,54,-0.06079032258064515,2,1,or
k,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,44,-0.08279032258064517,1,1,k
also,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,62,62,-0.10790483870967739,4,1,also
d,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,54,0.0065533333333333355,1,1,d
development,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,57,0.15981166666666666,11,1,development
after,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,57,54,-0.22193684210526313,5,1,after
l,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,48,0.20737321428571429,1,1,l
model,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,55,48,0.04362909090909091,5,1,model
z,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,52,-0.16206727272727275,1,1,z
eastern,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,55,48,-0.04489090909090908,7,1,eastern
soviet,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,54,51,-0.0768,6,1,soviet
therapy,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,49,0.16680370370370376,7,1,therapy
