word,noun,verb,adjective,adverb,auxiliary,compositions,conjunctions,determiners,existential_determiners,modifiers,negative_quantifiers,prepositions,universal_determiners,possessive_determiners,pronouns,frequency,review_count,avg_sentiment,length,confident,resolved_word,relative_frequency,double_log_freq,participation_score
crispr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316,267,0.0130870253164556,6,0,crisp,0.0091980788822587,0.7267989125836488,0.0
ussr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,178,-0.1836940000000001,4,0,ssr,0.005821568912822,0.7149977972429479,0.0
al,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,176,-0.0134372881355932,2,0,al,0.0051520884878474,0.7116286024196924,0.0
classi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,38,0.1016,6,0,class,0.0012807451608208,0.664699894291389,0.0
speci,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,36,0.0098111111111111,5,0,spec,0.0010478824043079,0.6562743313773061,0.0
zhang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,30,-0.040635294117647,5,0,hang,0.0009896667151797,0.6537774330630485,0.0
during,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,33,-0.4455735294117646,6,0,curing,0.0009896667151797,0.6537774330630485,0.0
ii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,26,-0.4142259259259259,2,0,ii,0.0007859118032309,0.6432363202993117,0.0
cient,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,24,0.397136,5,0,cent,0.0007276961141027,0.6395392040666789,0.0
sgrna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,21,0.0552333333333333,5,0,srna,0.0006985882695386,0.6375399955160673,0.0
ed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,22,-0.0194999999999999,2,0,ed,0.0006694804249745,0.6354268000766977,0.0
humanities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,0.0,10,0,huminites,0.0004948333575898,0.6195156162140293,0.0
nato,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,16,-0.1493058823529411,4,0,nat,0.0004948333575898,0.6195156162140293,0.0
