word,frequency,review_count,avg_sentiment
ussr,200,178,-0.18369400000000013
during,31,30,-0.4844419354838708
ii,19,18,-0.6337052631578948
nato,17,16,-0.14930588235294115
humanities,17,17,0.0
th,15,15,-0.09649333333333332
sino,13,10,-0.0725
ussr's,12,11,-0.32424166666666665
https,11,11,0.04003636363636364
etc,10,10,0.06914000000000001
org,9,9,0.0
people's,8,8,0.027474999999999986
gorbachev's,7,7,0.03325714285714286
contradictions,7,7,-0.7316428571428572
emphasizes,7,7,-0.02768571428571429
among,6,6,0.4734333333333334
differences,6,6,0.06465
doi,6,6,0.0
hegemonism,5,4,-0.24192
cpsu,5,4,-0.14734
tente,4,4,-0.156075
china's,4,4,-0.0077999999999999806
inf,4,3,-0.2619
delivered,4,4,0.03589999999999999
km,4,2,-0.05295
multi,4,4,-0.518725
www,3,3,0.0
com,3,3,0.0
cnki,3,3,0.0
radars,3,3,-0.1953
baidu,3,3,0.0
ensure,3,3,0.6020333333333333
triggered,3,3,-0.6902666666666667
alliances,3,3,-0.06796666666666666
products,3,3,0.03150000000000001
agreements,3,3,0.458
strategies,3,3,-0.5906333333333333
turmoil,3,3,-0.11416666666666664
worlds,3,3,0.14376666666666668
administration's,3,3,0.41850000000000004
existence,3,3,-0.7703333333333333
nixon's,3,3,-0.1589
tonkin,3,1,-0.5423
theories,3,2,-0.8652333333333333
advocated,3,3,-0.07333333333333335
uk,3,3,-0.10606666666666666
implications,3,3,-0.5216666666666666
