word,pos
I,pronoun
you,pronoun
he,pronoun
she,pronoun
it,pronoun
we,pronoun
they,pronoun
me,pronoun
him,pronoun
her,pronoun
us,pronoun
them,pronoun
myself,pronoun
yourself,pronoun
yourselves,pronoun
herself,pronoun
himself,pronoun
itself,pronoun
ourselves,pronoun
themselves,pronoun
themself,pronoun
mine,pronoun
yours,pronoun
his,pronoun
hers,pronoun
ours,pronoun
theirs,pronoun
this,pronoun
that,pronoun
these,pronoun
those,pronoun
who,pronoun
whom,pronoun
whose,pronoun
which,pronoun
what,pronoun
someone,pronoun
somebody,pronoun
something,pronoun
anyone,pronoun
anybody,pronoun
anything,pronoun
no one,pronoun
nobody,pronoun
everyone,pronoun
everybody,pronoun
everything,pronoun
each,pronoun
either,pronoun
neither,pronoun
another,pronoun
other,pronoun
some,pronoun
many,pronoun
few,pronoun
all,pronoun
both,pronoun
none,pronoun
several,pronoun
any,pronoun
one,pronoun
each other,pronoun
one another,pronoun
