word,noun,verb,adjective,adverb,auxiliary,compositions,conjunctions,determiners,existential_determiners,modifiers,negative_quantifiers,prepositions,universal_determiners,possessive_determiners,pronouns,frequency,review_count,avg_sentiment
it,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,51344,0,0.355254074478017
i,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,44900,0,0.3787732293986453
and,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,41561,0,0.42006191381341756
the,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,39962,0,0.3331950102597373
to,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,35991,0,0.3440999166458247
is,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,28506,0,0.3874623552936183
a,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,25851,0,0.388766028393486
this,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,19130,0,0.3737199059069626
for,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18860,0,0.43750033934252935
app,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17787,0,0.40190679147692887
you,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15416,0,0.4098807213284953
of,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14753,0,0.34008086490883355
in,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,13455,0,0.40674361204013454
my,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,13320,0,0.3962611636636651
s,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13274,0,0.3984836522525238
very,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,12977,0,0.5351493642598446
ai,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11799,0,0.442566556487843
but,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,11489,0,0.2978990077465394
me,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10971,0,0.42631095615714387
that,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,10715,0,0.3499167242183839
t,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10666,0,0.12994638102381334
with,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10068,0,0.44216208780293575
good,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,9187,0,0.5903677587895921
not,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,9150,0,0.1134438688524591
can,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,8510,0,0.3593637132784939
so,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8329,0,0.46243096410133033
like,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,8207,0,0.5480208358718127
have,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,7623,0,0.3522120687393381
on,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,6764,0,0.2910604819633348
use,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6263,0,0.3912757145138096
best,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,6066,0,0.774036679854936
or,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5382,0,0.31986871051653604
just,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5188,0,0.3188871048573632
be,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,5154,0,0.39036148622429173
all,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,4978,0,0.40816747689835264
as,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4970,0,0.3743319919517087
are,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4874,0,0.3247442552318406
more,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4747,0,0.4829303770802599
gemini,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4658,0,0.38149551309574853
chatgpt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4636,0,0.43550312769628663
if,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4551,0,0.3227082838936487
