word,noun,verb,adjective,adverb,auxiliary,compositions,conjunctions,determiners,existential_determiners,modifiers,negative_quantifiers,prepositions,universal_determiners,possessive_determiners,pronouns,frequency,review_count,avg_sentiment,length,confident,resolved_word,relative_frequency,double_log_freq,participation_score
the,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2498,928,-0.0976255004003204,3,1,the,0.07271139572114685,0.7682891220542445,0.13333333333333333
and,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1246,795,-0.0166592295345104,3,1,and,0.0362683743268811,0.7560794223040895,0.13333333333333333
of,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1227,774,-0.0288233903830479,2,1,of,0.035715325280163,0.755792517598617,0.06666666666666667
in,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,750,597,-0.0072651999999999,2,1,in,0.02183088342308252,0.7461568453570039,0.26666666666666666
a,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,557,439,-0.0593806104129264,1,1,a,0.016213069422209285,0.7398764269452994,0.2
to,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,542,429,0.0431411439114391,2,1,to,0.015776451753747634,0.7392812723952714,0.06666666666666667
cas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372,288,0.0507088709677419,3,1,cas,0.01082811817784893,0.730725245460503,0.0
crispr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316,267,0.0130870253164556,6,0,crisp,0.009198078882258768,0.7267989125836488,0.0
for,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,256,242,0.002421875,3,1,for,0.007451608208412167,0.7215186465472546,0.13333333333333333
is,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,240,205,-0.0361358333333333,2,1,is,0.006985882695386407,0.7198494964438698,0.13333333333333333
us,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,237,204,-0.1359974683544303,2,1,us,0.006898559161694077,0.7195212987455549,0.06666666666666667
by,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,200,187,-0.0602245,2,1,by,0.0058215689128220055,0.7149977972429479,0.2
ussr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,178,-0.1836940000000001,4,0,ssr,0.0058215689128220055,0.7149977972429479,0.0
war,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,198,147,-0.6612328282828284,3,1,war,0.005763353223693785,0.7147242964149523,0.26666666666666666
with,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,186,172,-0.0311064516129032,4,1,with,0.005414059088924465,0.71300823543923,0.13333333333333333
on,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,181,164,-0.0058839779005524,2,1,on,0.005268519866103915,0.7122522622535471,0.2
as,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,152,0.0210219101123595,2,1,as,0.005181196332411585,0.7117861441526868,0.06666666666666667
et,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,177,177,-0.0007779661016949,2,1,et,0.005152088487847475,0.7116286024196924,0.06666666666666667
