word,pos
able,adjective
unable,adjective
abaxial,adjective
adaxial,adjective
acroscopic,adjective
basiscopic,adjective
abducent,adjective
adducent,adjective
nascent,adjective
emergent,adjective
dissilient,adjective
parturient,adjective
dying,adjective
moribund,adjective
last,adjective
abridged,adjective
cut,adjective
half-length,adjective
potted,adjective
unabridged,adjective
full-length,adjective
absolute,adjective
direct,adjective
implicit,adjective
infinite,adjective
living,adjective
relative,adjective
relational,adjective
absorbent,adjective
absorbefacient,adjective
assimilating,adjective
hygroscopic,adjective
receptive,adjective
shock-absorbent,adjective
spongy,adjective
thirsty,adjective
nonabsorbent,adjective
repellent,adjective
adsorbent,adjective
chemisorptive,adjective
nonadsorbent,adjective
absorbable,adjective
adsorbable,adjective
abstemious,adjective
abstinent,adjective
ascetic,adjective
gluttonous,adjective
crapulous,adjective
crapulent,adjective
edacious,adjective
greedy,adjective
hoggish,adjective
overgreedy,adjective
abstract,adjective
conceptional,adjective
conceptual,adjective
ideal,adjective
ideological,adjective
concrete,adjective
objective,adjective
real,adjective
abundant,adjective
abounding,adjective
ample,adjective
copious,adjective
easy,adjective
exuberant,adjective
thick,adjective
long,adjective
overabundant,adjective
plentiful,adjective
rampant,adjective
rank,adjective
superabundant,adjective
teeming,adjective
torrential,adjective
verdant,adjective
scarce,adjective
rare,adjective
tight,adjective
abused,adjective
battered,adjective
unabused,adjective
acceptable,adjective
bankable,adjective
unexceptionable,adjective
unobjectionable,adjective
unacceptable,adjective
exceptionable,adjective
accessible,adjective
approachable,adjective
come-at-able,adjective
handy,adjective
inaccessible,adjective
outback(a),adjective
pathless,adjective
unapproachable,adjective
un-come-at-able,adjective
accommodating,adjective
complaisant,adjective
unaccommodating,adjective
disobliging,adjective
accurate,adjective
close,adjective
dead-on(a),adjective
high-fidelity,adjective
surgical,adjective
straight,adjective
true,adjective
veracious,adjective
inaccurate,adjective
away,adjective
faulty,adjective
unfaithful,adjective
wide,adjective
accustomed,adjective
used to(p),adjective
unaccustomed,adjective
new,adjective
unused,adjective
acidic,adjective
acid,adjective
acid-forming,adjective
alkaline,adjective
alkalescent,adjective
basic,adjective
base-forming,adjective
saltlike,adjective
amphoteric,adjective
acid-loving,adjective
acidophilic,adjective
alkaline-loving,adjective
acknowledged,adjective
accepted,adjective
self-confessed(a),adjective
assumptive,adjective
declarable,adjective
given,adjective
putative(a),adjective
unacknowledged,adjective
unappreciated,adjective
unavowed,adjective
unconfessed,adjective
unrecognized,adjective
acquisitive,adjective
accumulative,adjective
avaricious,adjective
possessive,adjective
plundering,adjective
predaceous,adjective
rapacious,adjective
sordid,adjective
unacquisitive,adjective
acropetal,adjective
basipetal,adjective
active,adjective
about(p),adjective
acrobatic,adjective
agile,adjective
hot,adjective
hyperactive,adjective
on the go(p),adjective
sporty,adjective
inactive,adjective
desk-bound,adjective
abeyant,adjective
hypoactive,adjective
inert,adjective
sedentary,adjective
active,adjective
activated,adjective
inactive,adjective
off,adjective
retired,adjective
active,adjective
brisk,adjective
bustling,adjective
busy,adjective
going(a),adjective
open,adjective
springy,adjective
inactive,adjective
dark,adjective
dead,adjective
dull,adjective
idle,adjective
strikebound,adjective
active,adjective
progressive,adjective
inactive,adjective
dead-end,adjective
flat,adjective
indolent,adjective
latent,adjective
quiescent,adjective
active,adjective
activist,adjective
hands-on,adjective
proactive,adjective
passive,adjective
hands-off,adjective
resistless,adjective
active,adjective
eruptive,adjective
dormant,adjective
quiescent,adjective
extinct,adjective
dead,adjective
active,adjective
alive,adjective
active,adjective
stative,adjective
active,adjective
passive,adjective
active,adjective
activated,adjective
counteractive,adjective
surface-active,adjective
inactive,adjective
quiescent,adjective
active,adjective
quiet,adjective
actual,adjective
effective,adjective
potential,adjective
latent,adjective
acute,adjective
subacute,adjective
chronic,adjective
degenerative,adjective
virulent,adjective
highly infective,adjective
deadly,adjective
avirulent,adjective
adaptive,adjective
accommodative,adjective
adaptational,adjective
adjustive,adjective
maladaptive,adjective
dysfunctional,adjective
maladjustive,adjective
addicted,adjective
alcoholic,adjective
dependent,adjective
unaddicted,adjective
clean,adjective
addictive,adjective
nonaddictive,adjective
additive,adjective
accumulative,adjective
addable,adjective
extra,adjective
complemental,adjective
incremental,adjective
intercalary,adjective
summational,adjective
supplementary,adjective
subtractive,adjective
ablative,adjective
reductive,adjective
addressed,adjective
self-addressed,adjective
unaddressed,adjective
adequate,adjective
adequate to(p),adjective
competent,adjective
inadequate,adjective
deficient,adjective
incapable,adjective
short-handed,adjective
adhesive,adjective
adherent,adjective
agglutinate,adjective
bondable,adjective
coherent,adjective
cohesive,adjective
gluey,adjective
gooey,adjective
gum-like,adjective
gummed,adjective
pitchy,adjective
self-sealing,adjective
stick-on,adjective
sticky,adjective
nonadhesive,adjective
nonglutinous,adjective
nonresinous,adjective
ungummed,adjective
adjective,adjective
substantive,adjective
adoptable,adjective
unadoptable,adjective
adorned,adjective
beady,adjective
bedaubed,adjective
bespectacled,adjective
brocaded,adjective
buttony,adjective
carbuncled,adjective
champleve,adjective
clinquant,adjective
crested,adjective
crested,adjective
crested,adjective
crocketed,adjective
feathery,adjective
frilled,adjective
fringed,adjective
gilt-edged,adjective
inflamed,adjective
inlaid,adjective
inwrought,adjective
tessellated,adjective
mounted,adjective
paneled,adjective
studded,adjective
tapestried,adjective
tasseled,adjective
tricked-out,adjective
tufted,adjective
unadorned,adjective
plain,adjective
untufted,adjective
cholinergic,adjective
anticholinergic,adjective
adroit,adjective
clean,adjective
clever,adjective
coordinated,adjective
deft,adjective
handy,adjective
light-fingered,adjective
quick-witted,adjective
maladroit,adjective
bumbling,adjective
inept,adjective
uncoordinated,adjective
unmechanical,adjective
advantageous,adjective
beneficial,adjective
plus,adjective
discriminatory,adjective
disadvantageous,adjective
minus,adjective
adventurous,adjective
audacious,adjective
sporting,adjective
swaggering,adjective
unadventurous,adjective
safe,adjective
advisable,adjective
better(p),adjective
well(p),adjective
inadvisable,adjective
well-advised,adjective
considered,adjective
ill-advised,adjective
aerobic,adjective
aerobiotic,adjective
oxidative,adjective
anaerobic,adjective
aerobic,adjective
