word,pos
entity,noun
physical entity,noun
abstraction,noun
thing,noun
object,noun
whole,noun
congener,noun
living thing,noun
organism,noun
benthos,noun
dwarf,noun
heterotroph,noun
parent,noun
life,noun
biont,noun
cell,noun
causal agent,noun
person,noun
animal,noun
plant,noun
native,noun
natural object,noun
substance,noun
substance,noun
matter,noun
food,noun
nutrient,noun
artifact,noun
article,noun
psychological feature,noun
cognition,noun
motivation,noun
attribute,noun
state,noun
feeling,noun
location,noun
shape,noun
time,noun
space,noun
absolute space,noun
phase space,noun
event,noun
process,noun
act,noun
group,noun
relation,noun
possession,noun
social relation,noun
communication,noun
measure,noun
phenomenon,noun
thing,noun
kindness,noun
abdominoplasty,noun
abort,noun
accomplishment,noun
agon,noun
alienation,noun
application,noun
beachhead,noun
cakewalk,noun
feat,noun
masterpiece,noun
masterstroke,noun
credit,noun
action,noun
res gestae,noun
course,noun
blind alley,noun
collision course,noun
interaction,noun
interplay,noun
contact,noun
brush,noun
eye contact,noun
fetch,noun
placement,noun
interchange,noun
reciprocity,noun
cross-fertilization,noun
dealings,noun
relation,noun
playing,noun
play,noun
boondoggle,noun
bowling,noun
acquiring,noun
causing,noun
delivery,noun
departure,noun
derring-do,noun
discovery,noun
disposal,noun
hit,noun
implementation,noun
egress,noun
equalization,noun
exhumation,noun
mitzvah,noun
propulsion,noun
rally,noun
recovery,noun
running away,noun
stunt,noun
touch,noun
tour de force,noun
performance,noun
overachievement,noun
underachievement,noun
record,noun
fait accompli,noun
going,noun
arrival,noun
arrival,noun
attainment,noun
advent,noun
entrance,noun
incursion,noun
intrusion,noun
irruption,noun
entree,noun
entail,noun
registration,noun
appearance,noun
apparition,noun
emergence,noun
reappearance,noun
comeback,noun
return,noun
repatriation,noun
penetration,noun
interpenetration,noun
market penetration,noun
anchorage,noun
docking,noun
landing,noun
landing,noun
forced landing,noun
breaking away,noun
farewell,noun
french leave,noun
valediction,noun
disappearance,noun
vanishing,noun
withdrawal,noun
effacement,noun
retreat,noun
retirement,noun
evacuation,noun
medical evacuation,noun
decampment,noun
desertion,noun
abscondment,noun
absence without leave,noun
deviationism,noun
emigration,noun
immigration,noun
aliyah,noun
pullback,noun
retreat,noun
standdown,noun
disengagement,noun
receding,noun
sailing,noun
amphibious landing,noun
debarkation,noun
going ashore,noun
boarding,noun
exit,noun
elopement,noun
escape,noun
evasion,noun
slip,noun
maneuver,noun
clinch,noun
dodge,noun
break,noun
getaway,noun
exodus,noun
hegira,noun
skedaddle,noun
underground railroad,noun
close call,noun
surfacing,noun
dispatch,noun
reshipment,noun
consummation,noun
consummation,noun
realization,noun
orgasm,noun
male orgasm,noun
fulfillment,noun
self-fulfillment,noun
attainment,noun
record,noun
track record,noun
world record,noun
success,noun
winning,noun
blockbuster,noun
sleeper,noun
hit,noun
bell ringer,noun
ennoblement,noun
conquest,noun
coup,noun
flying colors,noun
passing,noun
credit,noun
semester hour,noun
nonaccomplishment,noun
failure,noun
failure,noun
failing,noun
naught,noun
cut,noun
default,noun
loss,noun
capitulation,noun
frustration,noun
overturn,noun
backsliding,noun
recidivism,noun
disappointment,noun
breach,noun
copout,noun
breach of contract,noun
anticipatory breach,noun
breach of duty,noun
breach of the covenant of warranty,noun
breach of promise,noun
breach of trust,noun
breach of trust with fraudulent intent,noun
breach of warranty,noun
leaning,noun
material breach,noun
motivation,noun
partial breach,noun
mistake,noun
double fault,noun
footfault,noun
bobble,noun
error,noun
blot,noun
confusion,noun
incursion,noun
miscalculation,noun
backfire,noun
rounding,noun
truncation error,noun
distortion,noun
slip,noun
freudian slip,noun
offside,noun
oversight,noun
omission,noun
blunder,noun
snafu,noun
spectacle,noun
ballup,noun
bull,noun
fumble,noun
fluff,noun
faux pas,noun
howler,noun
clanger,noun
trip,noun
spill,noun
pratfall,noun
wipeout,noun
acquisition,noun
obtainment,noun
catching,noun
incurring,noun
moneymaking,noun
annexation,noun
pork-barreling,noun
purchase,noun
redemption,noun
trading,noun
bond trading,noun
program trading,noun
short sale,noun
short covering,noun
insider trading,noun
naked option,noun
covered option,noun
call option,noun
put option,noun
straddle,noun
incentive option,noun
buying,noun
shopping,noun
marketing,noun
mail-order buying,noun
viatication,noun
acceptance,noun
succession,noun
assumption,noun
assumption,noun
position,noun
inheritance,noun
procurement,noun
appropriation,noun
borrowing,noun
naturalization,noun
misappropriation,noun
preemption,noun
seizure,noun
usurpation,noun
confiscation,noun
distress,noun
expropriation,noun
impoundment,noun
drug bust,noun
impress,noun
occupation,noun
preoccupancy,noun
sequestration,noun
grant,noun
award,noun
addiction,noun
block grant,noun
grant-in-aid,noun
capture,noun
apprehension,noun
conquest,noun
enslavement,noun
restitution,noun
clawback,noun
repossession,noun
foreclosure,noun
reception,noun
appointment,noun
comb-out,noun
giving,noun
abandonment,noun
discard,noun
staging,noun
discard,noun
mine disposal,noun
minesweeping,noun
sewage disposal,noun
bait and switch,noun
private treaty,noun
auction,noun
bootlegging,noun
bootlegging,noun
capitalization,noun
overcapitalization,noun
reclamation,noun
rescue,noun
lifesaving,noun
redemption,noun
absolution,noun
indulgence,noun
conversion,noun
proselytism,noun
expiation,noun
reparation,noun
liberation,noun
jail delivery,noun
reclamation,noun
salvage,noun
salvage,noun
salvation,noun
search and rescue mission,noun
ransom,noun
recapture,noun
recapture,noun
invocation,noun
instrumentation,noun
performance,noun
specific performance,noun
linguistic performance,noun
mechanism,noun
service,noun
curb service,noun
self-service,noun
valet parking,noun
dramatic production,noun
encore,noun
extemporization,noun
juggle,noun
magic trick,noun
musical performance,noun
one-night stand,noun
rendition,noun
reinterpretation,noun
spin,noun
playing,noun
bowing,noun
spiccato,noun
piping,noun
stopping,noun
double stopping,noun
transposition,noun
jam session,noun
automation,noun
computerization,noun
motorization,noun
launching,noun
launching,noun
rocket firing,noun
blastoff,noun
moon shot,noun
drive,noun
firewall,noun
impulse,noun
roll,noun
throw,noun
bowling,noun
fling,noun
heave,noun
hurl,noun
leaner,noun
pass,noun
pitch,noun
pitch,noun
ringer,noun
shy,noun
slinging,noun
throw-in,noun
balk,noun
ball,noun
beanball,noun
change-up,noun
curve,noun
duster,noun
fastball,noun
knuckleball,noun
overhand pitch,noun
passed ball,noun
screwball,noun
sinker,noun
slider,noun
spitball,noun
strike,noun
submarine ball,noun
wild pitch,noun
basketball shot,noun
bank shot,noun
dunk,noun
slam dunk,noun
finger-roll,noun
foul shot,noun
one-and-one,noun
hook shot,noun
jumper,noun
lay-up,noun
pivot shot,noun
set shot,noun
scoop shot,noun
tip in,noun
push,noun
depression,noun
click,noun
nudge,noun
press,noun
impression,noun
shove,noun
bundling,noun
jostle,noun
elbowing,noun
pull,noun
drag,noun
draw,noun
tow,noun
tug,noun
draft,noun
extirpation,noun
pluck,noun
traction,noun
lift,noun
expulsion,noun
defenestration,noun
accommodation reflex,noun
babinski,noun
belch,noun
belching,noun
blink,noun
blush,noun
coughing up,noun
spit,noun
vomit,noun
rumination,noun
hematemesis,noun
hyperemesis,noun
hyperemesis gravidarum,noun
jump,noun
header,noun
hop,noun
leap,noun
vault,noun
jumping up and down,noun
lob,noun
centering,noun
sending,noun
transmission,noun
forwarding,noun
referral,noun
remission,noun
mailing,noun
wheeling,noun
shooting,noun
shoot,noun
countershot,noun
discharge,noun
gun,noun
fire control,noun
gunfire,noun
enfilade,noun
snipe,noun
headshot,noun
skeet,noun
shellfire,noun
gunfight,noun
potshot,noun
contact,noun
rub,noun
scuff,noun
tap,noun
hit,noun
contusion,noun
crash,noun
impingement,noun
batting,noun
fielding,noun
catching,noun
golfing,noun
pitching,noun
base on balls,noun
best,noun
worst,noun
fair ball,noun
foul ball,noun
snick,noun
bunt,noun
fly,noun
blast,noun
pop fly,noun
grounder,noun
chop,noun
roller,noun
out,noun
force out,noun
putout,noun
strikeout,noun
whiff,noun
fielder's choice,noun
sacrifice,noun
sacrifice fly,noun
base hit,noun
daisy cutter,noun
header,noun
liner,noun
scorcher,noun
line-drive single,noun
line-drive double,noun
line-drive triple,noun
plunk,noun
homer,noun
solo homer,noun
single,noun
double,noun
triple,noun
backhander,noun
clip,noun
knock,noun
thwack,noun
smack,noun
smacker,noun
knockdown,noun
knockout,noun
technical knockout,noun
swat,noun
spank,noun
whip,noun
punch,noun
box,noun
dig,noun
counterpunch,noun
haymaker,noun
hook,noun
jab,noun
rabbit punch,noun
sucker punch,noun
roundhouse,noun
kick,noun
goal-kick,noun
goal-kick,noun
punt,noun
place kick,noun
free kick,noun
corner kick,noun
dropkick,noun
kiss,noun
kiss,noun
laying on,noun
smack,noun
smacker,noun
soul kiss,noun
catch,noun
fair catch,noun
interception,noun
reception,noun
rebound,noun
shoestring catch,noun
mesh,noun
handling,noun
fingering,noun
grope,noun
audit,noun
autopsy,noun
check-in,noun
check,noun
spot check,noun
checkup,noun
comparison,noun
fine-tooth comb,noun
follow-up,noun
going-over,noun
once-over,noun
ophthalmoscopy,noun
palpation,noun
ballottement,noun
tickle,noun
stroke,noun
caress,noun
tag,noun
joining,noun
hit,noun
interconnection,noun
intersection,noun
approximation,noun
concatenation,noun
convergence,noun
merging,noun
concourse,noun
encounter,noun
articulation,noun
junction,noun
fastening,noun
loosening,noun
tightening,noun
ligation,noun
tubal ligation,noun
bonding,noun
doweling,noun
grounding,noun
linkage,noun
tying,noun
untying,noun
welding,noun
butt welding,noun
spot welding,noun
flare,noun
texas leaguer,noun
flash welding,noun
lick,noun
grazing,noun
tracing,noun
detection,noun
self-discovery,noun
breakthrough,noun
determination,noun
rediscovery,noun
designation,noun
bertillon system,noun
fingerprinting,noun
genetic profiling,noun
diagnosis,noun
blood typing,noun
medical diagnosis,noun
prenatal diagnosis,noun
differential diagnosis,noun
prognosis,noun
resolution,noun
validation,noun
authentication,noun
documentation,noun
monetization,noun
probate,noun
demonetization,noun
falsification,noun
localization,noun
echolocation,noun
predetermination,noun
rectification,noun
redetermination,noun
trigger,noun
fomentation,noun
compulsion,noun
influence,noun
cross-pollination,noun
exposure,noun
overexposure,noun
underexposure,noun
impingement,noun
manipulation,noun
mind game,noun
autosuggestion,noun
hypnotism,noun
inducement,noun
corruption,noun
enticement,noun
blandishment,noun
ingratiation,noun
leading astray,noun
seduction,noun
seduction,noun
sexual conquest,noun
cuckoldry,noun
solicitation,noun
choice,noun
casting,noun
