word,pos
able,adj
unable,adj
abaxial,adj
adaxial,adj
acroscopic,adj
basiscopic,adj
abducent,adj
adducent,adj
nascent,adj
emergent,adj
dissilient,adj
parturient,adj
dying,adj
moribund,adj
last,adj
abridged,adj
cut,adj
half-length,adj
potted,adj
unabridged,adj
full-length,adj
absolute,adj
direct,adj
implicit,adj
infinite,adj
living,adj
relative,adj
relational,adj
absorbent,adj
absorbefacient,adj
assimilating,adj
hygroscopic,adj
receptive,adj
shock-absorbent,adj
spongy,adj
thirsty,adj
nonabsorbent,adj
repellent,adj
adsorbent,adj
chemisorptive,adj
nonadsorbent,adj
absorbable,adj
adsorbable,adj
abstemious,adj
abstinent,adj
ascetic,adj
gluttonous,adj
crapulous,adj
crapulent,adj
edacious,adj
greedy,adj
hoggish,adj
overgreedy,adj
abstract,adj
conceptional,adj
conceptual,adj
ideal,adj
ideological,adj
concrete,adj
objective,adj
real,adj
abundant,adj
abounding,adj
ample,adj
copious,adj
easy,adj
exuberant,adj
thick,adj
long,adj
overabundant,adj
plentiful,adj
rampant,adj
rank,adj
superabundant,adj
teeming,adj
torrential,adj
verdant,adj
scarce,adj
rare,adj
tight,adj
abused,adj
battered,adj
unabused,adj
acceptable,adj
bankable,adj
unexceptionable,adj
unobjectionable,adj
unacceptable,adj
exceptionable,adj
accessible,adj
approachable,adj
come-at-able,adj
handy,adj
inaccessible,adj
outback(a),adj
pathless,adj
unapproachable,adj
un-come-at-able,adj
accommodating,adj
complaisant,adj
unaccommodating,adj
disobliging,adj
accurate,adj
close,adj
dead-on(a),adj
high-fidelity,adj
surgical,adj
straight,adj
true,adj
veracious,adj
inaccurate,adj
away,adj
faulty,adj
unfaithful,adj
wide,adj
accustomed,adj
used to(p),adj
unaccustomed,adj
new,adj
unused,adj
acidic,adj
acid,adj
acid-forming,adj
alkaline,adj
alkalescent,adj
basic,adj
base-forming,adj
saltlike,adj
amphoteric,adj
acid-loving,adj
acidophilic,adj
alkaline-loving,adj
acknowledged,adj
accepted,adj
self-confessed(a),adj
assumptive,adj
declarable,adj
given,adj
putative(a),adj
unacknowledged,adj
unappreciated,adj
unavowed,adj
unconfessed,adj
unrecognized,adj
acquisitive,adj
accumulative,adj
avaricious,adj
possessive,adj
plundering,adj
predaceous,adj
rapacious,adj
sordid,adj
unacquisitive,adj
acropetal,adj
basipetal,adj
active,adj
about(p),adj
acrobatic,adj
agile,adj
hot,adj
hyperactive,adj
on the go(p),adj
sporty,adj
inactive,adj
desk-bound,adj
abeyant,adj
hypoactive,adj
inert,adj
sedentary,adj
activated,adj
off,adj
retired,adj
brisk,adj
bustling,adj
busy,adj
going(a),adj
open,adj
springy,adj
dark,adj
dead,adj
dull,adj
idle,adj
strikebound,adj
progressive,adj
dead-end,adj
flat,adj
indolent,adj
latent,adj
quiescent,adj
activist,adj
hands-on,adj
proactive,adj
passive,adj
hands-off,adj
resistless,adj
eruptive,adj
dormant,adj
extinct,adj
alive,adj
stative,adj
counteractive,adj
surface-active,adj
quiet,adj
actual,adj
effective,adj
potential,adj
acute,adj
subacute,adj
chronic,adj
degenerative,adj
virulent,adj
highly infective,adj
deadly,adj
avirulent,adj
adaptive,adj
accommodative,adj
adaptational,adj
adjustive,adj
maladaptive,adj
dysfunctional,adj
maladjustive,adj
addicted,adj
alcoholic,adj
dependent,adj
unaddicted,adj
clean,adj
addictive,adj
nonaddictive,adj
additive,adj
addable,adj
extra,adj
complemental,adj
incremental,adj
intercalary,adj
summational,adj
supplementary,adj
subtractive,adj
ablative,adj
reductive,adj
addressed,adj
self-addressed,adj
unaddressed,adj
adequate,adj
adequate to(p),adj
competent,adj
inadequate,adj
deficient,adj
incapable,adj
short-handed,adj
adhesive,adj
adherent,adj
agglutinate,adj
bondable,adj
coherent,adj
cohesive,adj
gluey,adj
gooey,adj
gum-like,adj
gummed,adj
pitchy,adj
self-sealing,adj
stick-on,adj
sticky,adj
nonadhesive,adj
nonglutinous,adj
nonresinous,adj
ungummed,adj
substantive,adj
adoptable,adj
unadoptable,adj
adorned,adj
beady,adj
bedaubed,adj
bespectacled,adj
brocaded,adj
buttony,adj
carbuncled,adj
champleve,adj
clinquant,adj
crested,adj
crocketed,adj
feathery,adj
frilled,adj
fringed,adj
gilt-edged,adj
inflamed,adj
inlaid,adj
inwrought,adj
tessellated,adj
mounted,adj
paneled,adj
studded,adj
tapestried,adj
tasseled,adj
tricked-out,adj
tufted,adj
unadorned,adj
plain,adj
untufted,adj
cholinergic,adj
anticholinergic,adj
adroit,adj
clever,adj
coordinated,adj
deft,adj
light-fingered,adj
quick-witted,adj
maladroit,adj
bumbling,adj
inept,adj
uncoordinated,adj
unmechanical,adj
advantageous,adj
beneficial,adj
plus,adj
discriminatory,adj
disadvantageous,adj
minus,adj
adventurous,adj
audacious,adj
sporting,adj
swaggering,adj
unadventurous,adj
safe,adj
advisable,adj
better(p),adj
well(p),adj
inadvisable,adj
well-advised,adj
considered,adj
ill-advised,adj
aerobic,adj
aerobiotic,adj
oxidative,adj
anaerobic,adj
aesthetic,adj
artistic,adj
cosmetic,adj
painterly,adj
sensuous,adj
inaesthetic,adj
inartistic,adj
affected,adj
impressed(p),adj
smitten,adj
stage-struck,adj
subject,adj
taken,adj
wonder-struck,adj
unaffected,adj
immune,adj
superior(p),adj
unimpressed,adj
uninfluenced,adj
agonistic,adj
artificial,adj
constrained,adj
elocutionary,adj
mannered,adj
plummy,adj
lifelike,adj
unmannered,adj
unselfconscious,adj
unstilted,adj
affirmative,adj
assentient,adj
negative,adj
dissentient,adj
acceptive,adj
accepting,adj
rejective,adj
dismissive,adj
repudiative,adj
afloat(p),adj
adrift(p),adj
floating,adj
waterborne,adj
aground(p),adj
afraid(p),adj
acrophobic,adj
afeard(p),adj
aghast(p),adj
agoraphobic,adj
alarmed,adj
algophobic,adj
apprehensive,adj
hangdog,adj
claustrophobic,adj
fearful,adj
frightened,adj
horrified,adj
hunted,adj
hydrophobic,adj
mysophobic,adj
panicky,adj
numb,adj
shitless,adj
terror-stricken,adj
triskaidekaphobic,adj
unnerved,adj
white-lipped,adj
xenophobic,adj
unafraid(p),adj
unapprehensive,adj
unblinking,adj
unfrightened,adj
aggressive,adj
battleful,adj
competitive,adj
hard-hitting,adj
hostile,adj
in-your-face,adj
obstreperous,adj
predatory,adj
pugnacious,adj
scrappy,adj
truculent,adj
unaggressive,adj
low-pressure,adj
agitated,adj
aroused,adj
distraught,adj
jolted,adj
feverish,adj
frantic,adj
hysterical,adj
psychedelic,adj
wild-eyed,adj
unagitated,adj
churning,adj
rippled,adj
seething,adj
stirred,adj
nonturbulent,adj
unstirred,adj
agreeable,adj
disagreeable,adj
annoying,adj
harsh,adj
nerve-racking,adj
unsweet,adj
air-to-surface,adj
air-to-air,adj
surface-to-air,adj
alert,adj
argus-eyed,adj
fly,adj
heads-up,adj
lidless,adj
unalert,adj
algorithmic,adj
recursive,adj
heuristic,adj
