word,pos,source_base
abacinate,verb,abacinate
abacinated,verb,abacinate
abacinates,verb,abacinate
abacinating,verb,abacinate
abandon,verb,abandon
abandonned,verb,abandon
abandonning,verb,abandon
abandons,verb,abandon
abate,verb,abate
abated,verb,abate
abates,verb,abate
abating,verb,abate
abbreviate,verb,abbreviate
abbreviated,verb,abbreviate
abbreviates,verb,abbreviate
abbreviating,verb,abbreviate
abdicate,verb,abdicate
abdicated,verb,abdicate
abdicates,verb,abdicate
abdicating,verb,abdicate
abduct,verb,abduct
abducted,verb,abduct
abducting,verb,abduct
abducts,verb,abduct
aberrate,verb,aberrate
aberrated,verb,aberrate
aberrates,verb,aberrate
aberrating,verb,aberrate
abet,verb,abet
abets,verb,abet
abetted,verb,abet
abetting,verb,abet
abhor,verb,abhor
abhorred,verb,abhor
abhorring,verb,abhor
abhors,verb,abhor
abjure,verb,abjure
abjured,verb,abjure
abjures,verb,abjure
abjuring,verb,abjure
ablate,verb,ablate
ablated,verb,ablate
ablates,verb,ablate
ablating,verb,ablate
abnegate,verb,abnegate
abnegated,verb,abnegate
abnegates,verb,abnegate
abnegating,verb,abnegate
abolish,verb,abolish
abolished,verb,abolish
abolishes,verb,abolish
abolishing,verb,abolish
abort,verb,abort
aborted,verb,abort
aborting,verb,abort
aborts,verb,abort
abound,verb,abound
abound in,verb,abound in
abounded,verb,abound
abounding,verb,abound
abounds,verb,abound
about-face,verb,about-face
abrade,verb,abrade
abraded,verb,abrade
abrades,verb,abrade
abrading,verb,abrade
abreact,verb,abreact
abreacted,verb,abreact
abreacting,verb,abreact
abreacts,verb,abreact
abridge,verb,abridge
abridged,verb,abridge
abridges,verb,abridge
abridging,verb,abridge
abrogate,verb,abrogate
abrogated,verb,abrogate
abrogates,verb,abrogate
abrogating,verb,abrogate
abscise,verb,abscise
abscised,verb,abscise
abscises,verb,abscise
abscising,verb,abscise
abscond,verb,abscond
absconded,verb,abscond
absconding,verb,abscond
absconds,verb,abscond
absent,verb,absent
absented,verb,absent
absenting,verb,absent
absents,verb,absent
absolve,verb,absolve
absolved,verb,absolve
absolves,verb,absolve
absolving,verb,absolve
absorb,verb,absorb
absorbed,verb,absorb
absorbing,verb,absorb
absorbs,verb,absorb
abstain,verb,abstain
abstained,verb,abstain
abstaining,verb,abstain
abstains,verb,abstain
abstract,verb,abstract
abstracted,verb,abstract
abstracting,verb,abstract
abstracts,verb,abstract
abuse,verb,abuse
abused,verb,abuse
abuses,verb,abuse
abusing,verb,abuse
accede,verb,accede
acceded,verb,accede
accedes,verb,accede
acceding,verb,accede
accelerate,verb,accelerate
accelerated,verb,accelerate
accelerates,verb,accelerate
accelerating,verb,accelerate
accept,verb,accept
accepted,verb,accept
accepting,verb,accept
accepts,verb,accept
access,verb,access
accessed,verb,access
accesses,verb,access
accessing,verb,access
accession,verb,accession
accessioned,verb,accession
accessioning,verb,accession
accessions,verb,accession
acclaim,verb,acclaim
acclaimed,verb,acclaim
acclaiming,verb,acclaim
acclaims,verb,acclaim
acclimatize,verb,acclimatize
acclimatized,verb,acclimatize
acclimatizes,verb,acclimatize
acclimatizing,verb,acclimatize
accommodate,verb,accommodate
accommodated,verb,accommodate
accommodates,verb,accommodate
accommodating,verb,accommodate
accompanied,verb,accompany
accompanies,verb,accompany
accompany,verb,accompany
accompanying,verb,accompany
accord,verb,accord
accorded,verb,accord
according,verb,accord
accords,verb,accord
account,verb,account
account for,verb,account for
accounted,verb,account
accounting,verb,account
accounts,verb,account
accouter,verb,accouter
accouterred,verb,accouter
accouterring,verb,accouter
accouters,verb,accouter
accredit,verb,accredit
accredits,verb,accredit
accreditted,verb,accredit
accreditting,verb,accredit
accrete,verb,accrete
accreted,verb,accrete
accretes,verb,accrete
accreting,verb,accrete
accrue,verb,accrue
accrued,verb,accrue
accrues,verb,accrue
accruing,verb,accrue
acculturate,verb,acculturate
acculturated,verb,acculturate
acculturates,verb,acculturate
acculturating,verb,acculturate
accumulate,verb,accumulate
accumulated,verb,accumulate
accumulates,verb,accumulate
accumulating,verb,accumulate
accurse,verb,accurse
accursed,verb,accurse
accurses,verb,accurse
accursing,verb,accurse
accuse,verb,accuse
accused,verb,accuse
accuses,verb,accuse
accusing,verb,accuse
ace,verb,ace
aced,verb,ace
acerbate,verb,acerbate
acerbated,verb,acerbate
acerbates,verb,acerbate
acerbating,verb,acerbate
aces,verb,ace
acetylate,verb,acetylate
acetylated,verb,acetylate
acetylates,verb,acetylate
acetylating,verb,acetylate
ache,verb,ache
ached,verb,ache
aches,verb,ache
achieve,verb,achieve
achieved,verb,achieve
achieves,verb,achieve
achieving,verb,achieve
aching,verb,ache
achromatize,verb,achromatize
achromatized,verb,achromatize
achromatizes,verb,achromatize
achromatizing,verb,achromatize
acid-wash,verb,acid-wash
