word,noun,verb,adjective,adverb,auxiliary,compositions,conjunctions,determiners,existential_determiners,modifiers,negative_quantifiers,prepositions,universal_determiners,possessive_determiners,pronouns,frequency,review_count,avg_sentiment,length,confident,resolved_word,relative_frequency,double_log_freq,participation_score,open_count,closed_count,word_length,vowel_count,class_type,is_short,has_apostrophe,is_alpha,unique_char_ratio,weighted_sentiment,actual,predicted,actual_label,predicted_label,prob_closed,prob_open,prob_ambiguous,final_prediction,certainty,final_actual
mean,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,229,215,0.2588903930131006,4,1,mean,0.0001681353423426,0.7186205269411959,0.2,3,0,4,2,open,True,False,True,1.0,0.5177807860262011,open,closed,open,closed,0.36210712263621486,0.3598028937413411,0.2780899836224452,closed,0.36210712263621486,open
last,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,397,384,0.1194619647355163,4,1,last,0.0002914835410918,0.7322524915148902,0.2666666666666666,4,0,4,1,open,True,False,True,1.0,0.2389239294710326,open,closed,open,closed,0.36293061100249824,0.3550438910771066,0.28202549792039605,closed,0.36293061100249824,open
slow,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,383,370,0.1207112271540469,4,1,slow,0.0002812045245294,0.7314121203308808,0.2666666666666666,4,0,4,1,open,True,False,True,1.0,0.2414224543080938,open,closed,open,closed,0.36293061100249824,0.3550438910771066,0.28202549792039605,closed,0.36293061100249824,open
mujhe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,135,0.2758713483146068,5,1,mujhe,0.0001306903534366,0.7117861441526868,0.0,0,0,5,2,ambiguous,False,False,True,1.0,0.5517426966292136,ambiguous,closed,ambiguous,closed,0.3629948813673518,0.3507474097488131,0.2862577088838362,closed,0.3629948813673518,closed
hour,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,173,0.107539247311828,4,1,hour,0.0001365640771866,0.71300823543923,0.0666666666666666,1,0,4,2,open,True,False,True,1.0,0.215078494623656,open,open,open,open,0.3212416529409464,0.36490916282214325,0.3138491842369114,open,0.36490916282214325,open
goes,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,209,205,0.180123923444976,4,1,goes,0.0001534510329677,0.7161880460633878,0.1333333333333333,2,0,4,2,open,True,False,True,1.0,0.360247846889952,open,open,open,open,0.346485897565586,0.3652608082630888,0.288253294171326,open,0.3652608082630888,open
uses,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,269,258,0.2725895910780667,4,1,uses,0.0001975039610924,0.7227832592189907,0.1333333333333333,2,0,4,2,open,True,False,True,0.75,0.5451791821561334,open,open,open,open,0.3647625311115967,0.3655850286906627,0.2696524401977417,open,0.3655850286906627,open
nahi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,156,0.1094217821782178,4,0,ahi,0.0001483115246865,0.7152679393226248,0.0,0,0,4,2,ambiguous,True,False,True,1.0,0.2188435643564356,ambiguous,open,ambiguous,open,0.31915741734141123,0.3682465403509018,0.31259604230768795,open,0.3682465403509018,open
space,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,165,148,0.3760072727272725,5,1,space,0.0001211455523429,0.7096473894063263,0.1333333333333333,2,0,5,2,open,False,False,True,1.0,0.752014545454545,open,open,open,open,0.327406216578683,0.36830527382222716,0.30428850959909115,open,0.36830527382222716,open
ones,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,158,0.45820490797546,4,1,ones,0.0001196771214054,0.709299783140892,0.0666666666666666,1,0,4,2,open,True,False,True,1.0,0.91640981595092,open,open,open,open,0.3020552835867803,0.37187728228406725,0.32606743412915373,open,0.37187728228406725,open
