word,pos
breathe,verb
respire,verb
choke,verb
hyperventilate,verb
aspirate,verb
burp,verb
force out,verb
hiccup,verb
sigh,verb
exhale,verb
hold,verb
sneeze,verb
inhale,verb
pant,verb
cough,verb
hack,verb
expectorate,verb
snort,verb
wheeze,verb
puff,verb
blow,verb
insufflate,verb
yawn,verb
sniff,verb
blink,verb
palpebrate,verb
bat,verb
wink,verb
squint,verb
wince,verb
shed,verb
desquamate,verb
twitch,verb
fibrillate,verb
move involuntarily,verb
act involuntarily,verb
act,verb
fall over backwards,verb
presume,verb
vulgarize,verb
optimize,verb
quack,verb
menace,verb
make,verb
swagger,verb
freeze,verb
wanton,verb
romanticize,verb
sentimentalise,verb
bungle,verb
play,verb
stooge,verb
shake,verb
shiver,verb
rest,verb
be active,verb
sleep,verb
bundle,verb
snooze,verb
nap,verb
oversleep,verb
sleep late,verb
hibernate,verb
estivate,verb
drowse,verb
nod,verb
zonk out,verb
snore,verb
fall asleep,verb
bed down,verb
doss,verb
go to bed,verb
get up,verb
wake up,verb
awaken,verb
reawaken,verb
cause to sleep,verb
affect,verb
attack,verb
ulcerate,verb
wake,verb
stay up,verb
keep up,verb
hypnotize,verb
entrance,verb
anesthetize,verb
etherize,verb
cocainize,verb
chloroform,verb
bring to,verb
sedate,verb
stimulate,verb
de-energize,verb
cathect,verb
perk up,verb
faint,verb
come to,verb
animate,verb
refresh,verb
freshen,verb
wash up,verb
tense,verb
crick,verb
relax,verb
unbend,verb
vege out,verb
sit back,verb
limber up,verb
stretch,verb
spread-eagle,verb
exsert,verb
hyperextend,verb
crane,verb
invigorate,verb
smile,verb
dimple,verb
grin,verb
beam,verb
smirk,verb
fleer,verb
bray,verb
bellylaugh,verb
roar,verb
snicker,verb
giggle,verb
break up,verb
break,verb
break down,verb
drop like flies,verb
cramp,verb
fall over,verb
cackle,verb
guffaw,verb
chuckle,verb
laugh,verb
convulse,verb
cachinnate,verb
sneer,verb
frown,verb
glower,verb
stare,verb
look,verb
scowl,verb
shrug,verb
clap,verb
grimace,verb
screw up,verb
pout,verb
clear the throat,verb
shower,verb
foment,verb
bathe,verb
cleanse,verb
wash,verb
sponge down,verb
scrub,verb
soap,verb
gargle,verb
shave,verb
epilate,verb
razor,verb
tonsure,verb
douche,verb
comb,verb
slick,verb
dress,verb
bob,verb
pompadour,verb
marcel,verb
wave,verb
gauffer,verb
perm,verb
mousse,verb
pomade,verb
tease,verb
groom,verb
clean up,verb
make up,verb
highlight,verb
lipstick,verb
rouge,verb
condition,verb
floss,verb
shampoo,verb
powder,verb
talc,verb
manicure,verb
barber,verb
pedicure,verb
doll up,verb
spruce up,verb
perfume,verb
preen,verb
prank,verb
tart up,verb
overdress,verb
enrobe,verb
prim,verb
bedizen,verb
dress down,verb
prink,verb
reduce,verb
sweat off,verb
gain,verb
round,verb
bundle up,verb
hat,verb
try on,verb
bonnet,verb
wear,verb
cover,verb
jacket,verb
frock,verb
shirt,verb
habit,verb
vesture,verb
underdress,verb
corset,verb
shoe,verb
undress,verb
peel off,verb
take off,verb
scarf,verb
slip on,verb
slip off,verb
coat,verb
cross-dress,verb
costume,verb
dandify,verb
vest,verb
inseminate,verb
stratify,verb
quicken,verb
impregnate,verb
inoculate,verb
cross-fertilize,verb
pollinate,verb
conceive,verb
nick,verb
beget,verb
ejaculate,verb
reproduce,verb
propagate,verb
vegetate,verb
fructify,verb
breed,verb
pullulate,verb
spawn,verb
spat,verb
give birth,verb
lie in,verb
labor,verb
twin,verb
drop,verb
foal,verb
cub,verb
kitten,verb
lamb,verb
litter,verb
whelp,verb
farrow,verb
fawn,verb
calve,verb
have a bun in the oven,verb
expect,verb
carry to term,verb
miscarry,verb
abort,verb
brood,verb
alter,verb
defeminize,verb
emasculate,verb
caponize,verb
geld,verb
vasectomize,verb
sterilize,verb
face-lift,verb
trephine,verb
menstruate,verb
ovulate,verb
antisepticize,verb
autoclave,verb
hatch,verb
irritate,verb
inflame,verb
soothe,verb
relieve,verb
massage,verb
hurt,verb
indispose,verb
suffer,verb
have,verb
be well,verb
wail,verb
cry,verb
bawl,verb
tear,verb
sob,verb
snivel,verb
sweat,verb
superfetate,verb
exude,verb
distill,verb
reek,verb
transpire,verb
extravasate,verb
stream,verb
gum,verb
secrete,verb
water,verb
swelter,verb
injure,verb
trample,verb
concuss,verb
calk,verb
trouble,verb
disagree with,verb
torture,verb
rack,verb
martyr,verb
pull,verb
urinate,verb
wet,verb
stale,verb
excrete,verb
evacuate,verb
suction,verb
purge,verb
stool,verb
dung,verb
constipate,verb
obstipate,verb
shed blood,verb
tire,verb
exhaust,verb
frazzle,verb
overtire,verb
vomit,verb
spew,verb
keep down,verb
gag,verb
gnash,verb
ail,verb
treat,verb
correct,verb
detox,verb
irrigate,verb
iodize,verb
doctor,verb
vet,verb
nurse,verb
manipulate,verb
administer,verb
transfuse,verb
digitalize,verb
bring around,verb
help,verb
comfort,verb
remedy,verb
poultice,verb
bandage,verb
ligate,verb
strap,verb
splint,verb
operate on,verb
venesect,verb
medicate,verb
drug,verb
dope,verb
soup,verb
overdose,verb
narcotize,verb
anoint,verb
salve,verb
bleed,verb
inject,verb
infuse,verb
immunize,verb
cup,verb
sicken,verb
wan,verb
contract,verb
catch,verb
catch cold,verb
poison,verb
intoxicate,verb
infect,verb
superinfect,verb
smut,verb
disinfect,verb
chlorinate,verb
canker,verb
traumatize,verb
shock,verb
galvanize,verb
mutilate,verb
maim,verb
twist,verb
subluxate,verb
cripple,verb
hamstring,verb
disable,verb
hock,verb
devolve,verb
recuperate,verb
snap back,verb
relapse,verb
languish,verb
waste,verb
atrophy,verb
hypertrophy,verb
fledge,verb
grow,verb
regrow,verb
spring,verb
sprout,verb
leaf,verb
pod,verb
teethe,verb
cut,verb
ankylose,verb
pupate,verb
work up,verb
fester,verb
draw,verb
suppurate,verb
necrose,verb
regenerate,verb
rejuvenate,verb
resuscitate,verb
boot,verb
resurrect,verb
scab,verb
skin over,verb
heal,verb
granulate,verb
poop out,verb
exercise,verb
train,verb
tumble,verb
roll,verb
warm up,verb
limber,verb
tone,verb
fart,verb
snuffle,verb
spit,verb
splutter,verb
stub,verb
harm,verb
salivate,verb
drivel,verb
blush,verb
pale,verb
etiolate,verb
tan,verb
suntan,verb
sun,verb
sunburn,verb
generalize,verb
metastasize,verb
emit,verb
joke,verb
clown,verb
feel,verb
feel like a million,verb
suffocate,verb
gown,verb
jaundice,verb
piffle,verb
run down,verb
pack on,verb
call,verb
make as if,verb
fracture,verb
refracture,verb
give,verb
pack,verb
snuff,verb
froth,verb
lather,verb
change,verb
shade,verb
gel,verb
brutalize,verb
caramelize,verb
rasterize,verb
convert,verb
humify,verb
verbalize,verb
creolize,verb
sporulate,verb
novelize,verb
deaden,verb
opalize,verb
receive,verb
reconvert,verb
malt,verb
stay,verb
keep out,verb
continue,verb
sit tight,verb
differentiate,verb
speciate,verb
dedifferentiate,verb
mutate,verb
arterialize,verb
revert,verb
render,verb
get,verb
alternate,verb
spell,verb
interchange,verb
counterchange,verb
vascularize,verb
decrepitate,verb
crackle,verb
suburbanize,verb
modulate,verb
avianize,verb
move,verb
step,verb
scroll,verb
glaze,verb
revolutionize,verb
turn,verb
bald,verb
sensualize,verb
barbarize,verb
alkalinize,verb
mythologize,verb
allegorize,verb
demythologize,verb
bring,verb
secularize,verb
rubberize,verb
coarsen,verb
anodize,verb
citrate,verb
equilibrate,verb
leave,verb
strike a blow,verb
repercuss,verb
tell on,verb
redound,verb
bacterize,verb
change by reversal,verb
turn the tables,verb
commutate,verb
alchemize,verb
alcoholize,verb
change integrity,verb
switch over,verb
change shape,verb
individuate,verb
tie,verb
terrace,verb
fork,verb
constellate,verb
shape,verb
tabulate,verb
dimension,verb
strike,verb
crystallize,verb
culminate,verb
sliver,verb
ridge,verb
plume,verb
conglobate,verb
form,verb
scallop,verb
square,verb
round off,verb
purse,verb
pooch,verb
change state,verb
fall,verb
fall off,verb
fall in love,verb
suspend,verb
resuspend,verb
sober up,verb
sober,verb
become,verb
work,verb
adjust,verb
follow,verb
go by,verb
readjust,verb
proportion,verb
reconstruct,verb
readapt,verb
decrease,verb
shrink,verb
taper,verb
drop off,verb
vanish,verb
increase,verb
suppress,verb
extend,verb
augment,verb
build up,verb
