word,pos,plural
A-bomb,noun,1
A-bombs,noun,1
A-frame,noun,1
ABC,noun,1
Aachen,noun,1
Aarhus,noun,1
Aaron,noun,1
Abadan,noun,1
Abaddon,noun,1
Abbasid,noun,1
Abbasids,noun,1
Abbevillian,noun,1
Abbotsford,noun,1
Abbott,noun,1
Abby,noun,1
Abdul,noun,1
Abe,noun,1
Abednego,noun,1
Abel,noun,1
Abelard,noun,1
Aberdare,noun,1
Aberdeen,noun,1
Aberdeenshire,noun,1
Aberystwyth,noun,1
Abib,noun,1
Abidjan,noun,1
Abingdon,noun,1
Abraham,noun,1
Abrahams,noun,1
Absalom,noun,1
Abydos,noun,1
Abyssinia,noun,1
Abyssinian,noun,1
Abyssinians,noun,1
Acadia,noun,1
Acadian,noun,1
Acadians,noun,1
Acapulco,noun,1
Accadian,noun,1
Accra,noun,1
Accrington,noun,1
Achaea,noun,1
Achaean,noun,1
Achaeans,noun,1
Achates,noun,1
Achernar,noun,1
Acheron,noun,1
Acheson,noun,1
Acheulian,noun,1
Achilles,noun,1
Achitophel,noun,1
Acis,noun,1
Acol,noun,1
Acrilan,noun,1
Actaeon,noun,1
Actium,noun,1
Ada,noun,1
Adam,noun,1
Adamic,noun,1
Adamite,noun,1
Adams,noun,1
Adana,noun,1
Adar,noun,1
Addams,noun,1
Addie,noun,1
Addison,noun,1
Addressograph,noun,1
Addressographs,noun,1
Addy,noun,1
Adela,noun,1
Adelaide,noun,1
Adele,noun,1
Aden,noun,1
Adenauer,noun,1
Adie,noun,1
Adirondack,noun,1
Adler,noun,1
Adolf,noun,1
Adonai,noun,1
Adonais,noun,1
Adonia,noun,1
Adonic,noun,1
Adonis,noun,1
Adrenalin,noun,1
Adrian,noun,1
Adrianne,noun,1
Adriatic,noun,1
Adrienne,noun,1
Adullamite,noun,1
Adventist,noun,1
Adventists,noun,1
Aegisthus,noun,1
Aeneas,noun,1
Aeneid,noun,1
Aeolic,noun,1
Aepyornis,noun,1
Aeschylus,noun,1
Aesop,noun,1
Afghanistan,noun,1
Africa,noun,1
African,noun,1
Africander,noun,1
Africanism,noun,1
Africanist,noun,1
Africanization,noun,1
Africans,noun,1
Afrikaans,noun,1
Afrikander,noun,1
Afrikaner,noun,1
Afrikanerdom,noun,1
Afrikaners,noun,1
Afro-American,noun,1
Afro-Americans,noun,1
Agamemnon,noun,1
Aganippe,noun,1
Agatha,noun,1
Aggie,noun,1
Agincourt,noun,1
Aglaia,noun,1
Agnes,noun,1
Agnew,noun,1
Agostini,noun,1
Agra,noun,1
Agricola,noun,1
Agrippa,noun,1
Agrippina,noun,1
Ahab,noun,1
Ahern,noun,1
Ahithophel,noun,1
Ahmad,noun,1
Ahmed,noun,1
Ahriman,noun,1
Ahwaz,noun,1
Aida,noun,1
Aidan,noun,1
Aiden,noun,1
Aileen,noun,1
Ailsa,noun,1
Ainu,noun,1
Airdrie,noun,1
Aire,noun,1
Airedale,noun,1
Airedales,noun,1
Aisha,noun,1
Aisne,noun,1
Aitken,noun,1
Aix-en-Provence,noun,1
Aix-la-Chapelle,noun,1
Aix-les-Bains,noun,1
Ajaccio,noun,1
Ajax,noun,1
Akaba,noun,1
Akela,noun,1
Akelas,noun,1
Akhenaten,noun,1
Akhmatova,noun,1
Akihito,noun,1
Akkadian,noun,1
Akron,noun,1
Alabama,noun,1
Alabaman,noun,1
Alabamans,noun,1
Alabamian,noun,1
Alabamians,noun,1
Aladdin,noun,1
Alain-Fournier,noun,1
Alamein,noun,1
Alamo,noun,1
Alan,noun,1
Alanbrooke,noun,1
Alaric,noun,1
Alasdair,noun,1
Alaska,noun,1
Alaskan,noun,1
Alaskans,noun,1
Alastair,noun,1
Alban,noun,1
Albania,noun,1
Albanian,noun,1
Albanians,noun,1
Albany,noun,1
Alberich,noun,1
Alberta,noun,1
Alberti,noun,1
Albertina,noun,1
Albertine,noun,1
Albi,noun,1
Albigensian,noun,1
Albigensianism,noun,1
Albinoni,noun,1
Albion,noun,1
Albuquerque,noun,1
Alcaic,noun,1
Alcaics,noun,1
Alcatraz,noun,1
Alcestis,noun,1
Alcibiades,noun,1
Alcides,noun,1
Alcock,noun,1
Alcoran,noun,1
Alcott,noun,1
Alcuin,noun,1
Alda,noun,1
Aldebaran,noun,1
Aldermaston,noun,1
Alderney,noun,1
Aldershot,noun,1
Aldine,noun,1
Aldous,noun,1
Alec,noun,1
Alecto,noun,1
Alekhine,noun,1
Alemannic,noun,1
Alencon,noun,1
Aleppo,noun,1
Alessandria,noun,1
Aleut,noun,1
Aleuts,noun,1
Alex,noun,1
Alexander,noun,1
Alexandra,noun,1
Alexandria,noun,1
Alexandrian,noun,1
Alexis,noun,1
Alf,noun,1
Alfie,noun,1
Alfonso,noun,1
Alfred,noun,1
Alfreda,noun,1
Alfredo,noun,1
Alfs,noun,1
Algeria,noun,1
Algerian,noun,1
Algerians,noun,1
Algernon,noun,1
Algiers,noun,1
Algol,noun,1
Algonkian,noun,1
Algonkians,noun,1
Algonkin,noun,1
Algonkins,noun,1
Algonquian,noun,1
Algonquians,noun,1
Algonquin,noun,1
Algonquins,noun,1
Algy,noun,1
Alhambra,noun,1
Ali,noun,1
Alicante,noun,1
Alice,noun,1
Alicia,noun,1
Alison,noun,1
Alistair,noun,1
Alister,noun,1
Alkoran,noun,1
Allah,noun,1
Allahabad,noun,1
Allan,noun,1
Allen,noun,1
Allenby,noun,1
Allende,noun,1
Alleyn,noun,1
Allie,noun,1
Allier,noun,1
Allison,noun,1
Alloa,noun,1
Alma-Ata,noun,1
Alma-Tadema,noun,1
Almagest,noun,1
Almagests,noun,1
Almeria,noun,1
Alonso,noun,1
Aloysius,noun,1
Alphonsine,noun,1
Alsace,noun,1
Alsace-Lorraine,noun,1
Alsatia,noun,1
Alsatian,noun,1
Alsatians,noun,1
Altaic,noun,1
Altair,noun,1
Altdorfer,noun,1
Althea,noun,1
Althing,noun,1
Altiplano,noun,1
Altman,noun,1
Altrincham,noun,1
Alwyn,noun,1
Amabel,noun,1
Amadeus,noun,1
Amanda,noun,1
Amarillo,noun,1
Amati,noun,1
Amatis,noun,1
Amazonas,noun,1
Ambrose,noun,1
America,noun,1
American,noun,1
Americana,noun,1
Americanism,noun,1
Americanisms,noun,1
Americanist,noun,1
Americans,noun,1
Americas,noun,1
Amerind,noun,1
Amerindian,noun,1
Amerindians,noun,1
Amerinds,noun,1
Amharic,noun,1
Amidol,noun,1
Amiens,noun,1
Amin,noun,1
Amish,noun,1
Amos,noun,1
Amphibia,noun,1
Amphictyon,noun,1
Amphitryon,noun,1
Amritsar,noun,1
Amsterdam,noun,1
Amundsen,noun,1
Amy,noun,1
Amytal,noun,1
Anacreon,noun,1
Anacreontic,noun,1
Anaheim,noun,1
Ananias,noun,1
Anasazi,noun,1
Anasazis,noun,1
Anastasia,noun,1
Anatole,noun,1
Anatolia,noun,1
Anatolian,noun,1
Ancona,noun,1
Andalusia,noun,1
Andalusian,noun,1
Anderlecht,noun,1
Andersen,noun,1
Anderson,noun,1
Andes,noun,1
Andorra,noun,1
Andorran,noun,1
Andorrans,noun,1
Andre,noun,1
Andrea,noun,1
Andrew,noun,1
Andrews,noun,1
Androcles,noun,1
Andromache,noun,1
Andy,noun,1
Angela,noun,1
Angeleno,noun,1
Angelenos,noun,1
Angelico,noun,1
Angelina,noun,1
Angelo,noun,1
Angevin,noun,1
Angie,noun,1
Anglesey,noun,1
Anglia,noun,1
Anglian,noun,1
Anglican,noun,1
Anglicanism,noun,1
Anglicans,noun,1
Anglistics,noun,1
Anglo,noun,1
Anglo-American,noun,1
Anglo-Catholic,noun,1
Anglo-Catholics,noun,1
Anglo-French,noun,1
Anglo-Indian,noun,1
Anglo-Irish,noun,1
Anglo-Norman,noun,1
Anglo-Saxon,noun,1
Anglo-Saxons,noun,1
Anglos,noun,1
Angola,noun,1
Angostura,noun,1
Anguilla,noun,1
Anguis,noun,1
Angus,noun,1
Anita,noun,1
Anjou,noun,1
Ankara,noun,1
Annabel,noun,1
Annabelle,noun,1
Annam,noun,1
Annapolis,noun,1
Annapurna,noun,1
Anne,noun,1
Annecy,noun,1
Annelida,noun,1
Annette,noun,1
Annie,noun,1
Annis,noun,1
Anouilh,noun,1
Anschauung,noun,1
Anschluss,noun,1
Anselm,noun,1
Ansermet,noun,1
Antabuse,noun,1
Antaeus,noun,1
Antananarivo,noun,1
Antarctic,noun,1
Antarctica,noun,1
Antares,noun,1
Anthea,noun,1
Anthesteria,noun,1
Anthony,noun,1
Anthozoa,noun,1
Antibes,noun,1
Antichrist,noun,1
Antietam,noun,1
Antigone,noun,1
Antigua,noun,1
Antiguan,noun,1
Antiguans,noun,1
Antioch,noun,1
Antiochian,noun,1
Antiochus,noun,1
Antofagasta,noun,1
Antoinette,noun,1
Anton,noun,1
Antonia,noun,1
Antoninus,noun,1
Antonio,noun,1
Antony,noun,1
Antrim,noun,1
