mapped_id,word,sentence_id,location_in_sentence,bundle_id,xmin,ymin,xmax,ymax,Page
0,"""Byzantiums""",220,0,0,85.44000244140625,331.2609558105469,440.3209533691406,342.4066772460937,1
1,"""Constantinoples""",332,0,0,85.19999694824219,563.3409423828125,449.291748046875,574.4866333007812,1
2,"""Harriss""",444,1,0,86.87999725341797,264.39678955078125,458.5972595214844,274.7944030761719,2
3,"""Harriss""",586,0,0,85.91999816894531,545.1968383789062,417.5668640136719,555.5944213867188,2
4,"""IXs""",517,0,0,86.16000366210938,410.3168029785156,420.3885498046875,420.7144165039063,2
5,"""Mehmeds""",507,1,0,86.16000366210938,386.3168029785156,410.7798767089844,396.7144165039063,2
6,"""Schwallers""",715,1,0,85.91999816894531,373.062255859375,449.54248046875,383.2189331054688,3
7,"""authors""",409,1,0,96.95999908447266,203.19680786132807,486.8984375,213.5944061279297,2
8,"""byzantine""",140,1,0,85.91999816894531,185.43679809570312,453.0884399414063,195.8343963623047,1
9,$35.00,696,0,0,86.16000366210938,349.2281494140625,453.3382263183594,359.1692810058594,3
10,$40.00,102,0,0,85.91999816894531,111.18096923828124,449.0496520996094,122.32669067382812,1
11,&,63,1,0,36.0,334.416015625,499.23931884765625,345.8280029296875,0
12,(1403,155,0,0,86.63999938964844,222.15679931640625,437.40631103515625,232.5543975830078,1
13,(JUNE,14,0,0,36.0,205.21798706054688,498.2599792480469,220.4339904785156,0
14,(Lee,825,0,0,85.44000244140625,568.9568481445312,435.9019470214844,579.3544311523438,3
15,(Ondina,779,0,0,85.91999816894531,494.32611083984375,440.1701049804688,506.2706604003906,3
16,+298,101,0,0,103.91999816894533,93.5168228149414,362.593505859375,103.91442108154295,1
17,+319,695,0,0,103.91999816894533,318.15679931640625,401.07855224609375,328.5544128417969,3
18,",",10,1,0,36.0,205.21798706054688,498.2599792480469,220.4339904785156,0
19,10.1017/S0009640712000819,92,1,0,103.91999816894533,66.43058013916016,226.3267974853516,74.91350555419922,1
20,10.1017/S0009640712000820,679,1,0,104.4000015258789,277.63055419921875,226.80679321289065,286.1134948730469,3
21,14,408,0,0,96.95999908447266,203.19680786132807,486.8984375,213.5944061279297,2
22,1439,447,0,0,86.87999725341797,264.39678955078125,458.5972595214844,274.7944030761719,2
23,1444,477,0,0,86.63999938964844,325.7822570800781,416.5007019042969,335.9389343261719,2
24,1453,107,0,0,85.91999816894531,111.18096923828124,449.0496520996094,122.32669067382812,1
25,1453,523,0,0,86.16000366210938,410.3168029785156,420.3885498046875,420.7144165039063,2
26,"1453),",156,0,0,86.63999938964844,222.15679931640625,437.40631103515625,232.5543975830078,1
27,1453.,169,1,0,85.68000030517578,233.96734619140625,453.3867492675781,244.92286682128903,1
28,1453.,355,1,0,87.36000061035156,81.03678131103516,490.5900268554688,91.43437957763672,2
29,17:03:59,86,0,0,224.16000366210935,839.8159790039062,370.8320007324219,850.4879760742188,0
30,17:03:59,342,0,0,169.5399932861328,717.8159790039062,316.21197509765625,728.4879760742188,1
31,17:03:59,610,0,0,169.5399932861328,717.8159790039062,316.21197509765625,728.4879760742188,2
32,17:03:59,835,0,0,169.5399932861328,717.8159790039062,316.21197509765625,728.4879760742188,3
33,2,13,1,0,36.0,205.21798706054688,498.2599792480469,220.4339904785156,0
34,2008).,790,1,0,85.68000030517578,519.4209594726562,438.1982421875,530.566650390625,3
35,2010.,100,0,0,103.91999816894533,93.5168228149414,362.593505859375,103.91442108154295,1
36,2011.,694,0,0,103.91999816894533,318.15679931640625,401.07855224609375,328.5544128417969,3
37,"2012),",14,1,0,36.0,205.21798706054688,498.2599792480469,220.4339904785156,0
38,"2012,",11,1,0,36.0,205.21798706054688,498.2599792480469,220.4339904785156,0
39,2026,85,1,0,189.08999633789065,831.8159790039062,411.0899963378906,842.4879760742188,0
