mapped_id,word,sentence_id,location_in_sentence,bundle_id,xmin,ymin,xmax,ymax,Page
0,(,108,1,0,401.2850036621094,264.9176330566406,408.27880859375,276.8728332519531,1
1,(,242,1,0,373.4290466308594,328.63446044921875,376.9169616699219,337.6008605957031,2
2,(,255,0,0,431.7571716308594,560.717041015625,435.24407958984375,567.6908569335938,2
3,(0,277,1,0,53.99996948242188,229.0676422119141,64.47272491455078,241.02284240722656,3
4,(a),166,0,0,70.93599700927734,462.9919738769531,284.4170227050781,471.9583740234375,2
5,(a),175,1,0,70.93600463867188,486.9029541015625,255.7066345214844,495.8693542480469,2
6,(a),196,0,0,70.93600463867188,654.0799560546875,224.0731658935547,663.04638671875,2
7,(a),217,1,0,378.4779968261719,168.1346893310547,382.9647521972656,176.20437622070312,2
8,(a),223,1,0,327.9179382324219,203.7850646972656,543.2191162109375,212.75146484375,2
9,(b),173,0,0,70.93600463867188,486.9029541015625,255.7066345214844,495.8693542480469,2
10,(b),199,0,0,70.93600463867188,669.5169677734375,222.5757751464844,678.4833984375,2
11,(b),220,1,0,327.9179382324219,203.7850646972656,543.2191162109375,212.75146484375,2
12,(c),202,0,0,70.93600463867188,684.9529418945312,260.8175048828125,693.9193725585938,2
13,+,289,0,0,451.4259948730469,237.2686309814453,463.1421203613281,249.2238311767578,3
14,+,296,1,0,205.41000366210935,282.8666687011719,226.8769989013672,294.8218688964844,3
15,0,150,0,0,70.93599700927734,285.4149780273437,146.6662139892578,294.3813781738281,2
16,0,153,1,0,70.93599700927734,299.70294189453125,108.04792785644533,308.6693420410156,2
17,0,158,1,0,171.27999877929688,437.5079956054688,175.36000061035156,448.1799926757813,2
18,0,164,0,0,89.03699493408203,394.9360046386719,91.55699157714844,402.9360046386719,2
19,0,188,0,0,75.41100311279297,599.8471069335938,78.89790344238281,606.8209228515625,2
20,0,189,1,0,75.41100311279297,599.8471069335938,78.89790344238281,606.8209228515625,2
21,0,211,0,0,463.9669189453125,128.48800659179688,468.45013427734375,137.45440673828125,2
22,0,211,1,0,463.9669189453125,128.48800659179688,468.45013427734375,137.45440673828125,2
23,0,212,0,0,463.9669189453125,128.48800659179688,468.45013427734375,137.45440673828125,2
24,0,212,1,0,463.9669189453125,128.48800659179688,468.45013427734375,137.45440673828125,2
25,0,213,0,0,387.876953125,142.18698120117188,399.0849609375,151.15338134765625,2
26,0,213,1,0,387.876953125,142.18698120117188,399.0849609375,151.15338134765625,2
27,0,219,0,0,327.9179382324219,203.7850646972656,543.2191162109375,212.75146484375,2
28,0.6,217,0,0,378.4779968261719,168.1346893310547,382.9647521972656,176.20437622070312,2
29,0.8,216,1,0,489.4931335449219,142.18698120117188,500.70111083984375,151.15338134765625,2
30,1,34,0,0,354.553955078125,482.7897033691406,373.4192810058594,494.7449035644531,0
31,1,34,1,0,354.553955078125,482.7897033691406,373.4192810058594,494.7449035644531,0
32,1,79,1,0,68.95809936523438,149.14259338378906,214.4528961181641,161.09779357910156,1
33,1,191,0,0,217.06300354003903,617.2762451171875,224.53201293945312,626.2426147460938,2
34,1,243,1,0,327.9181213378906,401.5499572753906,385.9486389160156,410.516357421875,2
35,1,247,1,0,512.3091430664062,437.3771057128906,515.7960205078125,444.3508911132813,2
36,1,265,1,0,468.7619934082031,609.4835815429688,475.36126708984375,618.4500122070312,2
37,1,276,0,0,177.86700439453125,143.4517059326172,187.82568359375,155.4069061279297,3
38,1,288,1,0,405.0690002441406,229.0676422119141,422.6909790039063,241.02284240722656,3
39,1,300,0,0,318.0929870605469,282.86669921875,327.8484191894531,294.8218994140625,3
40,1.,7,0,0,52.64400100708008,164.50868225097656,129.74310302734375,176.46388244628906,0
41,1.,21,1,0,79.75294494628906,360.2376708984375,298.9993896484375,372.19287109375,0
42,1.,38,1,0,79.75294494628906,532.41064453125,273.5707092285156,544.3658447265625,0
43,1.,144,0,0,202.5159912109375,255.3409881591797,206.5959930419922,266.0129699707031,2
44,1.,271,1,0,309.17401123046875,115.51966857910156,319.6467590332031,127.47486877441406,3
45,1.2,216,0,0,489.4931335449219,142.18698120117188,500.70111083984375,151.15338134765625,2
46,1.8,215,1,0,489.4931335449219,142.18698120117188,500.70111083984375,151.15338134765625,2
47,10,77,0,0,155.760986328125,112.59059143066406,161.84617614746094,124.54579162597656,1
48,10,147,0,0,111.82699584960938,198.10598754882807,119.98699951171876,208.77798461914065,2
49,10,161,0,0,112.5270004272461,413.89398193359375,120.68700408935548,424.5659790039063,2
50,10.,243,0,0,327.9181213378906,401.5499572753906,385.9486389160156,410.516357421875,2
51,10.,283,0,0,267.8389892578125,246.28515625,272.2464599609375,254.2552490234375,3
52,100,163,1,0,108.4469985961914,345.677001953125,120.68700408935548,356.3489990234375,2
53,11.,246,1,0,512.3091430664062,437.3771057128906,515.7960205078125,444.3508911132813,2
54,11.,285,1,0,362.6360168457031,226.30682373046875,379.8993225097656,238.26202392578125,3
55,12.,252,0,0,327.91815185546875,477.8749084472656,379.97705078125,486.84130859375,2
56,12.,291,0,0,95.06800079345705,282.86669921875,101.71509552001952,294.8218994140625,3
57,13.,255,1,0,431.7571716308594,560.717041015625,435.24407958984375,567.6908569335938,2
58,13.,293,0,0,179.34100341796875,280.1048583984375,196.60430908203125,292.06005859375,3
59,14.,261,1,0,400.6941528320313,622.6603393554688,404.1810607910156,629.6341552734375,2
60,14.,299,0,0,318.0929870605469,282.86669921875,327.8484191894531,294.8218994140625,3
61,15,147,1,0,111.82699584960938,198.10598754882807,119.98699951171876,208.77798461914065,2
62,2,35,0,0,354.553955078125,482.7897033691406,373.4192810058594,494.7449035644531,0
63,2,37,0,0,68.95794677734375,508.2666931152344,130.5391845703125,520.2218627929688,0
64,2,119,1,0,346.4849853515625,304.8011169433594,350.71710205078125,312.7712097167969,1
65,2,144,1,0,202.5159912109375,255.3409881591797,206.5959930419922,266.0129699707031,2
66,2,159,0,0,171.27999877929688,437.5079956054688,175.36000061035156,448.1799926757813,2
67,2,256,1,0,431.7571716308594,560.717041015625,435.24407958984375,567.6908569335938,2
68,2,274,1,0,404.6650085449219,123.7206573486328,410.5230712890625,135.6758575439453,3
69,2,296,0,0,205.41000366210935,282.8666687011719,226.8769989013672,294.8218688964844,3
70,2.,24,1,0,79.75294494628906,382.2576599121094,295.735595703125,394.2128601074219,0
71,2.,41,1,0,79.75299072265625,554.4306640625,265.75201416015625,566.3858642578125,0
72,2.,67,0,0,52.64400100708008,56.61164855957031,141.37550354003906,68.56684875488281,1
73,2.,155,0,0,70.93599700927734,333.3699645996094,147.86770629882812,342.3363647460937,2
74,2.,272,0,0,309.17401123046875,115.51966857910156,319.6467590332031,127.47486877441406,3
75,2.6,215,0,0,489.4931335449219,142.18698120117188,500.70111083984375,151.15338134765625,2
76,20,148,0,0,111.82699584960938,130.53797912597656,119.98699951171876,141.20997619628906,2
77,20,161,1,0,112.5270004272461,413.89398193359375,120.68700408935548,424.5659790039063,2
78,200,253,1,0,401.5501708984375,506.1363525390625,404.64654541015625,513.1101684570312,2
79,25,148,1,0,111.82699584960938,130.53797912597656,119.98699951171876,141.20997619628906,2
80,25,289,1,0,451.4259948730469,237.2686309814453,463.1421203613281,249.2238311767578,3
81,25,290,1,0,451.4259948730469,237.2686309814453,463.1421203613281,249.2238311767578,3
82,3,238,0,0,386.6570129394531,289.71026611328125,394.12603759765625,298.6766662597656,2
83,3,239,0,0,315.863037109375,328.63446044921875,323.53826904296875,337.6008605957031,2
84,3,281,1,0,205.4620056152344,229.0676422119141,215.93475341796875,241.02284240722656,3
85,3,292,0,0,95.06800079345705,282.86669921875,101.71509552001952,294.8218994140625,3
86,3.,28,0,0,79.75294494628906,404.2776489257813,276.5594787597656,416.23284912109375,0
87,3.,44,1,0,79.7530517578125,576.45068359375,246.5759735107422,588.4058837890625,0
88,3.,187,0,0,70.93600463867188,554.483642578125,75.42276000976562,562.5533447265625,2
89,3.,272,1,0,309.17401123046875,115.51966857910156,319.6467590332031,127.47486877441406,3
90,3.6,214,1,0,387.876953125,142.18698120117188,399.0849609375,151.15338134765625,2
91,30,149,0,0,111.82699584960938,130.53797912597656,119.98699951171876,141.20997619628906,2
92,35,149,1,0,111.82699584960938,130.53797912597656,119.98699951171876,141.20997619628906,2
93,3–4,179,1,0,82.24400329589844,520.5689697265625,290.0852355957031,529.535400390625,2
94,4,145,0,0,202.5159912109375,255.3409881591797,206.5959930419922,266.0129699707031,2
95,4,159,1,0,171.27999877929688,437.5079956054688,175.36000061035156,448.1799926757813,2
96,4,241,0,0,373.4290466308594,328.63446044921875,376.9169616699219,337.6008605957031,2
97,4,273,0,0,404.6650085449219,123.7206573486328,410.5230712890625,135.6758575439453,3
98,4.,188,1,0,75.41100311279297,599.8471069335938,78.89790344238281,606.8209228515625,2
