word,noun,verb,adjective,adverb,auxiliary,compositions,conjunctions,determiners,existential_determiners,modifiers,negative_quantifiers,prepositions,universal_determiners,possessive_determiners,pronouns,frequency,review_count,avg_sentiment,length,confident,resolved_word,relative_frequency,double_log_freq,participation_score
of,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,318,299,0.0151367924528301,2,1,of,0.03162920230753929,0.7269533516404942,0.06666666666666667
and,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,311,292,0.0179344051446945,3,1,and,0.030932962005172072,0.7264075419480907,0.13333333333333333
cas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,279,0.0158378839590443,3,1,cas,0.02914262979908494,0.7249323031667227,0.0
the,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,267,229,0.0161558052434456,3,1,the,0.02655659439029242,0.7225936373828253,0.13333333333333333
in,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,239,230,0.0176979079497908,2,1,in,0.023771633180823554,0.7197406601624384,0.26666666666666666
crispr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,227,0.0164675438596491,6,1,crispr,0.02267754127710364,0.7185052114656592,0.0
a,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,146,134,0.0310150684931506,1,1,a,0.014521583449373383,0.7061128824048067,0.2
to,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,132,125,0.0644712121212121,2,1,to,0.01312910284463895,0.7031190226451435,0.06666666666666667
gene,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,101,0.0491467289719626,4,1,gene,0.010642530336184603,0.6966319365965035,0.06666666666666667
editing,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,103,0.0368115384615384,7,1,editing,0.01034414163517008,0.6957260179566866,0.06666666666666667
cell,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,88,-0.0670053191489361,4,1,cell,0.009349512631788343,0.692450129134387,0.06666666666666667
genome,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,88,0.0098662921348314,6,1,genome,0.008852198130097473,0.6906420386261555,0.06666666666666667
by,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,88,88,-0.0011193181818181,2,1,by,0.0087527352297593,0.6902649379933511,0.2
