word,noun,verb,adjective,adverb,auxiliary,compositions,conjunctions,determiners,existential_determiners,modifiers,negative_quantifiers,prepositions,universal_determiners,possessive_determiners,pronouns,frequency,review_count,avg_sentiment,length,confident,resolved_word,relative_frequency,double_log_freq,participation_score
the,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,214,189,0.0695154205607476,3,1,the,0.0844181459566075,0.7168222886037037,0.13333333333333333
overlapping,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,66,64,-0.0702818181818181,11,1,overlapping,0.02603550295857988,0.6802614307792342,0.2
class,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,63,-0.0145461538461538,5,1,class,0.02564102564102564,0.6797078647811866,0.06666666666666667
data,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,-0.0047083333333333,4,1,data,0.023668639053254437,0.6767661283438605,0.06666666666666667
of,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,60,54,0.048695,2,1,of,0.023668639053254437,0.6767661283438605,0.06666666666666667
and,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,59,59,-0.0231830508474576,3,1,and,0.023274161735700197,0.6761398487645733,0.13333333333333333
in,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,49,48,0.0217938775510204,2,1,in,0.01932938856015779,0.6690125598689335,0.26666666666666666
is,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,46,45,0.0512565217391304,2,1,is,0.01814595660749507,0.6664978557621422,0.13333333333333333
to,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,39,38,0.046676923076923,2,1,to,0.015384615384615385,0.6596972838889588,0.06666666666666667
classi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,38,0.0222589743589743,6,1,classi,0.015384615384615385,0.6596972838889588,0.0
on,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,37,37,0.0762216216216216,2,1,on,0.014595660749506903,0.6574555658168466,0.2
for,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,37,37,0.0208486486486486,3,1,for,0.014595660749506903,0.6574555658168466,0.13333333333333333
with,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,30,30,0.01395,4,1,with,0.011834319526627219,0.648150460701653,0.13333333333333333
a,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,30,29,0.03368,1,1,a,0.011834319526627219,0.648150460701653,0.2
that,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,22,22,0.0030363636363636,4,1,that,0.008678500986193294,0.6331875282688906,0.4
be,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,22,22,-0.0183363636363636,2,1,be,0.008678500986193294,0.6331875282688906,0.13333333333333333
cation,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,0.0413380952380952,6,1,cation,0.008284023668639054,0.6308081703830098,0.06666666666666667
sets,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,-0.020095,4,1,sets,0.007889546351084813,0.6282723810177272,0.13333333333333333
problem,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,-0.3441700000000001,7,1,problem,0.007889546351084813,0.6282723810177272,0.06666666666666667
scheme,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.18892,6,1,scheme,0.007889546351084813,0.6282723810177272,0.13333333333333333
as,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,-0.0186,2,1,as,0.007495069033530572,0.6255609474815194,0.06666666666666667
schemes,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,0.0201684210526315,7,1,schemes,0.007495069033530572,0.6255609474815194,0.13333333333333333
ers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,0.0,3,1,ers,0.0067061143984220905,0.6195156162140293,0.0
are,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,16,-0.0061625,3,1,are,0.00631163708086785,0.6161216046825284,0.13333333333333333
imbalance,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,-0.03035,9,1,imbalance,0.00631163708086785,0.6161216046825284,0.06666666666666667
set,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0.0548133333333333,3,1,set,0.005917159763313609,0.6124288945957818,0.2
this,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,15,14,-0.0604333333333333,4,1,this,0.005917159763313609,0.6124288945957818,0.26666666666666666
ratio,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0.0029999999999999,5,1,ratio,0.005917159763313609,0.6124288945957818,0.06666666666666667
