phrase_id,sentence_id,phrase,type,bundle_id,preceeded_by,leads_to
0,0,['advances'],,0,-1,1
1,0,in,PREP,1,-1,2
2,0,"['humanities', 'research']",,1,-1,2
3,0,['vol'],,1,-1,2
0,1,"['12', 'issue']",,0,-1,1
1,1,"['6', 'ewa']",,0,-1,1
2,1,"['publishing', 'available']",,0,-1,1
3,1,"['online:', '10']",,0,-1,1
4,1,"['september', '2025']",,0,-1,1
5,1,"['doi:', '10']",,0,-1,1
0,2,"['54254', '2753']",,0,-1,1
1,2,"['7080', '2025']",,0,-1,1
0,3,['26572'],,0,-1,1
1,3,the,DET,1,-1,2
2,3,"['cold', 'war:']",,1,-1,2
3,3,"['origins', 'causes']",,1,-1,2
4,3,and,CONJ,1,-1,2
5,3,"['global', 'impacts']",,1,-1,2
6,3,"['yixuan', 'bai']",,1,-1,2
7,3,"['nanjing', 'jingling']",,1,-1,2
8,3,"['high', 'school']",,1,-1,2
9,3,"['hexi', 'campus']",,1,-1,2
10,3,"['nanjing', 'china']",,1,-1,2
11,3,['646467343@qq'],,1,-1,2
0,4,"['com', 'abstract']",,0,-1,1
0,5,the,DET,1,-1,2
1,5,"['cold', 'war']",,1,-1,2
2,5,to,PREP,2,-1,3
3,5,the,DET,3,-1,4
4,5,"['all', 'out']",,3,-1,4
5,5,"['referred', 'confrontation']",,3,-1,4
6,5,['between'],,3,-1,4
7,5,the,DET,4,-1,5
8,5,"['united', 'states']",,4,-1,5
9,5,and,CONJ,4,-1,5
10,5,the,DET,5,-1,6
11,5,['union'],,5,-1,6
12,5,of,PREP,6,-1,7
13,5,"['soviet', 'socialist']",,6,-1,7
14,5,"['republics', 'between']",,6,-1,7
15,5,['1947'],,6,-1,7
16,5,and,CONJ,6,-1,7
17,5,['1991'],,6,-1,7
0,6,"['after', 'world']",,0,-1,1
1,6,"['war', 'ii']",,0,-1,1
2,6,the,DET,1,-1,2
3,6,['us'],,1,-1,2
4,6,and,CONJ,1,-1,2
5,6,the,DET,2,-1,3
6,6,"['ussr', 'became']",,2,-1,3
7,6,"['two', 'poles']",,2,-1,3
8,6,of,PREP,3,-1,4
9,6,the,DET,4,-1,5
10,6,['world'],,4,-1,5
11,6,by,PREP,5,-1,6
12,6,['virtue'],,5,-1,6
13,6,of,PREP,6,-1,7
14,6,"['their', 'great']",,6,-1,7
15,6,and,CONJ,6,-1,7
16,6,"['they', 'became']",,6,-1,7
17,6,"['strength', 'opposed']",,6,-1,7
18,6,['due'],,6,-1,7
19,6,to,PREP,7,-1,8
