word,pos
breathe,verb
respire,verb
respire,verb
choke,verb
hyperventilate,verb
hyperventilate,verb
aspirate,verb
burp,verb
force out,verb
hiccup,verb
sigh,verb
exhale,verb
hold,verb
exhale,verb
sneeze,verb
inhale,verb
pant,verb
cough,verb
hack,verb
expectorate,verb
snort,verb
wheeze,verb
puff,verb
blow,verb
insufflate,verb
yawn,verb
sniff,verb
blink,verb
palpebrate,verb
bat,verb
wink,verb
wink,verb
squint,verb
squint,verb
wince,verb
shed,verb
desquamate,verb
twitch,verb
fibrillate,verb
move involuntarily,verb
act involuntarily,verb
act,verb
fall over backwards,verb
presume,verb
vulgarize,verb
optimize,verb
quack,verb
menace,verb
make,verb
swagger,verb
freeze,verb
wanton,verb
romanticize,verb
sentimentalise,verb
bungle,verb
play,verb
act,verb
stooge,verb
shake,verb
shiver,verb
rest,verb
be active,verb
sleep,verb
bundle,verb
snooze,verb
nap,verb
oversleep,verb
sleep late,verb
hibernate,verb
estivate,verb
drowse,verb
nod,verb
nod,verb
zonk out,verb
snore,verb
fall asleep,verb
bed down,verb
doss,verb
go to bed,verb
get up,verb
get up,verb
wake up,verb
awaken,verb
reawaken,verb
cause to sleep,verb
affect,verb
attack,verb
ulcerate,verb
wake,verb
stay up,verb
keep up,verb
hypnotize,verb
entrance,verb
anesthetize,verb
etherize,verb
cocainize,verb
chloroform,verb
freeze,verb
bring to,verb
sedate,verb
stimulate,verb
de-energize,verb
cathect,verb
perk up,verb
faint,verb
zonk out,verb
come to,verb
animate,verb
refresh,verb
freshen,verb
wash up,verb
tense,verb
crick,verb
relax,verb
unbend,verb
tense,verb
relax,verb
vege out,verb
sit back,verb
limber up,verb
stretch,verb
spread-eagle,verb
exsert,verb
hyperextend,verb
crane,verb
invigorate,verb
smile,verb
dimple,verb
grin,verb
beam,verb
smirk,verb
fleer,verb
bray,verb
bellylaugh,verb
roar,verb
snicker,verb
giggle,verb
break up,verb
break,verb
break down,verb
drop like flies,verb
cramp,verb
cramp,verb
fall over,verb
cackle,verb
guffaw,verb
chuckle,verb
laugh,verb
convulse,verb
cachinnate,verb
sneer,verb
sneer,verb
frown,verb
glower,verb
stare,verb
look,verb
scowl,verb
shrug,verb
clap,verb
grimace,verb
screw up,verb
pout,verb
blow,verb
clear the throat,verb
shower,verb
foment,verb
bathe,verb
cleanse,verb
wash,verb
wash,verb
sponge down,verb
scrub,verb
soap,verb
gargle,verb
shave,verb
epilate,verb
razor,verb
tonsure,verb
bathe,verb
douche,verb
comb,verb
slick,verb
dress,verb
bob,verb
pompadour,verb
marcel,verb
wave,verb
gauffer,verb
perm,verb
mousse,verb
pomade,verb
tease,verb
groom,verb
clean up,verb
make up,verb
highlight,verb
lipstick,verb
rouge,verb
condition,verb
floss,verb
shampoo,verb
powder,verb
talc,verb
manicure,verb
manicure,verb
barber,verb
pedicure,verb
doll up,verb
spruce up,verb
perfume,verb
preen,verb
prank,verb
tart up,verb
overdress,verb
dress,verb
enrobe,verb
prim,verb
bedizen,verb
dress down,verb
prink,verb
dress,verb
reduce,verb
sweat off,verb
gain,verb
round,verb
dress,verb
bundle up,verb
hat,verb
try on,verb
bonnet,verb
wear,verb
wear,verb
dress,verb
cover,verb
jacket,verb
frock,verb
shirt,verb
habit,verb
vesture,verb
overdress,verb
underdress,verb
corset,verb
shoe,verb
undress,verb
peel off,verb
take off,verb
wear,verb
scarf,verb
slip on,verb
slip off,verb
coat,verb
cross-dress,verb
costume,verb
dandify,verb
vest,verb
vest,verb
wear,verb
inseminate,verb
stratify,verb
quicken,verb
impregnate,verb
impregnate,verb
inoculate,verb
cross-fertilize,verb
cross-fertilize,verb
pollinate,verb
conceive,verb
nick,verb
beget,verb
ejaculate,verb
reproduce,verb
propagate,verb
vegetate,verb
propagate,verb
inoculate,verb
fructify,verb
breed,verb
pullulate,verb
spawn,verb
spat,verb
give birth,verb
lie in,verb
labor,verb
twin,verb
drop,verb
foal,verb
cub,verb
kitten,verb
lamb,verb
litter,verb
whelp,verb
farrow,verb
fawn,verb
calve,verb
have a bun in the oven,verb
expect,verb
carry to term,verb
miscarry,verb
abort,verb
abort,verb
brood,verb
alter,verb
defeminize,verb
emasculate,verb
caponize,verb
geld,verb
vasectomize,verb
sterilize,verb
face-lift,verb
trephine,verb
menstruate,verb
ovulate,verb
sterilize,verb
antisepticize,verb
autoclave,verb
hatch,verb
irritate,verb
inflame,verb
inflame,verb
soothe,verb
relieve,verb
massage,verb
hurt,verb
indispose,verb
suffer,verb
have,verb
be well,verb
suffer,verb
wail,verb
cry,verb
cry,verb
bawl,verb
tear,verb
sob,verb
snivel,verb
sweat,verb
superfetate,verb
exude,verb
distill,verb
reek,verb
transpire,verb
extravasate,verb
stream,verb
gum,verb
secrete,verb
water,verb
swelter,verb
injure,verb
trample,verb
concuss,verb
calk,verb
trouble,verb
disagree with,verb
torture,verb
rack,verb
martyr,verb
pull,verb
make,verb
urinate,verb
wet,verb
stale,verb
excrete,verb
evacuate,verb
suction,verb
purge,verb
stool,verb
dung,verb
constipate,verb
obstipate,verb
shed blood,verb
tire,verb
exhaust,verb
frazzle,verb
play,verb
overtire,verb
tire,verb
vomit,verb
spew,verb
keep down,verb
gag,verb
gag,verb
gag,verb
choke,verb
freeze,verb
swelter,verb
suffer,verb
gnash,verb
ail,verb
treat,verb
correct,verb
insufflate,verb
detox,verb
irrigate,verb
iodize,verb
doctor,verb
vet,verb
vet,verb
nurse,verb
manipulate,verb
administer,verb
transfuse,verb
digitalize,verb
bring around,verb
help,verb
comfort,verb
remedy,verb
dress,verb
poultice,verb
bandage,verb
ligate,verb
strap,verb
splint,verb
operate on,verb
venesect,verb
medicate,verb
medicate,verb
drug,verb
dope,verb
soup,verb
overdose,verb
narcotize,verb
anoint,verb
salve,verb
bleed,verb
inject,verb
infuse,verb
immunize,verb
cup,verb
sicken,verb
wan,verb
contract,verb
catch,verb
catch cold,verb
sicken,verb
poison,verb
intoxicate,verb
infect,verb
superinfect,verb
smut,verb
disinfect,verb
chlorinate,verb
infect,verb
canker,verb
canker,verb
traumatize,verb
shock,verb
galvanize,verb
mutilate,verb
maim,verb
twist,verb
subluxate,verb
cripple,verb
hamstring,verb
disable,verb
hock,verb
devolve,verb
recuperate,verb
snap back,verb
recuperate,verb
relapse,verb
languish,verb
waste,verb
atrophy,verb
hypertrophy,verb
fledge,verb
grow,verb
regrow,verb
spring,verb
sprout,verb
stool,verb
leaf,verb
pod,verb
teethe,verb
cut,verb
ankylose,verb
ankylose,verb
pupate,verb
work up,verb
fester,verb
draw,verb
suppurate,verb
necrose,verb
regenerate,verb
rejuvenate,verb
regenerate,verb
resuscitate,verb
boot,verb
resurrect,verb
resurrect,verb
scab,verb
skin over,verb
heal,verb
granulate,verb
poop out,verb
exercise,verb
train,verb
tumble,verb
roll,verb
exercise,verb
warm up,verb
limber,verb
tone,verb
stretch,verb
fart,verb
snuffle,verb
spit,verb
splutter,verb
stub,verb
harm,verb
salivate,verb
drivel,verb
blush,verb
pale,verb
etiolate,verb
tan,verb
suntan,verb
sun,verb
sunburn,verb
generalize,verb
metastasize,verb
exhaust,verb
emit,verb
joke,verb
clown,verb
feel,verb
feel like a million,verb
suffocate,verb
gown,verb
jaundice,verb
piffle,verb
run down,verb
pack on,verb
call,verb
make,verb
make as if,verb
break,verb
fracture,verb
fracture,verb
refracture,verb
fracture,verb
cut,verb
give,verb
give,verb
pack,verb
snuff,verb
froth,verb
lather,verb
change,verb
shade,verb
shade,verb
gel,verb
brutalize,verb
brutalize,verb
caramelize,verb
rasterize,verb
caramelize,verb
convert,verb
convert,verb
humify,verb
verbalize,verb
creolize,verb
sporulate,verb
novelize,verb
deaden,verb
opalize,verb
opalize,verb
receive,verb
reconvert,verb
malt,verb
malt,verb
malt,verb
stay,verb
keep out,verb
continue,verb
keep up,verb
sit tight,verb
differentiate,verb
speciate,verb
differentiate,verb
dedifferentiate,verb
mutate,verb
arterialize,verb
revert,verb
make,verb
render,verb
get,verb
have,verb
alternate,verb
spell,verb
alternate,verb
interchange,verb
counterchange,verb
vascularize,verb
decrepitate,verb
decrepitate,verb
crackle,verb
suburbanize,verb
suburbanize,verb
change,verb
modulate,verb
avianize,verb
optimize,verb
move,verb
step,verb
scroll,verb
roll,verb
roll,verb
